time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. A. Davis (D. Cunningham gains possession),,,,Jump ball: P. Millsap vs. A. Davis (D. Cunningham gains possession)
11:47.0,Shooting foul by J. Murray (drawn by A. Davis),,0-0,,
11:47.0,A. Davis misses free throw 1 of 2,,0-0,,
11:47.0,Offensive rebound by Team,,0-0,,
11:47.0,A. Davis misses free throw 2 of 2,,0-0,,
11:44.0,,,0-0,,Defensive rebound by N. Jokic
11:28.0,,,0-0,,W. Chandler misses 3-pt shot from 25 ft
11:21.0,,,0-0,,Offensive rebound by N. Jokic
11:18.0,,,0-2,2,P. Millsap makes 2-pt shot from 7 ft (assist by N. Jokic)
11:09.0,J. Holiday misses 2-pt shot from 15 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by J. Murray
11:01.0,,,0-5,3,J. Murray makes 3-pt shot from 25 ft
10:43.0,R. Rondo makes 2-pt shot from 2 ft,2,2-5,,
10:37.0,,,2-7,2,N. Jokic makes 2-pt shot from 3 ft (assist by P. Millsap)
10:19.0,D. Cousins makes 2-pt shot from 17 ft,2,4-7,,
10:08.0,,,4-10,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Murray)
9:43.0,D. Cousins misses 2-pt shot from 4 ft,,4-10,,
9:42.0,,,4-10,,Defensive rebound by P. Millsap
9:31.0,,,4-10,,Offensive charge foul by P. Millsap (drawn by D. Cousins)
9:31.0,,,4-10,,Turnover by P. Millsap (offensive foul)
9:18.0,D. Cunningham misses 3-pt shot from 22 ft,,4-10,,
9:15.0,,,4-10,,Defensive rebound by P. Millsap
9:06.0,,,4-12,2,J. Murray makes 2-pt shot from 3 ft (assist by P. Millsap)
8:57.0,D. Cousins misses 3-pt shot from 25 ft,,4-12,,
8:53.0,,,4-12,,Defensive rebound by W. Chandler
8:49.0,,,4-14,2,J. Murray makes 2-pt shot from 15 ft
8:41.0,New Orleans full timeout,,4-14,,
8:28.0,A. Davis misses 2-pt shot from 22 ft,,4-14,,
8:26.0,,,4-14,,Defensive rebound by N. Jokic
8:22.0,,,4-17,3,G. Harris makes 3-pt shot from 24 ft (assist by P. Millsap)
8:01.0,J. Holiday misses 3-pt shot from 23 ft,,4-17,,
8:01.0,,,4-17,,Defensive rebound by N. Jokic
7:51.0,,,4-20,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler)
7:32.0,R. Rondo misses 3-pt shot from 23 ft,,4-20,,
7:29.0,,,4-20,,Defensive rebound by W. Chandler
7:14.0,,,4-20,,Shooting foul by D. Cunningham (drawn by N. Jokic)
7:14.0,,,4-21,1,N. Jokic makes free throw 1 of 2
