time,Detroit,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: M. Gasol vs. A. Drummond (R. Jackson gains possession)
11:49.0,Shooting foul by I. Rabb (drawn by A. Tolliver),,0-0,,
11:49.0,A. Tolliver misses free throw 1 of 2,,0-0,,
11:49.0,Offensive rebound by Team,,0-0,,
11:49.0,A. Tolliver makes free throw 2 of 2,1,1-0,,
11:34.0,,,1-0,,M. Gasol misses 2-pt shot from 15 ft
11:29.0,Defensive rebound by S. Johnson,,1-0,,
11:23.0,Turnover by S. Johnson (bad pass; steal by M. Gasol),,1-0,,
11:18.0,,,1-2,2,K. Simmons makes 2-pt shot at rim (assist by M. Gasol)
11:12.0,L. Kennard misses 2-pt shot at rim,,1-2,,
11:08.0,,,1-2,,Defensive rebound by D. Brooks
11:07.0,,,1-4,2,B. McLemore makes 2-pt shot from 1 ft (assist by D. Brooks)
11:07.0,,,1-4,,Shooting foul by A. Tolliver (drawn by B. McLemore)
11:07.0,,,1-4,,B. McLemore misses free throw 1 of 1
11:02.0,Defensive rebound by A. Drummond,,1-4,,
10:50.0,A. Tolliver makes 3-pt shot from 24 ft (assist by L. Kennard),3,4-4,,
10:35.0,,,4-6,2,K. Simmons makes 2-pt shot from 1 ft (assist by B. McLemore)
10:20.0,R. Jackson misses 2-pt shot from 10 ft,,4-6,,
10:18.0,Offensive rebound by A. Drummond,,4-6,,
10:18.0,A. Drummond misses 2-pt shot at rim,,4-6,,
10:16.0,,,4-6,,Defensive rebound by I. Rabb
10:11.0,,,4-9,3,B. McLemore makes 3-pt shot from 23 ft (assist by K. Simmons)
10:04.0,Detroit full timeout,,4-9,,
9:54.0,L. Kennard misses 2-pt shot from 18 ft,,4-9,,
9:52.0,Offensive rebound by Team,,4-9,,
9:52.0,,,4-9,,Loose ball foul by M. Gasol (drawn by A. Drummond)
9:44.0,Turnover by R. Jackson (bad pass; steal by B. McLemore),,4-9,,
9:38.0,,,4-9,,Turnover by K. Simmons (bad pass; steal by R. Jackson)
9:33.0,Turnover by A. Tolliver (bad pass; steal by D. Brooks),,4-9,,
9:27.0,,,4-12,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Brooks)
9:02.0,R. Jackson makes 3-pt shot from 25 ft,3,7-12,,
8:47.0,Personal foul by R. Jackson (drawn by M. Gasol),,7-12,,
8:31.0,,,7-12,,D. Brooks misses 2-pt shot from 21 ft
8:28.0,Defensive rebound by L. Kennard,,7-12,,
8:11.0,L. Kennard makes 3-pt shot from 25 ft (assist by S. Johnson),3,10-12,,
7:52.0,,,10-12,,M. Gasol misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by R. Jackson,,10-12,,
7:46.0,A. Drummond misses 2-pt shot at rim,,10-12,,
7:43.0,Offensive rebound by A. Drummond,,10-12,,
7:43.0,A. Drummond makes 2-pt shot at rim,2,12-12,,
7:29.0,,,12-15,3,B. McLemore makes 3-pt shot from 24 ft (assist by K. Simmons)
7:12.0,R. Jackson misses 2-pt shot from 17 ft,,12-15,,
7:10.0,,,12-15,,Defensive rebound by B. McLemore
7:01.0,,,12-17,2,I. Rabb makes 2-pt shot from 1 ft (assist by M. Gasol)
6:39.0,S. Johnson misses 2-pt shot from 9 ft,,12-17,,
6:36.0,,,12-17,,Defensive rebound by M. Gasol
6:35.0,,,12-17,,Turnover by M. Gasol (bad pass; steal by R. Jackson)
