time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (T. Ariza gains possession),,,,Jump ball: C. Capela vs. R. Gobert (T. Ariza gains possession)
11:44.0,,,0-0,,C. Capela misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by R. Gobert,,0-0,,
11:33.0,Turnover by D. Favors (traveling),,0-0,,
11:23.0,,,0-0,,Turnover by E. Gordon (traveling)
11:20.0,,,0-0,,Turnover by C. Capela (traveling)
11:11.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Hood),3,3-0,,
10:56.0,,,3-0,,T. Ariza misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by J. Ingles,,3-0,,
10:36.0,D. Favors makes 2-pt shot from 20 ft (assist by J. Ingles),2,5-0,,
10:24.0,,,5-0,,Turnover by E. Gordon (out of bounds lost ball)
10:09.0,R. Rubio misses 3-pt shot from 25 ft,,5-0,,
10:08.0,,,5-0,,Defensive rebound by Team
9:53.0,,,5-2,2,J. Harden makes 2-pt shot from 13 ft
9:37.0,Shooting foul by E. Gordon (drawn by D. Favors),,5-2,,
9:37.0,D. Favors makes free throw 1 of 2,1,6-2,,
9:37.0,D. Favors makes free throw 2 of 2,1,7-2,,
9:25.0,,,7-2,,Turnover by J. Harden (bad pass; steal by J. Ingles)
9:19.0,J. Ingles makes 3-pt shot from 25 ft,3,10-2,,
8:50.0,,,10-4,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
8:41.0,R. Hood misses 3-pt shot from 22 ft,,10-4,,
8:41.0,Offensive rebound by Team,,10-4,,
8:33.0,R. Hood misses 3-pt shot from 24 ft,,10-4,,
8:30.0,,,10-4,,Defensive rebound by E. Gordon
8:29.0,,,10-7,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden)
8:18.0,R. Rubio misses 3-pt shot from 28 ft,,10-7,,
8:15.0,,,10-7,,Defensive rebound by E. Gordon
8:14.0,Personal foul by J. Ingles (drawn by J. Harden),,10-7,,
8:05.0,,,10-10,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
7:41.0,R. Gobert misses 2-pt shot from 6 ft (block by R. Anderson),,10-10,,
7:41.0,,,10-10,,Defensive rebound by C. Capela
7:26.0,,,10-12,2,J. Harden makes 2-pt shot from 14 ft
7:05.0,R. Rubio misses 2-pt shot from 14 ft,,10-12,,
7:00.0,,,10-12,,Defensive rebound by R. Anderson
6:50.0,,,10-15,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
6:26.0,,,10-15,,Houston full timeout
6:26.0,D. Mitchell enters the game for R. Rubio,,10-15,,
6:25.0,Shooting foul by E. Gordon (drawn by D. Mitchell),,10-15,,
6:25.0,D. Mitchell makes free throw 1 of 2,1,11-15,,
6:25.0,,,11-15,,L. Mbah a Moute enters the game for E. Gordon
6:25.0,T. Sefolosha enters the game for D. Favors,,11-15,,
6:25.0,D. Mitchell makes free throw 2 of 2,1,12-15,,
6:03.0,,,12-15,,T. Ariza misses 3-pt shot from 24 ft
5:59.0,,,12-15,,Offensive rebound by C. Capela
5:57.0,,,12-18,3,J. Harden makes 3-pt shot from 27 ft (assist by C. Capela)
5:45.0,R. Gobert makes 2-pt shot at rim,2,14-18,,
5:33.0,,,14-18,,L. Mbah a Moute misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by T. Sefolosha,,14-18,,
5:08.0,T. Sefolosha misses 3-pt shot from 22 ft,,14-18,,
5:06.0,,,14-18,,Defensive rebound by C. Capela
4:45.0,,,14-18,,R. Anderson misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by D. Mitchell,,14-18,,
4:32.0,D. Mitchell makes 3-pt shot from 25 ft,3,17-18,,
4:30.0,,,17-18,,Houston full timeout
4:30.0,,,17-18,,N. Hilario enters the game for C. Capela
4:30.0,,,17-18,,P. Tucker enters the game for R. Anderson
4:30.0,A. Burks enters the game for R. Hood,,17-18,,
4:17.0,,,17-18,,Turnover by N. Hilario (bad pass; steal by A. Burks)
4:06.0,R. Gobert misses 2-pt shot from 2 ft,,17-18,,
4:04.0,,,17-18,,Defensive rebound by N. Hilario
3:58.0,,,17-18,,Shooting foul by R. Gobert (drawn by J. Harden)
3:58.0,,,17-19,1,J. Harden makes free throw 1 of 2
3:58.0,,,17-20,1,J. Harden makes free throw 2 of 2
3:37.0,Shooting foul by N. Hilario (drawn by T. Sefolosha),,17-20,,
3:37.0,T. Sefolosha misses free throw 1 of 2,,17-20,,
3:37.0,Offensive rebound by Team,,17-20,,
3:37.0,T. Sefolosha makes free throw 2 of 2,1,18-20,,
3:26.0,,,18-23,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:13.0,,,18-23,,Personal foul by P. Tucker (drawn by R. Gobert)
3:13.0,E. Udoh enters the game for J. Ingles,,18-23,,
3:13.0,R. Rubio enters the game for R. Gobert,,18-23,,
3:01.0,D. Mitchell makes 3-pt shot from 27 ft,3,21-23,,
2:46.0,,,21-26,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Harden)
2:26.0,D. Mitchell misses 3-pt shot from 25 ft,,21-26,,
2:23.0,,,21-26,,Defensive rebound by L. Mbah a Moute
2:15.0,,,21-28,2,J. Harden makes 2-pt shot from 1 ft
2:13.0,Utah full timeout,,21-28,,
2:02.0,,,21-28,,Violation by N. Hilario (kicked ball)
1:52.0,Turnover by D. Mitchell (bad pass; steal by T. Ariza),,21-28,,
1:41.0,,,21-30,2,J. Harden makes 2-pt shot from 10 ft
1:19.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by D. Mitchell),3,24-30,,
1:06.0,,,24-30,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by E. Udoh)
1:02.0,,,24-30,,Offensive rebound by N. Hilario
1:01.0,,,24-30,,N. Hilario misses 2-pt shot from 2 ft
1:01.0,,,24-30,,Offensive rebound by T. Ariza
0:50.0,,,24-33,3,T. Ariza makes 3-pt shot from 24 ft (assist by N. Hilario)
0:32.0,R. Rubio makes 2-pt shot from 4 ft,2,26-33,,
0:08.0,,,26-36,3,J. Harden makes 3-pt shot from 27 ft
0:04.0,,,26-36,,Personal foul by N. Hilario (drawn by R. Rubio)
0:04.0,R. Rubio makes free throw 1 of 2,1,27-36,,
0:04.0,,,27-36,,R. Anderson enters the game for N. Hilario
0:04.0,R. Rubio makes free throw 2 of 2,1,28-36,,
0:00.0,,,28-39,3,J. Harden makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by R. Rubio (bad pass; steal by N. Hilario),,28-39,,
11:46.0,,,28-41,2,N. Hilario makes 2-pt shot at rim
11:25.0,A. Burks misses 2-pt shot from 10 ft,,28-41,,
11:25.0,Offensive rebound by E. Udoh,,28-41,,
11:15.0,E. Udoh misses 2-pt shot from 16 ft,,28-41,,
11:15.0,,,28-41,,Defensive rebound by L. Mbah a Moute
11:00.0,,,28-41,,E. Gordon misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by Team,,28-41,,
10:45.0,R. Hood misses 3-pt shot from 25 ft,,28-41,,
10:45.0,,,28-41,,Defensive rebound by P. Tucker
10:28.0,,,28-41,,R. Anderson misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by R. Hood,,28-41,,
10:16.0,A. Burks misses 2-pt shot from 16 ft,,28-41,,
10:16.0,Offensive rebound by E. Udoh,,28-41,,
10:04.0,Turnover by R. Hood (lost ball; steal by L. Mbah a Moute),,28-41,,
9:57.0,,,28-41,,Offensive charge foul by L. Mbah a Moute (drawn by A. Burks)
9:57.0,,,28-41,,Turnover by L. Mbah a Moute (offensive foul)
9:48.0,,,28-41,,Personal foul by R. Anderson (drawn by E. Udoh)
9:48.0,,,28-41,,Turnover by R. Anderson (turnover)
9:43.0,A. Burks misses 3-pt shot from 25 ft,,28-41,,
9:37.0,,,28-41,,Defensive rebound by E. Gordon
9:35.0,,,28-41,,E. Gordon misses 2-pt shot from 1 ft (block by E. Udoh)
9:35.0,Defensive rebound by A. Burks,,28-41,,
9:30.0,Turnover by A. Burks (traveling),,28-41,,
9:11.0,,,28-41,,N. Hilario misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by R. Rubio,,28-41,,
8:55.0,E. Udoh makes 2-pt shot from 6 ft (assist by R. Rubio),2,30-41,,
8:44.0,,,30-43,2,N. Hilario makes 2-pt shot from 16 ft (assist by E. Gordon)
8:22.0,A. Burks misses 2-pt shot from 2 ft (block by N. Hilario),,30-43,,
8:22.0,Offensive rebound by Team,,30-43,,
8:22.0,,,30-43,,C. Capela enters the game for N. Hilario
8:22.0,D. Mitchell enters the game for R. Rubio,,30-43,,
8:19.0,D. Favors makes 3-pt shot from 25 ft (assist by D. Mitchell),3,33-43,,
7:59.0,,,33-43,,P. Tucker misses 3-pt shot from 22 ft
7:59.0,,,33-43,,Offensive rebound by L. Mbah a Moute
7:55.0,,,33-43,,L. Mbah a Moute misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by A. Burks,,33-43,,
7:45.0,Turnover by A. Burks (bad pass; steal by L. Mbah a Moute),,33-43,,
7:38.0,,,33-46,3,E. Gordon makes 3-pt shot from 25 ft (assist by P. Tucker)
7:18.0,D. Mitchell makes 2-pt shot from 13 ft,2,35-46,,
7:10.0,,,35-48,2,E. Gordon makes 2-pt shot from 1 ft
6:51.0,D. Mitchell misses 2-pt shot from 3 ft,,35-48,,
6:51.0,,,35-48,,Defensive rebound by R. Anderson
6:47.0,,,35-48,,Offensive charge foul by L. Mbah a Moute (drawn by R. Hood)
6:47.0,,,35-48,,Turnover by L. Mbah a Moute (offensive foul)
6:47.0,,,35-48,,Houston full timeout
6:47.0,,,35-48,,J. Harden enters the game for L. Mbah a Moute
6:47.0,J. Ingles enters the game for A. Burks,,35-48,,
6:47.0,R. Gobert enters the game for E. Udoh,,35-48,,
6:28.0,R. Gobert misses 2-pt shot from 6 ft (block by C. Capela),,35-48,,
6:24.0,,,35-48,,Defensive rebound by P. Tucker
6:19.0,,,35-48,,Turnover by J. Harden (bad pass; steal by D. Favors)
5:59.0,D. Favors makes 3-pt shot from 24 ft (assist by R. Hood),3,38-48,,
5:38.0,,,38-48,,C. Capela misses 2-pt shot from 3 ft
5:38.0,,,38-48,,Offensive rebound by Team
5:38.0,,,38-48,,Turnover by C. Capela (offensive goaltending)
5:38.0,,,38-48,,T. Ariza enters the game for P. Tucker
5:21.0,R. Hood makes 2-pt shot from 14 ft,2,40-48,,
4:57.0,,,40-51,3,J. Harden makes 3-pt shot from 26 ft
4:46.0,D. Mitchell misses 2-pt shot from 17 ft,,40-51,,
4:44.0,,,40-51,,Defensive rebound by C. Capela
4:35.0,,,40-51,,Turnover by J. Harden (out of bounds lost ball)
4:35.0,T. Sefolosha enters the game for D. Favors,,40-51,,
4:16.0,R. Gobert misses 2-pt shot from 4 ft,,40-51,,
4:14.0,,,40-51,,Defensive rebound by C. Capela
4:11.0,,,40-54,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
3:56.0,R. Hood makes 2-pt shot from 8 ft (assist by T. Sefolosha),2,42-54,,
3:40.0,Personal foul by D. Mitchell (drawn by J. Harden),,42-54,,
3:37.0,,,42-54,,Shooting foul by D. Mitchell (drawn by J. Harden)
3:37.0,,,42-55,1,J. Harden makes free throw 1 of 2
3:37.0,,,42-56,1,J. Harden makes free throw 2 of 2
3:22.0,R. Gobert makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,44-56,,
3:03.0,,,44-58,2,J. Harden makes 2-pt shot from 14 ft
3:03.0,Utah full timeout,,44-58,,
2:52.0,J. Ingles misses 3-pt shot from 26 ft,,44-58,,
2:49.0,,,44-58,,Defensive rebound by C. Capela
2:40.0,,,44-60,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
2:40.0,,,44-60,,Shooting foul by R. Gobert (drawn by C. Capela)
2:40.0,,,44-60,,C. Capela misses free throw 1 of 1
2:37.0,Defensive rebound by R. Gobert,,44-60,,
2:32.0,,,44-60,,Personal foul by J. Harden (drawn by J. Ingles)
2:32.0,R. Rubio enters the game for D. Mitchell,,44-60,,
2:25.0,R. Hood misses 3-pt shot from 24 ft,,44-60,,
2:22.0,,,44-60,,Defensive rebound by E. Gordon
2:13.0,,,44-60,,E. Gordon misses 2-pt shot from 1 ft
2:12.0,,,44-60,,Offensive rebound by Team
2:09.0,,,44-63,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
1:49.0,J. Ingles misses 2-pt shot from 2 ft,,44-63,,
1:48.0,,,44-63,,Defensive rebound by R. Anderson
1:48.0,Personal foul by J. Ingles (drawn by R. Anderson),,44-63,,
1:38.0,,,44-63,,J. Harden misses 2-pt shot from 13 ft
1:38.0,Defensive rebound by Team,,44-63,,
1:38.0,,,44-63,,Loose ball foul by J. Harden (drawn by R. Gobert)
1:17.0,R. Hood makes 3-pt shot from 26 ft (assist by R. Gobert),3,47-63,,
1:05.0,,,47-63,,Turnover by E. Gordon (bad pass)
0:44.0,R. Hood misses 3-pt shot from 25 ft,,47-63,,
0:41.0,,,47-63,,Defensive rebound by C. Capela
