time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. A. Baynes (A. Horford gains possession),,,,Jump ball: T. Zeller vs. A. Baynes (A. Horford gains possession)
11:47.0,J. Brown misses 2-pt shot from 6 ft,,0-0,,
11:44.0,Offensive rebound by A. Horford,,0-0,,
11:43.0,A. Horford misses 2-pt shot from 2 ft,,0-0,,
11:41.0,Offensive rebound by A. Baynes,,0-0,,
11:33.0,J. Brown misses 2-pt shot from 2 ft (block by T. Zeller),,0-0,,
11:33.0,Offensive rebound by A. Baynes,,0-0,,
11:33.0,,,0-0,,Personal foul by E. Bledsoe (drawn by A. Baynes)
11:15.0,T. Rozier misses 3-pt shot from 25 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by Team
11:14.0,Loose ball foul by A. Baynes (drawn by T. Zeller),,0-0,,
10:55.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by T. Rozier,,0-0,,
10:48.0,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford),3,3-0,,
10:31.0,,,3-0,,K. Middleton misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by A. Baynes,,3-0,,
10:14.0,Shooting foul by T. Zeller (drawn by A. Baynes),,3-0,,
10:14.0,A. Baynes makes free throw 1 of 2,1,4-0,,
10:14.0,A. Baynes misses free throw 2 of 2,,4-0,,
10:11.0,,,4-0,,Defensive rebound by T. Zeller
10:09.0,Personal foul by T. Rozier (drawn by E. Bledsoe),,4-0,,
9:58.0,,,4-0,,G. Antetokounmpo misses 2-pt shot from 9 ft
9:56.0,,,4-0,,Offensive rebound by G. Antetokounmpo
9:55.0,,,4-0,,G. Antetokounmpo misses 2-pt shot from 7 ft (block by A. Horford)
9:55.0,Defensive rebound by Team,,4-0,,
9:52.0,Jump ball: G. Antetokounmpo vs. A. Horford (J. Tatum gains possession),,,,Jump ball: G. Antetokounmpo vs. A. Horford (J. Tatum gains possession)
9:35.0,T. Rozier misses 2-pt shot from 3 ft,,4-0,,
9:33.0,,,4-0,,Defensive rebound by T. Zeller
9:29.0,,,4-0,,Shooting foul by J. Tatum (drawn by T. Zeller)
9:29.0,,,4-1,1,T. Zeller makes free throw 1 of 2
9:29.0,,,4-2,1,T. Zeller makes free throw 2 of 2
9:18.0,J. Brown misses 2-pt shot from 6 ft,,4-2,,
9:12.0,Offensive rebound by A. Baynes,,4-2,,
9:12.0,A. Baynes makes 2-pt shot at rim,2,6-2,,
9:06.0,,,6-4,2,E. Bledsoe makes 2-pt shot from 16 ft
8:54.0,J. Brown misses 3-pt shot from 26 ft,,6-4,,
8:50.0,Offensive rebound by A. Horford,,6-4,,
8:45.0,A. Horford makes 2-pt shot from 6 ft,2,8-4,,
8:17.0,,,8-4,,K. Middleton misses 3-pt shot from 27 ft
8:15.0,Defensive rebound by A. Baynes,,8-4,,
8:03.0,,,8-4,,Personal foul by M. Brogdon (drawn by A. Horford)
7:53.0,Turnover by J. Brown (lost ball; steal by T. Zeller),,8-4,,
7:38.0,,,8-4,,Turnover by K. Middleton (bad pass; steal by T. Rozier)
7:22.0,J. Tatum makes 2-pt shot from 17 ft,2,10-4,,
7:21.0,,,10-4,,Milwaukee full timeout
7:08.0,,,10-4,,K. Middleton misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by T. Rozier,,10-4,,
6:50.0,A. Horford misses 2-pt shot from 3 ft (block by T. Zeller),,10-4,,
6:47.0,,,10-4,,Defensive rebound by K. Middleton
6:47.0,,,10-4,,Shooting foul by J. Tatum (drawn by G. Antetokounmpo)
6:47.0,,,10-4,,G. Antetokounmpo misses free throw 1 of 2
6:47.0,,,10-4,,Offensive rebound by Team
6:47.0,M. Morris enters the game for J. Tatum,,10-4,,
6:47.0,G. Monroe enters the game for A. Baynes,,10-4,,
6:47.0,,,10-5,1,G. Antetokounmpo makes free throw 2 of 2
6:35.0,M. Morris makes 2-pt shot from 14 ft,2,12-5,,
6:16.0,,,12-5,,E. Bledsoe misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by Team,,12-5,,
6:15.0,,,12-5,,J. Parker enters the game for K. Middleton
6:01.0,M. Morris misses 2-pt shot from 15 ft,,12-5,,
5:59.0,,,12-5,,Defensive rebound by T. Zeller
5:41.0,,,12-5,,M. Dellavedova enters the game for E. Bledsoe
5:36.0,,,12-5,,G. Antetokounmpo misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by T. Rozier,,12-5,,
5:27.0,M. Morris misses 2-pt shot from 12 ft,,12-5,,
5:24.0,,,12-5,,Defensive rebound by G. Antetokounmpo
5:17.0,,,12-5,,T. Zeller misses 2-pt shot from 4 ft
5:15.0,Defensive rebound by G. Monroe,,12-5,,
5:13.0,J. Brown misses 2-pt shot from 1 ft,,12-5,,
5:07.0,Offensive rebound by M. Morris,,12-5,,
5:07.0,M. Morris misses 2-pt shot at rim,,12-5,,
5:06.0,,,12-5,,Defensive rebound by T. Zeller
4:55.0,,,12-7,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Dellavedova)
4:46.0,,,12-7,,Personal foul by T. Zeller (drawn by G. Monroe)
4:46.0,,,12-7,,T. Maker enters the game for T. Zeller
4:35.0,T. Rozier misses 3-pt shot from 27 ft,,12-7,,
4:30.0,,,12-7,,Defensive rebound by M. Brogdon
4:26.0,,,12-9,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
4:11.0,T. Rozier misses 3-pt shot from 27 ft,,12-9,,
4:08.0,Offensive rebound by G. Monroe,,12-9,,
4:06.0,G. Monroe misses 2-pt shot from 3 ft (block by J. Parker),,12-9,,
4:06.0,,,12-9,,Defensive rebound by M. Brogdon
3:56.0,,,12-11,2,M. Brogdon makes 2-pt shot from 1 ft
3:55.0,Boston full timeout,,12-11,,
3:55.0,S. Larkin enters the game for J. Brown,,12-11,,
3:33.0,A. Horford makes 2-pt shot from 8 ft,2,14-11,,
3:20.0,,,14-11,,J. Parker misses 2-pt shot from 5 ft (block by A. Horford)
3:20.0,,,14-11,,Offensive rebound by Team
3:20.0,,,14-11,,T. Snell enters the game for M. Brogdon
3:06.0,,,14-13,2,T. Maker makes 2-pt shot from 17 ft
2:50.0,Turnover by G. Monroe (traveling),,14-13,,
