time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. M. Plumlee (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. M. Plumlee (E. Kanter gains possession)
11:40.0,,,0-3,3,K. Porzingis makes 3-pt shot from 28 ft (assist by J. Jack)
11:14.0,D. Dedmon misses 2-pt shot from 14 ft,,0-3,,
11:14.0,,,0-3,,Defensive rebound by C. Lee
11:05.0,,,0-5,2,C. Lee makes 2-pt shot from 4 ft (assist by E. Kanter)
10:50.0,K. Bazemore makes 2-pt shot from 16 ft (assist by M. Plumlee),2,2-5,,
10:39.0,,,2-5,,K. Porzingis misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by D. Schroder,,2-5,,
10:25.0,T. Waller-Prince makes 2-pt shot from 12 ft,2,4-5,,
9:59.0,,,4-5,,K. Porzingis misses 2-pt shot from 18 ft
9:57.0,,,4-5,,Offensive rebound by Team
9:52.0,,,4-5,,K. Porzingis misses 2-pt shot from 2 ft (block by M. Plumlee)
9:50.0,Defensive rebound by D. Dedmon,,4-5,,
9:34.0,T. Waller-Prince makes 3-pt shot from 25 ft,3,7-5,,
9:17.0,,,7-5,,K. Porzingis misses 2-pt shot from 13 ft
9:15.0,Defensive rebound by D. Dedmon,,7-5,,
9:02.0,D. Dedmon misses 3-pt shot from 26 ft,,7-5,,
9:00.0,,,7-5,,Defensive rebound by C. Lee
8:51.0,,,7-7,2,J. Jack makes 2-pt shot from 18 ft
8:38.0,D. Schroder misses 2-pt shot from 2 ft (block by K. Porzingis),,7-7,,
8:36.0,Offensive rebound by Team,,7-7,,
8:33.0,Turnover by K. Bazemore (turnover),,7-7,,
8:17.0,,,7-9,2,J. Jack makes 2-pt shot from 2 ft
8:09.0,D. Schroder misses 3-pt shot from 25 ft,,7-9,,
8:08.0,,,7-9,,Defensive rebound by Team
7:52.0,,,7-9,,K. Porzingis misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by D. Schroder,,7-9,,
7:37.0,K. Bazemore misses 2-pt shot from 15 ft,,7-9,,
7:35.0,,,7-9,,Defensive rebound by E. Kanter
7:29.0,,,7-9,,C. Lee misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by D. Dedmon,,7-9,,
7:21.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,9-9,,
7:09.0,,,9-11,2,J. Jack makes 2-pt shot from 3 ft
6:54.0,D. Schroder misses 2-pt shot from 17 ft,,9-11,,
6:53.0,,,9-11,,Defensive rebound by E. Kanter
6:37.0,,,9-11,,J. Jack misses 2-pt shot from 20 ft
6:34.0,Defensive rebound by D. Dedmon,,9-11,,
6:15.0,Turnover by D. Schroder (traveling),,9-11,,
6:15.0,,,9-11,,New York full timeout
6:15.0,M. Belinelli enters the game for T. Waller-Prince,,9-11,,
6:03.0,,,9-11,,K. Porzingis misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by K. Bazemore,,9-11,,
5:46.0,K. Bazemore misses 3-pt shot from 25 ft,,9-11,,
5:44.0,,,9-11,,Defensive rebound by E. Kanter
5:25.0,,,9-11,,J. Jack misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by M. Belinelli,,9-11,,
5:06.0,D. Schroder makes 2-pt shot from 1 ft,2,11-11,,
4:54.0,,,11-13,2,C. Lee makes 2-pt shot from 16 ft
4:27.0,Offensive foul by D. Dedmon (drawn by J. Jack),,11-13,,
4:27.0,Turnover by D. Dedmon (offensive foul),,11-13,,
4:27.0,,,11-13,,M. Beasley enters the game for K. Porzingis
4:27.0,,,11-13,,D. McDermott enters the game for C. Lee
4:27.0,J. Collins enters the game for M. Plumlee,,11-13,,
