time,Minnesota,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Towns (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. K. Towns (K. Lowry gains possession)
11:43.0,,,0-0,,S. Ibaka misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by K. Towns,,0-0,,
11:19.0,K. Towns makes 2-pt shot from 7 ft,2,2-0,,
11:14.0,,,2-0,,Turnover by S. Ibaka (bad pass; steal by J. Teague)
11:08.0,J. Teague makes 2-pt shot from 3 ft,2,4-0,,
10:49.0,,,4-2,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry)
10:27.0,,,4-2,,Personal foul by O. Anunoby (drawn by J. Teague)
10:21.0,,,4-2,,Def 3 sec tech foul by J. Valanciunas
10:21.0,J. Butler misses technical free throw,,4-2,,
10:21.0,Offensive rebound by Team,,4-2,,
10:13.0,A. Wiggins misses 2-pt shot from 2 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by Team
9:52.0,,,4-4,2,S. Ibaka makes 2-pt shot from 13 ft (assist by O. Anunoby)
9:36.0,A. Wiggins misses 2-pt shot from 13 ft,,4-4,,
9:32.0,,,4-4,,Defensive rebound by J. Valanciunas
9:25.0,,,4-6,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
9:14.0,J. Teague misses 2-pt shot from 9 ft,,4-6,,
9:12.0,,,4-6,,Defensive rebound by K. Lowry
9:06.0,,,4-6,,S. Ibaka misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by T. Gibson,,4-6,,
8:41.0,T. Gibson makes 2-pt shot from 5 ft,2,6-6,,
8:27.0,,,6-6,,D. DeRozan misses 2-pt shot from 2 ft
8:23.0,,,6-6,,Offensive rebound by D. DeRozan
8:19.0,,,6-6,,J. Valanciunas misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by A. Wiggins,,6-6,,
8:05.0,T. Gibson misses 2-pt shot from 16 ft,,6-6,,
8:03.0,,,6-6,,Defensive rebound by K. Lowry
7:58.0,,,6-6,,K. Lowry misses 2-pt shot from 9 ft
7:55.0,Defensive rebound by T. Gibson,,6-6,,
7:42.0,Turnover by T. Gibson (turnover),,6-6,,
7:22.0,,,6-6,,D. DeRozan misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by K. Towns,,6-6,,
7:12.0,Shooting foul by O. Anunoby (drawn by J. Butler),,6-6,,
7:12.0,J. Butler makes free throw 1 of 2,1,7-6,,
7:12.0,,,7-6,,N. Powell enters the game for O. Anunoby
7:12.0,J. Butler makes free throw 2 of 2,1,8-6,,
6:48.0,,,8-6,,D. DeRozan misses 2-pt shot from 12 ft
6:48.0,,,8-6,,Offensive rebound by Team
6:48.0,,,8-6,,Turnover by Team (shot clock)
6:48.0,,,8-6,,Toronto full timeout
6:32.0,A. Wiggins misses 2-pt shot from 16 ft,,8-6,,
6:28.0,Offensive rebound by J. Teague,,8-6,,
6:25.0,Shooting foul by N. Powell (drawn by J. Teague),,8-6,,
6:25.0,J. Teague misses free throw 1 of 2,,8-6,,
6:25.0,Offensive rebound by Team,,8-6,,
6:25.0,J. Teague makes free throw 2 of 2,1,9-6,,
6:14.0,,,9-9,3,S. Ibaka makes 3-pt shot from 22 ft (assist by D. DeRozan)
6:00.0,T. Gibson makes 2-pt shot from 14 ft (assist by J. Teague),2,11-9,,
5:44.0,,,11-11,2,S. Ibaka makes 2-pt shot from 20 ft (assist by D. DeRozan)
5:26.0,T. Gibson makes 2-pt shot from 4 ft (assist by A. Wiggins),2,13-11,,
5:05.0,,,13-11,,D. DeRozan misses 3-pt shot from 22 ft
5:03.0,Defensive rebound by J. Teague,,13-11,,
4:56.0,J. Butler misses 2-pt shot from 14 ft,,13-11,,
4:54.0,,,13-11,,Defensive rebound by J. Valanciunas
4:48.0,,,13-11,,N. Powell misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by K. Towns,,13-11,,
4:41.0,A. Wiggins misses 2-pt shot from 19 ft,,13-11,,
4:39.0,,,13-11,,Defensive rebound by J. Valanciunas
4:35.0,,,13-11,,Shooting foul by K. Towns (drawn by S. Ibaka)
4:35.0,,,13-11,,S. Ibaka misses free throw 1 of 2
4:35.0,,,13-11,,Offensive rebound by Team
4:35.0,,,13-11,,J. Poeltl enters the game for J. Valanciunas
4:35.0,G. Dieng enters the game for K. Towns,,13-11,,
4:35.0,,,13-12,1,S. Ibaka makes free throw 2 of 2
4:17.0,,,13-12,,Personal foul by K. Lowry (drawn by T. Gibson)
4:05.0,J. Butler makes 2-pt shot from 10 ft,2,15-12,,
3:53.0,,,15-12,,J. Poeltl misses 2-pt shot from 7 ft (block by G. Dieng)
3:50.0,Defensive rebound by J. Butler,,15-12,,
3:41.0,A. Wiggins misses 2-pt shot from 8 ft,,15-12,,
3:41.0,,,15-12,,Defensive rebound by S. Ibaka
3:35.0,,,15-15,3,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry)
3:19.0,A. Wiggins misses 3-pt shot from 24 ft,,15-15,,
3:17.0,Offensive rebound by T. Gibson,,15-15,,
3:10.0,G. Dieng makes 2-pt shot from 16 ft,2,17-15,,
2:53.0,,,17-17,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
2:43.0,Shooting foul by J. Poeltl (drawn by G. Dieng),,17-17,,
2:43.0,Minnesota full timeout,,17-17,,
2:43.0,,,17-17,,D. Wright enters the game for K. Lowry
2:43.0,,,17-17,,P. Siakam enters the game for S. Ibaka
2:43.0,N. Bjelica enters the game for J. Teague,,17-17,,
2:43.0,T. Jones enters the game for T. Gibson,,17-17,,
2:43.0,G. Dieng makes free throw 1 of 2,1,18-17,,
2:43.0,G. Dieng makes free throw 2 of 2,1,19-17,,
2:29.0,,,19-17,,D. DeRozan misses 2-pt shot from 2 ft (block by G. Dieng)
2:27.0,Defensive rebound by A. Wiggins,,19-17,,
2:06.0,A. Wiggins makes 2-pt shot from 15 ft (assist by J. Butler),2,21-17,,
1:47.0,,,21-17,,D. DeRozan misses 2-pt shot from 15 ft
1:45.0,,,21-17,,Offensive rebound by J. Poeltl
1:44.0,,,21-17,,N. Powell misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by N. Bjelica,,21-17,,
1:29.0,G. Dieng makes 2-pt shot from 20 ft (assist by J. Butler),2,23-17,,
1:07.0,,,23-17,,N. Powell misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by N. Bjelica,,23-17,,
0:50.0,J. Butler makes 2-pt shot from 6 ft,2,25-17,,
0:27.0,,,25-17,,D. DeRozan misses 2-pt shot from 14 ft
0:24.0,Defensive rebound by A. Wiggins,,25-17,,
0:03.0,A. Wiggins makes 2-pt shot from 16 ft,2,27-17,,
0:00.0,,,27-19,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Crawford misses 3-pt shot from 25 ft,,27-19,,
11:39.0,,,27-19,,Defensive rebound by F. VanVleet
11:35.0,,,27-21,2,F. VanVleet makes 2-pt shot from 2 ft
11:18.0,G. Dieng makes 2-pt shot from 8 ft (assist by N. Bjelica),2,29-21,,
10:58.0,,,29-21,,D. Wright misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by A. Wiggins,,29-21,,
10:49.0,Offensive charge foul by A. Wiggins (drawn by D. Wright),,29-21,,
10:49.0,Turnover by A. Wiggins (offensive foul),,29-21,,
10:49.0,S. Muhammad enters the game for A. Wiggins,,29-21,,
10:34.0,Personal foul by N. Bjelica (drawn by P. Siakam),,29-21,,
10:25.0,,,29-21,,P. Siakam misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by N. Bjelica,,29-21,,
10:10.0,S. Muhammad misses 2-pt shot from 7 ft (block by J. Poeltl),,29-21,,
10:09.0,Offensive rebound by N. Bjelica,,29-21,,
10:09.0,Shooting foul by F. VanVleet (drawn by N. Bjelica),,29-21,,
10:09.0,N. Bjelica makes free throw 1 of 2,1,30-21,,
10:09.0,N. Bjelica makes free throw 2 of 2,1,31-21,,
9:57.0,,,31-23,2,P. Siakam makes 2-pt shot from 3 ft (assist by F. VanVleet)
9:57.0,,,31-23,,Shooting foul by N. Bjelica (drawn by P. Siakam)
9:57.0,,,31-23,,P. Siakam misses free throw 1 of 1
9:54.0,Defensive rebound by N. Bjelica,,31-23,,
9:41.0,G. Dieng makes 2-pt shot from 21 ft (assist by T. Jones),2,33-23,,
9:21.0,,,33-23,,Turnover by P. Siakam (traveling)
9:01.0,S. Muhammad misses 2-pt shot from 3 ft (block by N. Powell),,33-23,,
9:01.0,,,33-23,,Defensive rebound by F. VanVleet
9:01.0,Personal foul by G. Dieng (drawn by F. VanVleet),,33-23,,
8:45.0,,,33-23,,Turnover by F. VanVleet (bad pass; steal by N. Bjelica)
8:31.0,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Crawford),3,36-23,,
8:24.0,,,36-23,,Toronto full timeout
8:24.0,,,36-23,,K. Lowry enters the game for N. Powell
8:19.0,,,36-23,,Shooting foul by T. Jones (drawn by K. Lowry)
8:19.0,,,36-24,1,K. Lowry makes free throw 1 of 2
8:19.0,,,36-25,1,K. Lowry makes free throw 2 of 2
7:58.0,J. Crawford makes 2-pt shot from 22 ft,2,38-25,,
7:46.0,,,38-28,3,F. VanVleet makes 3-pt shot from 25 ft (assist by P. Siakam)
7:34.0,T. Jones makes 2-pt shot from 14 ft,2,40-28,,
7:22.0,,,40-30,2,F. VanVleet makes 2-pt shot from 3 ft (assist by D. Wright)
7:08.0,G. Dieng makes 2-pt shot from 2 ft (assist by J. Crawford),2,42-30,,
6:51.0,,,42-32,2,J. Poeltl makes 2-pt shot from 5 ft (assist by K. Lowry)
6:51.0,Violation by G. Dieng (def goaltending),,42-32,,
6:27.0,G. Dieng makes 2-pt shot from 14 ft,2,44-32,,
6:15.0,,,44-32,,Turnover by J. Poeltl (lost ball; steal by J. Crawford)
6:11.0,Shooting foul by P. Siakam (drawn by S. Muhammad),,44-32,,
6:11.0,S. Muhammad misses free throw 1 of 2,,44-32,,
6:11.0,Offensive rebound by Team,,44-32,,
6:11.0,,,44-32,,S. Ibaka enters the game for J. Poeltl
6:11.0,,,44-32,,J. Valanciunas enters the game for P. Siakam
6:11.0,S. Muhammad makes free throw 2 of 2,1,45-32,,
6:03.0,,,45-32,,K. Lowry misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by S. Muhammad,,45-32,,
5:53.0,J. Crawford misses 2-pt shot from 3 ft,,45-32,,
5:52.0,Offensive rebound by S. Muhammad,,45-32,,
5:52.0,S. Muhammad misses 2-pt shot at rim,,45-32,,
5:52.0,Offensive rebound by Team,,45-32,,
5:52.0,,,45-32,,D. DeRozan enters the game for D. Wright
5:52.0,J. Butler enters the game for S. Muhammad,,45-32,,
5:40.0,G. Dieng misses 2-pt shot from 9 ft,,45-32,,
5:37.0,,,45-32,,Defensive rebound by D. DeRozan
5:31.0,,,45-35,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:23.0,Minnesota full timeout,,45-35,,
5:23.0,J. Teague enters the game for T. Jones,,45-35,,
5:23.0,K. Towns enters the game for G. Dieng,,45-35,,
5:13.0,J. Crawford misses 2-pt shot from 19 ft,,45-35,,
5:10.0,,,45-35,,Defensive rebound by S. Ibaka
4:54.0,,,45-35,,K. Lowry misses 3-pt shot from 22 ft
4:51.0,Defensive rebound by K. Towns,,45-35,,
4:33.0,J. Butler makes 2-pt shot from 11 ft,2,47-35,,
4:15.0,Personal foul by J. Crawford (drawn by K. Lowry),,47-35,,
4:15.0,,,47-36,1,K. Lowry makes free throw 1 of 2
4:15.0,,,47-37,1,K. Lowry makes free throw 2 of 2
3:55.0,J. Teague makes 2-pt shot from 3 ft (assist by J. Butler),2,49-37,,
3:34.0,,,49-39,2,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Lowry)
3:16.0,J. Butler makes 2-pt shot from 2 ft,2,51-39,,
2:55.0,,,51-42,3,K. Lowry makes 3-pt shot from 25 ft (assist by S. Ibaka)
2:45.0,Turnover by J. Teague (bad pass; steal by J. Valanciunas),,51-42,,
2:41.0,,,51-42,,F. VanVleet misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by Team,,51-42,,
2:41.0,,,51-42,,Loose ball foul by S. Ibaka (drawn by J. Butler)
2:41.0,,,51-42,,O. Anunoby enters the game for F. VanVleet
2:41.0,T. Gibson enters the game for N. Bjelica,,51-42,,
2:41.0,A. Wiggins enters the game for J. Crawford,,51-42,,
2:24.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,53-42,,
2:09.0,,,53-44,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry)
1:50.0,T. Gibson makes 2-pt shot from 12 ft,2,55-44,,
1:25.0,,,55-46,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka)
0:58.0,Offensive charge foul by J. Teague (drawn by K. Lowry),,55-46,,
0:58.0,Turnover by J. Teague (offensive foul),,55-46,,
0:46.0,,,55-46,,Shooting foul by J. Butler (drawn by D. DeRozan)
0:46.0,,,55-47,1,D. DeRozan makes free throw 1 of 2
0:46.0,,,55-48,1,D. DeRozan makes free throw 2 of 2
0:38.0,,,55-48,,Personal foul by S. Ibaka (drawn by K. Towns)
0:25.0,J. Butler makes 2-pt shot from 14 ft,2,57-48,,
0:06.0,,,57-51,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:00.0,A. Wiggins misses 2-pt shot from 12 ft,,57-51,,
0:00.0,Offensive rebound by Team,,57-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Butler misses 2-pt shot from 7 ft,,57-51,,
11:35.0,,,57-51,,Defensive rebound by J. Valanciunas
11:29.0,,,57-53,2,K. Lowry makes 2-pt shot from 2 ft
11:08.0,Offensive charge foul by T. Gibson,,57-53,,
11:08.0,Turnover by T. Gibson (offensive foul),,57-53,,
11:08.0,Technical foul by T. Gibson,,57-53,,
11:08.0,,,57-54,1,D. DeRozan makes technical free throw
10:55.0,,,57-54,,J. Valanciunas misses 2-pt shot from 7 ft
10:52.0,Defensive rebound by T. Gibson,,57-54,,
10:46.0,J. Teague makes 2-pt shot from 10 ft,2,59-54,,
10:46.0,Shooting foul by O. Anunoby (drawn by J. Teague),,59-54,,
10:46.0,J. Teague misses free throw 1 of 1,,59-54,,
10:44.0,,,59-54,,Defensive rebound by J. Valanciunas
10:35.0,,,59-54,,S. Ibaka misses 3-pt shot from 25 ft
10:31.0,,,59-54,,Offensive rebound by O. Anunoby
10:19.0,,,59-56,2,D. DeRozan makes 2-pt shot from 14 ft
10:03.0,A. Wiggins makes 2-pt shot from 17 ft,2,61-56,,
9:49.0,,,61-56,,Shooting foul by J. Teague (drawn by D. DeRozan)
9:49.0,,,61-56,,D. DeRozan misses free throw 1 of 2
9:49.0,,,61-56,,Offensive rebound by Team
9:49.0,,,61-57,1,D. DeRozan makes free throw 2 of 2
9:38.0,A. Wiggins makes 2-pt shot from 3 ft (assist by K. Towns),2,63-57,,
9:25.0,,,63-57,,O. Anunoby misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by K. Towns,,63-57,,
9:15.0,J. Teague misses 2-pt shot from 7 ft,,63-57,,
9:12.0,,,63-57,,Defensive rebound by J. Valanciunas
9:00.0,,,63-57,,K. Lowry misses 2-pt shot from 5 ft
8:57.0,,,63-57,,Offensive rebound by J. Valanciunas
8:55.0,,,63-59,2,J. Valanciunas makes 2-pt shot from 1 ft
8:40.0,J. Teague makes 2-pt shot from 2 ft (assist by T. Gibson),2,65-59,,
8:27.0,,,65-62,3,O. Anunoby makes 3-pt shot from 22 ft (assist by S. Ibaka)
8:06.0,J. Teague makes 2-pt shot from 11 ft,2,67-62,,
7:52.0,,,67-65,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
7:29.0,K. Towns misses 2-pt shot from 21 ft,,67-65,,
7:26.0,Offensive rebound by A. Wiggins,,67-65,,
7:25.0,J. Butler makes 3-pt shot from 25 ft (assist by J. Teague),3,70-65,,
7:09.0,,,70-65,,S. Ibaka misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by A. Wiggins,,70-65,,
6:54.0,K. Towns misses 2-pt shot from 3 ft,,70-65,,
6:51.0,,,70-65,,Defensive rebound by K. Lowry
6:45.0,,,70-65,,Turnover by J. Valanciunas (out of bounds lost ball)
6:45.0,,,70-65,,Toronto full timeout
6:26.0,Shooting foul by J. Valanciunas (drawn by K. Towns),,70-65,,
6:26.0,K. Towns makes free throw 1 of 2,1,71-65,,
6:26.0,K. Towns makes free throw 2 of 2,1,72-65,,
6:16.0,,,72-67,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
5:57.0,T. Gibson misses 2-pt shot from 4 ft,,72-67,,
5:55.0,,,72-67,,Defensive rebound by O. Anunoby
5:45.0,,,72-69,2,D. DeRozan makes 2-pt shot from 13 ft
5:30.0,K. Towns misses 2-pt shot from 1 ft,,72-69,,
5:27.0,Offensive rebound by Team,,72-69,,
5:27.0,,,72-69,,Technical foul by S. Ibaka (drawn by K. Towns)
5:27.0,K. Towns makes free throw 1 of 1,1,73-69,,
5:14.0,T. Gibson misses 2-pt shot from 19 ft,,73-69,,
5:12.0,,,73-69,,Defensive rebound by Team
5:02.0,,,73-69,,K. Lowry misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by A. Wiggins,,73-69,,
4:41.0,A. Wiggins misses 2-pt shot from 19 ft,,73-69,,
4:37.0,Offensive rebound by T. Gibson,,73-69,,
4:35.0,T. Gibson misses 2-pt shot from 2 ft,,73-69,,
4:35.0,,,73-69,,Defensive rebound by O. Anunoby
4:33.0,,,73-69,,Turnover by D. DeRozan (traveling)
4:33.0,G. Dieng enters the game for K. Towns,,73-69,,
4:23.0,J. Teague misses 2-pt shot from 5 ft,,73-69,,
4:20.0,,,73-69,,Defensive rebound by D. DeRozan
4:13.0,,,73-71,2,D. DeRozan makes 2-pt shot from 18 ft
3:53.0,Shooting foul by O. Anunoby (drawn by J. Butler),,73-71,,
3:53.0,J. Butler misses free throw 1 of 2,,73-71,,
3:53.0,Offensive rebound by Team,,73-71,,
3:53.0,,,73-71,,N. Powell enters the game for O. Anunoby
3:53.0,J. Butler makes free throw 2 of 2,1,74-71,,
3:40.0,,,74-71,,D. DeRozan misses 3-pt shot from 26 ft
3:36.0,,,74-71,,Offensive rebound by J. Valanciunas
3:34.0,,,74-73,2,J. Valanciunas makes 2-pt shot from 1 ft
3:21.0,A. Wiggins misses 3-pt shot from 25 ft,,74-73,,
3:17.0,Offensive rebound by J. Teague,,74-73,,
3:14.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,76-73,,
3:01.0,,,76-73,,Turnover by K. Lowry (bad pass; steal by G. Dieng)
2:53.0,Turnover by A. Wiggins (bad pass; steal by D. DeRozan),,76-73,,
2:52.0,,,76-75,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:52.0,,,76-75,,Shooting foul by J. Teague (drawn by K. Lowry)
2:52.0,Minnesota full timeout,,76-75,,
2:52.0,,,76-75,,J. Poeltl enters the game for J. Valanciunas
