time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (T. Satoransky gains possession)
11:48.0,,,0-2,2,O. Porter makes 2-pt shot from 15 ft
11:32.0,,,0-2,,Personal foul by O. Porter (drawn by J. Richardson)
11:20.0,H. Whiteside misses 2-pt shot from 19 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by M. Morris
11:05.0,,,0-4,2,T. Satoransky makes 2-pt shot from 6 ft
10:51.0,L. Babbitt misses 3-pt shot from 27 ft (block by O. Porter),,0-4,,
10:48.0,Offensive rebound by J. Johnson,,0-4,,
10:47.0,Turnover by L. Babbitt (step out of bounds),,0-4,,
10:25.0,,,0-7,3,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat)
10:10.0,G. Dragic misses 2-pt shot from 19 ft,,0-7,,
10:07.0,,,0-7,,Defensive rebound by M. Morris
10:01.0,,,0-7,,M. Morris misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by G. Dragic,,0-7,,
9:52.0,G. Dragic makes 2-pt shot from 4 ft,2,2-7,,
9:38.0,,,2-10,3,B. Beal makes 3-pt shot from 24 ft (assist by T. Satoransky)
9:26.0,,,2-10,,Violation by M. Morris (kicked ball)
9:10.0,H. Whiteside misses 2-pt shot from 11 ft,,2-10,,
9:08.0,,,2-10,,Defensive rebound by M. Gortat
8:58.0,,,2-10,,M. Gortat misses 2-pt shot from 10 ft
8:58.0,,,2-10,,Offensive rebound by Team
8:58.0,Loose ball foul by J. Richardson (drawn by M. Gortat),,2-10,,
8:47.0,,,2-13,3,T. Satoransky makes 3-pt shot from 25 ft (assist by B. Beal)
8:44.0,Miami full timeout,,2-13,,
8:29.0,J. Richardson misses 2-pt shot from 15 ft,,2-13,,
8:26.0,Offensive rebound by H. Whiteside,,2-13,,
8:25.0,Shooting foul by M. Morris (drawn by J. Johnson),,2-13,,
8:25.0,J. Johnson makes free throw 1 of 2,1,3-13,,
8:25.0,J. Johnson makes free throw 2 of 2,1,4-13,,
8:07.0,,,4-13,,M. Morris misses 2-pt shot from 10 ft
8:05.0,,,4-13,,Offensive rebound by M. Gortat
8:05.0,,,4-13,,M. Gortat misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by H. Whiteside,,4-13,,
7:46.0,L. Babbitt makes 3-pt shot from 26 ft (assist by G. Dragic),3,7-13,,
7:31.0,,,7-16,3,B. Beal makes 3-pt shot from 24 ft (assist by T. Satoransky)
7:04.0,J. Johnson misses 2-pt shot from 13 ft,,7-16,,
7:04.0,Offensive rebound by Team,,7-16,,
7:04.0,Turnover by Team (shot clock),,7-16,,
6:47.0,,,7-16,,T. Satoransky misses 2-pt shot from 8 ft
6:46.0,,,7-16,,Offensive rebound by M. Gortat
6:43.0,,,7-16,,M. Gortat misses 2-pt shot from 2 ft
6:43.0,,,7-16,,Offensive rebound by T. Satoransky
6:34.0,,,7-18,2,T. Satoransky makes 2-pt shot at rim
