time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Reed vs. W. Cauley-Stein (G. Temple gains possession),,,,Jump ball: W. Reed vs. W. Cauley-Stein (G. Temple gains possession)
11:45.0,G. Hill misses 3-pt shot from 22 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by B. Griffin
11:36.0,,,0-0,,Turnover by B. Griffin (bad pass; steal by D. Fox)
11:32.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Hill),2,2-0,,
11:08.0,Jump ball: T. Wallace vs. G. Hill (L. Williams gains possession),,,,Jump ball: T. Wallace vs. G. Hill (L. Williams gains possession)
11:05.0,,,2-0,,L. Williams misses 2-pt shot from 7 ft
11:01.0,Defensive rebound by W. Cauley-Stein,,2-0,,
10:47.0,Z. Randolph misses 2-pt shot from 15 ft,,2-0,,
10:39.0,Offensive rebound by G. Hill,,2-0,,
10:39.0,G. Hill makes 2-pt shot at rim,2,4-0,,
10:26.0,,,4-0,,L. Williams misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by G. Temple,,4-0,,
10:20.0,Turnover by G. Temple (bad pass; steal by W. Reed),,4-0,,
10:05.0,,,4-2,2,W. Reed makes 2-pt shot from 5 ft
10:05.0,,,4-2,,Shooting foul by G. Hill (drawn by W. Reed)
10:05.0,,,4-2,,W. Reed misses free throw 1 of 1
10:02.0,Defensive rebound by G. Temple,,4-2,,
10:00.0,,,4-2,,Personal block foul by T. Wallace (drawn by D. Fox)
9:51.0,Turnover by D. Fox (bad pass; steal by W. Reed),,4-2,,
9:39.0,,,4-5,3,M. Teodosic makes 3-pt shot from 24 ft (assist by B. Griffin)
9:23.0,G. Temple misses 3-pt shot from 25 ft,,4-5,,
9:20.0,,,4-5,,Defensive rebound by W. Reed
9:15.0,,,4-8,3,B. Griffin makes 3-pt shot from 25 ft
8:57.0,Turnover by Z. Randolph (lost ball; steal by L. Williams),,4-8,,
8:53.0,,,4-8,,B. Griffin misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by Team,,4-8,,
8:38.0,D. Fox misses 3-pt shot from 25 ft,,4-8,,
8:35.0,,,4-8,,Defensive rebound by W. Reed
8:33.0,Personal foul by D. Fox (drawn by L. Williams),,4-8,,
8:25.0,,,4-8,,Shooting foul by W. Cauley-Stein (drawn by B. Griffin)
8:25.0,,,4-9,1,B. Griffin makes free throw 1 of 2
8:25.0,,,4-10,1,B. Griffin makes free throw 2 of 2
8:03.0,G. Temple misses 3-pt shot from 22 ft,,4-10,,
7:58.0,Offensive rebound by W. Cauley-Stein,,4-10,,
7:51.0,Z. Randolph misses 2-pt shot from 8 ft,,4-10,,
7:48.0,,,4-10,,Defensive rebound by W. Reed
7:45.0,Personal foul by D. Fox (drawn by L. Williams),,4-10,,
7:35.0,,,4-12,2,T. Wallace makes 2-pt shot from 1 ft (assist by B. Griffin)
7:30.0,Sacramento full timeout,,4-12,,
7:30.0,B. Bogdanovic enters the game for D. Fox,,4-12,,
7:14.0,G. Temple makes 2-pt shot from 8 ft (assist by W. Cauley-Stein),2,6-12,,
6:59.0,,,6-12,,T. Wallace misses 2-pt shot from 12 ft
6:57.0,,,6-12,,Offensive rebound by B. Griffin
6:53.0,,,6-14,2,M. Teodosic makes 2-pt shot from 20 ft (assist by B. Griffin)
6:38.0,,,6-14,,Personal foul by W. Reed (drawn by W. Cauley-Stein)
6:38.0,,,6-14,,J. Evans enters the game for M. Teodosic
6:25.0,G. Temple makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,8-14,,
6:08.0,,,8-14,,Shooting foul by B. Bogdanovic (drawn by L. Williams)
6:08.0,,,8-15,1,L. Williams makes free throw 1 of 3
6:08.0,,,8-16,1,L. Williams makes free throw 2 of 3
6:08.0,,,8-17,1,L. Williams makes free throw 3 of 3
5:46.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by W. Reed),,8-17,,
5:42.0,,,8-17,,Defensive rebound by J. Evans
5:37.0,B. Hield enters the game for G. Temple,,8-17,,
5:26.0,,,8-17,,B. Griffin misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by B. Hield,,8-17,,
5:07.0,B. Hield makes 2-pt shot from 18 ft (assist by W. Cauley-Stein),2,10-17,,
4:44.0,Personal foul by B. Hield (drawn by T. Wallace),,10-17,,
4:44.0,,,10-18,1,T. Wallace makes free throw 1 of 2
4:44.0,,,10-18,,W. Johnson enters the game for L. Williams
4:44.0,K. Koufos enters the game for Z. Randolph,,10-18,,
4:44.0,,,10-19,1,T. Wallace makes free throw 2 of 2
4:25.0,Turnover by B. Bogdanovic (bad pass),,10-19,,
4:07.0,,,10-21,2,W. Reed makes 2-pt shot from 2 ft (assist by B. Griffin)
3:57.0,,,10-21,,Personal foul by B. Griffin (drawn by K. Koufos)
3:47.0,B. Bogdanovic misses 2-pt shot from 16 ft,,10-21,,
3:43.0,,,10-21,,Defensive rebound by W. Reed
3:34.0,,,10-21,,W. Johnson misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by W. Cauley-Stein,,10-21,,
3:24.0,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by G. Hill),2,12-21,,
2:57.0,,,12-23,2,T. Wallace makes 2-pt shot from 1 ft (assist by W. Reed)
2:47.0,G. Hill misses 2-pt shot from 16 ft,,12-23,,
2:44.0,,,12-23,,Defensive rebound by W. Reed
2:39.0,,,12-23,,J. Evans misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by B. Hield,,12-23,,
2:28.0,K. Koufos misses 2-pt shot from 7 ft,,12-23,,
2:27.0,Offensive rebound by Team,,12-23,,
2:27.0,,,12-23,,LA Clippers full timeout
2:27.0,,,12-23,,M. Harrell enters the game for W. Reed
2:27.0,S. Labissiere enters the game for W. Cauley-Stein,,12-23,,
2:27.0,V. Carter enters the game for B. Hield,,12-23,,
2:19.0,Turnover by K. Koufos (traveling),,12-23,,
2:00.0,,,12-25,2,M. Harrell makes 2-pt shot from 2 ft
1:49.0,V. Carter misses 2-pt shot from 16 ft,,12-25,,
1:42.0,Offensive rebound by S. Labissiere,,12-25,,
1:42.0,S. Labissiere misses 2-pt shot at rim,,12-25,,
1:41.0,,,12-25,,Defensive rebound by B. Griffin
1:34.0,,,12-28,3,W. Johnson makes 3-pt shot from 25 ft (assist by J. Evans)
1:12.0,,,12-28,,S. Dekker enters the game for B. Griffin
1:09.0,S. Labissiere makes 3-pt shot from 25 ft (assist by V. Carter),3,15-28,,
0:54.0,,,15-30,2,S. Dekker makes 2-pt shot from 2 ft (assist by T. Wallace)
0:49.0,,,15-30,,Personal foul by J. Evans (drawn by G. Hill)
0:37.0,S. Labissiere misses 2-pt shot from 8 ft,,15-30,,
0:35.0,Offensive rebound by S. Labissiere,,15-30,,
0:27.0,B. Bogdanovic makes 2-pt shot from 21 ft (assist by G. Hill),2,17-30,,
0:12.0,,,17-30,,Turnover by M. Harrell (lost ball; steal by B. Bogdanovic)
0:00.0,G. Hill misses 3-pt shot from 25 ft,,17-30,,
0:00.0,Offensive rebound by Team,,17-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,17-30,,Turnover by J. Evans (bad pass; steal by V. Carter)
11:26.0,D. Fox misses 2-pt shot from 12 ft (block by W. Johnson),,17-30,,
11:21.0,,,17-30,,Defensive rebound by W. Johnson
11:12.0,,,17-32,2,M. Harrell makes 2-pt shot at rim
10:56.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,19-32,,
10:51.0,Personal foul by K. Koufos (drawn by M. Harrell),,19-32,,
10:51.0,,,19-33,1,M. Harrell makes clear path free throw 1 of 2
10:51.0,,,19-33,,M. Harrell misses clear path free throw 2 of 2
10:51.0,,,19-33,,Offensive rebound by Team
10:44.0,,,19-33,,L. Williams misses 3-pt shot from 24 ft
10:39.0,,,19-33,,Offensive rebound by M. Harrell
10:37.0,,,19-33,,S. Dekker misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by S. Labissiere,,19-33,,
10:22.0,Shooting foul by W. Johnson (drawn by K. Koufos),,19-33,,
10:22.0,K. Koufos misses free throw 1 of 2,,19-33,,
10:22.0,Offensive rebound by Team,,19-33,,
10:22.0,K. Koufos misses free throw 2 of 2,,19-33,,
10:18.0,,,19-33,,Defensive rebound by J. Evans
10:05.0,,,19-36,3,W. Johnson makes 3-pt shot from 22 ft (assist by J. Evans)
9:56.0,Turnover by D. Fox (lost ball; steal by S. Dekker),,19-36,,
9:52.0,,,19-38,2,S. Dekker makes 2-pt shot from 1 ft
9:47.0,Sacramento full timeout,,19-38,,
9:47.0,W. Cauley-Stein enters the game for K. Koufos,,19-38,,
