time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (R. Rondo gains possession),,,,Jump ball: S. Adams vs. A. Davis (R. Rondo gains possession)
11:45.0,E. Moore misses 2-pt shot from 7 ft (block by S. Adams),,0-0,,
11:45.0,Offensive rebound by Team,,0-0,,
11:42.0,A. Davis misses 2-pt shot from 8 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Westbrook
11:24.0,,,0-0,,C. Anthony misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by R. Rondo,,0-0,,
11:12.0,A. Davis misses 2-pt shot from 14 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by R. Westbrook
11:08.0,Personal foul by E. Moore (drawn by T. Ferguson),,0-0,,
11:01.0,,,0-0,,Turnover by R. Westbrook (lost ball; steal by R. Rondo)
10:56.0,J. Holiday makes 3-pt shot from 25 ft,3,3-0,,
10:36.0,,,3-0,,Turnover by P. George (bad pass; steal by J. Holiday)
10:20.0,J. Holiday misses 2-pt shot from 9 ft,,3-0,,
10:16.0,,,3-0,,Defensive rebound by R. Westbrook
10:10.0,,,3-2,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
9:51.0,E. Moore makes 3-pt shot from 22 ft (assist by J. Holiday),3,6-2,,
9:42.0,,,6-2,,P. George misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by R. Rondo,,6-2,,
9:33.0,Turnover by R. Rondo (out of bounds lost ball),,6-2,,
9:21.0,,,6-4,2,R. Westbrook makes 2-pt shot from 15 ft
9:13.0,J. Holiday misses 2-pt shot from 6 ft,,6-4,,
9:10.0,,,6-4,,Defensive rebound by S. Adams
9:08.0,,,6-4,,P. George misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by A. Davis,,6-4,,
8:59.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,8-4,,
8:59.0,Shooting foul by S. Adams (drawn by A. Davis),,8-4,,
8:59.0,A. Davis misses free throw 1 of 1,,8-4,,
8:55.0,,,8-4,,Defensive rebound by C. Anthony
8:49.0,,,8-4,,C. Anthony misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by A. Davis,,8-4,,
8:42.0,E. Moore makes 2-pt shot from 6 ft (assist by R. Rondo),2,10-4,,
8:30.0,,,10-4,,T. Ferguson misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by Team,,10-4,,
8:18.0,R. Rondo misses 2-pt shot from 17 ft,,10-4,,
8:14.0,,,10-4,,Defensive rebound by P. George
8:08.0,,,10-4,,P. George misses 2-pt shot from 15 ft
8:07.0,,,10-4,,Offensive rebound by Team
8:07.0,Loose ball foul by A. Davis (drawn by S. Adams),,10-4,,
8:07.0,,,10-4,,Oklahoma City full timeout
7:58.0,,,10-4,,Shooting foul by E. Moore (drawn by T. Ferguson)
7:58.0,,,10-5,1,T. Ferguson makes free throw 1 of 2
7:58.0,I. Clark enters the game for E. Moore,,10-5,,
7:58.0,,,10-6,1,T. Ferguson makes free throw 2 of 2
7:48.0,A. Davis makes 2-pt shot from 14 ft (assist by J. Holiday),2,12-6,,
7:34.0,,,12-6,,Turnover by R. Westbrook (bad pass; steal by R. Rondo)
7:25.0,Turnover by I. Clark (traveling),,12-6,,
7:10.0,,,12-8,2,C. Anthony makes 2-pt shot from 3 ft (assist by R. Westbrook)
6:57.0,A. Davis misses 2-pt shot from 12 ft,,12-8,,
6:54.0,,,12-8,,Defensive rebound by R. Westbrook
6:46.0,,,12-10,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:29.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,14-10,,
6:18.0,,,14-10,,R. Westbrook misses 2-pt shot from 13 ft
6:15.0,,,14-10,,Offensive rebound by S. Adams
6:12.0,,,14-10,,R. Westbrook misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by D. Cunningham,,14-10,,
5:54.0,R. Rondo misses 3-pt shot from 26 ft,,14-10,,
5:51.0,,,14-10,,Defensive rebound by C. Anthony
5:48.0,,,14-10,,Turnover by P. George (out of bounds lost ball)
5:31.0,A. Davis misses 2-pt shot from 10 ft,,14-10,,
5:27.0,,,14-10,,Defensive rebound by S. Adams
5:25.0,,,14-12,2,R. Westbrook makes 2-pt shot from 11 ft
5:25.0,,,14-12,,Shooting foul by R. Rondo (drawn by R. Westbrook)
5:25.0,D. Miller enters the game for J. Holiday,,14-12,,
5:25.0,,,14-13,1,R. Westbrook makes free throw 1 of 1
5:05.0,R. Rondo misses 2-pt shot from 3 ft (block by C. Anthony),,14-13,,
