time,Toronto,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (S. Ibaka gains possession)
11:38.0,S. Ibaka misses 2-pt shot from 16 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Wilson
11:19.0,,,0-3,3,A. Rivers makes 3-pt shot from 26 ft (assist by D. Jordan)
10:57.0,Shooting foul by W. Johnson (drawn by J. Valanciunas),,0-3,,
10:57.0,J. Valanciunas makes free throw 1 of 2,1,1-3,,
10:57.0,J. Valanciunas makes free throw 2 of 2,1,2-3,,
10:42.0,,,2-3,,M. Teodosic misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by D. DeRozan,,2-3,,
10:31.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by S. Ibaka),2,4-3,,
10:15.0,,,4-3,,W. Johnson misses 2-pt shot from 13 ft
10:10.0,Defensive rebound by J. Valanciunas,,4-3,,
10:07.0,Shooting foul by A. Rivers (drawn by D. DeRozan),,4-3,,
10:07.0,D. DeRozan makes free throw 1 of 2,1,5-3,,
10:07.0,D. DeRozan makes free throw 2 of 2,1,6-3,,
9:53.0,,,6-3,,Turnover by A. Rivers (bad pass)
9:46.0,S. Ibaka misses 3-pt shot from 24 ft,,6-3,,
9:43.0,,,6-3,,Defensive rebound by A. Rivers
9:29.0,,,6-3,,Turnover by D. Jordan (bad pass; steal by K. Lowry)
9:21.0,Turnover by K. Lowry (bad pass; steal by A. Rivers),,6-3,,
9:17.0,,,6-3,,J. Wilson misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by S. Ibaka,,6-3,,
8:57.0,J. Valanciunas makes 2-pt shot from 15 ft,2,8-3,,
8:49.0,Personal foul by J. Valanciunas (drawn by D. Jordan),,8-3,,
8:44.0,,,8-5,2,M. Teodosic makes 2-pt shot from 17 ft
8:32.0,O. Anunoby misses 2-pt shot from 1 ft,,8-5,,
8:30.0,,,8-5,,Defensive rebound by D. Jordan
8:26.0,,,8-5,,A. Rivers misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by S. Ibaka,,8-5,,
8:13.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. DeRozan),2,10-5,,
7:58.0,,,10-5,,D. Jordan misses 2-pt shot at rim
7:56.0,Defensive rebound by J. Valanciunas,,10-5,,
7:47.0,S. Ibaka misses 3-pt shot from 26 ft,,10-5,,
7:43.0,Offensive rebound by O. Anunoby,,10-5,,
7:37.0,Turnover by D. DeRozan (out of bounds lost ball),,10-5,,
7:37.0,,,10-5,,L. Williams enters the game for M. Teodosic
7:23.0,,,10-5,,A. Rivers misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by J. Valanciunas,,10-5,,
7:14.0,K. Lowry misses 3-pt shot from 26 ft,,10-5,,
7:10.0,,,10-5,,Defensive rebound by D. Jordan
7:02.0,,,10-5,,W. Johnson misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by D. DeRozan,,10-5,,
6:51.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by D. DeRozan),2,12-5,,
6:49.0,,,12-5,,LA Clippers full timeout
6:37.0,,,12-5,,D. Jordan misses 2-pt shot from 4 ft
6:35.0,Defensive rebound by O. Anunoby,,12-5,,
6:28.0,K. Lowry misses 2-pt shot from 1 ft (block by D. Jordan),,12-5,,
6:27.0,,,12-5,,Defensive rebound by J. Wilson
6:23.0,,,12-7,2,W. Johnson makes 2-pt shot from 1 ft (assist by L. Williams)
6:10.0,S. Ibaka misses 2-pt shot from 15 ft,,12-7,,
6:07.0,,,12-7,,Defensive rebound by L. Williams
6:02.0,,,12-7,,A. Rivers misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by Team,,12-7,,
5:59.0,,,12-7,,S. Dekker enters the game for J. Wilson
5:39.0,J. Valanciunas makes 2-pt shot from 16 ft,2,14-7,,
5:28.0,,,14-7,,L. Williams misses 2-pt shot from 2 ft
5:28.0,,,14-7,,Offensive rebound by Team
5:18.0,,,14-7,,S. Dekker misses 3-pt shot from 27 ft
5:16.0,Defensive rebound by K. Lowry,,14-7,,
5:15.0,Turnover by K. Lowry (bad pass; steal by S. Dekker),,14-7,,
5:09.0,,,14-7,,L. Williams misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by J. Valanciunas,,14-7,,
4:47.0,Shooting foul by D. Jordan (drawn by J. Valanciunas),,14-7,,
4:47.0,J. Valanciunas makes free throw 1 of 2,1,15-7,,
4:47.0,,,15-7,,S. Thornwell enters the game for W. Johnson
4:47.0,P. Siakam enters the game for S. Ibaka,,15-7,,
4:47.0,J. Valanciunas makes free throw 2 of 2,1,16-7,,
4:32.0,,,16-7,,S. Dekker misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by J. Valanciunas,,16-7,,
4:26.0,O. Anunoby makes 3-pt shot from 22 ft (assist by D. DeRozan),3,19-7,,
4:06.0,,,19-7,,L. Williams misses 2-pt shot from 2 ft
4:01.0,,,19-7,,Offensive rebound by L. Williams
4:01.0,,,19-9,2,L. Williams makes 2-pt shot at rim
3:56.0,D. DeRozan makes 2-pt shot from 1 ft (assist by P. Siakam),2,21-9,,
3:33.0,,,21-12,3,L. Williams makes 3-pt shot from 26 ft
3:21.0,Shooting foul by S. Dekker (drawn by D. DeRozan),,21-12,,
3:21.0,D. DeRozan makes free throw 1 of 2,1,22-12,,
3:21.0,,,22-12,,M. Harrell enters the game for D. Jordan
3:21.0,C. Miles enters the game for O. Anunoby,,22-12,,
3:21.0,J. Poeltl enters the game for J. Valanciunas,,22-12,,
3:21.0,D. DeRozan makes free throw 2 of 2,1,23-12,,
3:04.0,,,23-14,2,S. Dekker makes 2-pt shot from 2 ft
3:04.0,,,23-14,,Shooting foul by P. Siakam (drawn by S. Dekker)
3:04.0,Toronto full timeout,,23-14,,
3:04.0,,,23-14,,J. Evans enters the game for A. Rivers
3:04.0,F. VanVleet enters the game for K. Lowry,,23-14,,
3:04.0,,,23-15,1,S. Dekker makes free throw 1 of 1
2:48.0,D. DeRozan makes 2-pt shot from 6 ft,2,25-15,,
2:36.0,,,25-17,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Evans)
2:15.0,F. VanVleet misses 2-pt shot from 3 ft (block by S. Thornwell),,25-17,,
2:12.0,,,25-17,,Defensive rebound by S. Thornwell
2:01.0,,,25-17,,M. Harrell misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by P. Siakam,,25-17,,
1:48.0,P. Siakam misses 3-pt shot from 25 ft,,25-17,,
1:44.0,,,25-17,,Defensive rebound by J. Evans
1:40.0,,,25-17,,S. Dekker misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by F. VanVleet,,25-17,,
1:28.0,C. Miles makes 3-pt shot from 25 ft (assist by P. Siakam),3,28-17,,
1:13.0,,,28-17,,Turnover by M. Harrell (bad pass; steal by P. Siakam)
0:56.0,C. Miles makes 2-pt shot from 1 ft (assist by D. DeRozan),2,30-17,,
0:37.0,,,30-19,2,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams)
0:27.0,D. DeRozan misses 2-pt shot from 1 ft,,30-19,,
0:25.0,,,30-19,,Defensive rebound by S. Dekker
0:09.0,Personal take foul by P. Siakam (drawn by S. Thornwell),,30-19,,
0:09.0,N. Powell enters the game for D. DeRozan,,30-19,,
0:04.0,,,30-19,,L. Williams misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by N. Powell,,30-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-19,,J. Evans misses 2-pt shot from 2 ft (block by J. Poeltl)
11:41.0,Defensive rebound by C. Miles,,30-19,,
11:23.0,C. Miles misses 2-pt shot from 2 ft,,30-19,,
11:20.0,,,30-19,,Defensive rebound by S. Thornwell
11:17.0,Personal foul by P. Siakam (drawn by L. Williams),,30-19,,
11:17.0,O. Anunoby enters the game for P. Siakam,,30-19,,
11:10.0,,,30-19,,Turnover by J. Evans (bad pass; steal by O. Anunoby)
