time,LA Lakers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. B. Lopez (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. B. Lopez (S. Ibaka gains possession)
11:40.0,,,0-0,,D. DeRozan misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by B. Lopez,,0-0,,
11:25.0,B. Ingram misses 2-pt shot from 21 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Valanciunas
11:14.0,,,0-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by B. Ingram,,0-0,,
11:04.0,J. Randle misses 2-pt shot from 19 ft,,0-0,,
11:01.0,Offensive rebound by K. Caldwell-Pope,,0-0,,
10:56.0,B. Lopez misses 2-pt shot from 10 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by J. Valanciunas
10:49.0,,,0-0,,O. Anunoby misses 3-pt shot from 22 ft
10:44.0,Defensive rebound by J. Randle,,0-0,,
10:36.0,B. Ingram makes 3-pt shot from 26 ft (assist by J. Randle),3,3-0,,
10:14.0,,,3-3,3,J. Valanciunas makes 3-pt shot from 22 ft (assist by O. Anunoby)
9:58.0,B. Lopez makes 2-pt shot from 7 ft,2,5-3,,
9:45.0,,,5-3,,Turnover by D. DeRozan (bad pass; steal by T. Ennis)
9:41.0,Offensive foul by T. Ennis (drawn by K. Lowry),,5-3,,
9:41.0,Turnover by T. Ennis (offensive foul),,5-3,,
9:29.0,,,5-3,,J. Valanciunas misses 2-pt shot from 4 ft
9:29.0,Defensive rebound by Team,,5-3,,
9:18.0,B. Ingram misses 2-pt shot from 15 ft,,5-3,,
9:14.0,,,5-3,,Defensive rebound by J. Valanciunas
9:05.0,,,5-3,,D. DeRozan misses 2-pt shot from 5 ft (block by B. Lopez)
9:03.0,,,5-3,,Offensive rebound by S. Ibaka
