time,Denver,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. P. Millsap (E. Ilyasova gains possession),,,,Jump ball: D. Dedmon vs. P. Millsap (E. Ilyasova gains possession)
11:52.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by T. Waller-Prince)
11:28.0,P. Millsap makes 2-pt shot from 1 ft,2,2-2,,
11:10.0,,,2-2,,D. Schroder misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by P. Millsap,,2-2,,
11:02.0,J. Murray makes 2-pt shot from 2 ft (assist by P. Millsap),2,4-2,,
10:50.0,,,4-5,3,T. Waller-Prince makes 3-pt shot from 26 ft (assist by K. Bazemore)
10:32.0,J. Murray makes 2-pt shot from 9 ft,2,6-5,,
10:16.0,,,6-5,,Turnover by T. Waller-Prince (traveling)
9:53.0,P. Millsap misses 3-pt shot from 25 ft,,6-5,,
9:49.0,,,6-5,,Defensive rebound by D. Dedmon
9:39.0,,,6-5,,D. Dedmon misses 2-pt shot from 2 ft (block by P. Millsap)
9:32.0,Defensive rebound by J. Murray,,6-5,,
9:31.0,J. Murray misses 2-pt shot from 21 ft,,6-5,,
9:31.0,Offensive rebound by N. Jokic,,6-5,,
9:24.0,N. Jokic makes 2-pt shot from 2 ft,2,8-5,,
9:21.0,,,8-5,,Violation by D. Dedmon (def goaltending)
8:59.0,,,8-8,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by K. Bazemore)
8:42.0,W. Chandler misses 2-pt shot from 12 ft,,8-8,,
8:38.0,,,8-8,,Defensive rebound by D. Schroder
8:32.0,,,8-8,,D. Schroder misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by W. Chandler,,8-8,,
8:16.0,G. Harris misses 3-pt shot from 25 ft,,8-8,,
8:11.0,Offensive rebound by N. Jokic,,8-8,,
8:06.0,J. Murray misses 2-pt shot from 2 ft,,8-8,,
7:59.0,Offensive rebound by J. Murray,,8-8,,
7:56.0,G. Harris makes 2-pt shot from 2 ft,2,10-8,,
7:39.0,Personal foul by J. Murray (drawn by D. Schroder),,10-8,,
7:38.0,,,10-8,,Turnover by K. Bazemore (bad pass; steal by G. Harris)
7:34.0,G. Harris misses 2-pt shot from 2 ft (block by K. Bazemore),,10-8,,
7:30.0,,,10-8,,Defensive rebound by D. Dedmon
7:28.0,,,10-11,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder)
7:15.0,G. Harris makes 3-pt shot from 24 ft (assist by W. Chandler),3,13-11,,
6:58.0,,,13-14,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
6:55.0,Denver full timeout,,13-14,,
6:55.0,,,13-14,,M. Delaney enters the game for D. Schroder
6:37.0,P. Millsap misses 2-pt shot from 13 ft,,13-14,,
6:34.0,,,13-14,,Defensive rebound by T. Waller-Prince
6:30.0,,,13-14,,E. Ilyasova misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by P. Millsap,,13-14,,
6:08.0,P. Millsap misses 2-pt shot from 1 ft,,13-14,,
6:05.0,,,13-14,,Defensive rebound by D. Dedmon
5:54.0,,,13-14,,J. Collins enters the game for D. Dedmon
5:54.0,,,13-14,,M. Belinelli enters the game for K. Bazemore
5:54.0,M. Plumlee enters the game for N. Jokic,,13-14,,
5:53.0,,,13-14,,Shooting foul by G. Harris (drawn by E. Ilyasova)
5:41.0,,,13-14,,E. Ilyasova misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by Team,,13-14,,
5:27.0,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris),2,15-14,,
5:14.0,,,15-14,,M. Belinelli misses 3-pt shot from 25 ft
