time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. D. Powell (L. Ball gains possession),,,,Jump ball: B. Lopez vs. D. Powell (L. Ball gains possession)
11:40.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by L. Ball)
11:24.0,Shooting foul by B. Lopez (drawn by D. Finney-Smith),,0-2,,
11:24.0,D. Finney-Smith makes free throw 1 of 2,1,1-2,,
11:24.0,D. Finney-Smith makes free throw 2 of 2,1,2-2,,
11:09.0,,,2-4,2,B. Ingram makes 2-pt shot at rim (assist by J. Randle)
10:50.0,H. Barnes misses 2-pt shot from 14 ft,,2-4,,
10:46.0,,,2-4,,Defensive rebound by J. Randle
10:32.0,,,2-6,2,J. Randle makes 2-pt shot from 1 ft
10:32.0,,,2-6,,Shooting foul by H. Barnes (drawn by J. Randle)
10:32.0,,,2-7,1,J. Randle makes free throw 1 of 1
10:21.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,4-7,,
10:06.0,Personal foul by D. Powell (drawn by B. Ingram),,4-7,,
9:55.0,,,4-7,,Turnover by J. Randle (lost ball; steal by D. Powell)
9:50.0,D. Smith makes 3-pt shot from 25 ft,3,7-7,,
9:23.0,,,7-10,3,B. Lopez makes 3-pt shot from 24 ft (assist by B. Ingram)
9:11.0,D. Smith makes 3-pt shot from 25 ft,3,10-10,,
8:53.0,,,10-13,3,L. Ball makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
8:37.0,Turnover by H. Barnes (bad pass; steal by B. Lopez),,10-13,,
8:31.0,,,10-13,,K. Caldwell-Pope misses 3-pt shot from 22 ft
8:24.0,Defensive rebound by D. Nowitzki,,10-13,,
8:16.0,,,10-13,,Personal foul by J. Randle (drawn by D. Smith)
8:06.0,H. Barnes misses 3-pt shot from 22 ft,,10-13,,
8:02.0,,,10-13,,Defensive rebound by J. Randle
7:58.0,Violation by H. Barnes (kicked ball),,10-13,,
7:43.0,,,10-13,,Turnover by J. Randle (bad pass; steal by H. Barnes)
7:40.0,D. Smith makes 2-pt shot from 1 ft,2,12-13,,
7:18.0,,,12-13,,B. Lopez misses 3-pt shot from 28 ft
7:14.0,Defensive rebound by H. Barnes,,12-13,,
7:09.0,D. Smith misses 3-pt shot from 25 ft,,12-13,,
7:09.0,Offensive rebound by D. Finney-Smith,,12-13,,
7:02.0,D. Finney-Smith misses 3-pt shot from 26 ft,,12-13,,
7:02.0,,,12-13,,Defensive rebound by L. Ball
6:54.0,,,12-15,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball)
6:54.0,Dallas full timeout,,12-15,,
6:42.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith),3,15-15,,
6:23.0,,,15-15,,Turnover by B. Ingram (lost ball; steal by D. Finney-Smith)
6:20.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by D. Smith),2,17-15,,
6:07.0,,,17-17,2,B. Lopez makes 2-pt shot from 9 ft (assist by B. Ingram)
5:44.0,D. Nowitzki misses 2-pt shot from 1 ft,,17-17,,
5:40.0,Offensive rebound by D. Powell,,17-17,,
5:40.0,D. Powell makes 2-pt shot at rim,2,19-17,,
5:35.0,,,19-17,,L. Ball misses 2-pt shot from 7 ft
5:31.0,,,19-17,,Offensive rebound by L. Ball
5:29.0,,,19-17,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by D. Powell,,19-17,,
5:13.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,22-17,,
5:11.0,,,22-17,,LA Lakers full timeout
5:11.0,,,22-17,,K. Kuzma enters the game for B. Ingram
5:11.0,M. Kleber enters the game for D. Nowitzki,,22-17,,
4:59.0,,,22-19,2,B. Lopez makes 2-pt shot from 1 ft
4:44.0,D. Powell misses 3-pt shot from 25 ft,,22-19,,
4:40.0,,,22-19,,Defensive rebound by K. Caldwell-Pope
4:28.0,,,22-21,2,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball)
4:08.0,D. Smith makes 3-pt shot from 24 ft (assist by D. Powell),3,25-21,,
3:54.0,N. Noel enters the game for D. Powell,,25-21,,
3:49.0,,,25-21,,J. Randle misses 2-pt shot from 5 ft
