time,Washington,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (J. Wall gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (J. Wall gains possession)
11:48.0,M. Gortat misses 2-pt shot from 11 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Green
11:26.0,,,0-0,,W. Selden misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by O. Porter,,0-0,,
11:10.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,3-0,,
10:53.0,,,3-2,2,D. Brooks makes 2-pt shot from 16 ft (assist by M. Gasol)
10:46.0,M. Gortat misses 2-pt shot at rim (block by M. Gasol),,3-2,,
10:41.0,Offensive rebound by O. Porter,,3-2,,
10:41.0,O. Porter misses 2-pt shot at rim,,3-2,,
10:40.0,,,3-2,,Defensive rebound by D. Brooks
10:32.0,,,3-2,,T. Evans misses 2-pt shot at rim (block by M. Gortat)
10:27.0,Defensive rebound by M. Morris,,3-2,,
10:25.0,Turnover by J. Wall (bad pass),,3-2,,
10:04.0,,,3-4,2,M. Gasol makes 2-pt shot from 12 ft
9:51.0,M. Morris makes 2-pt shot from 15 ft,2,5-4,,
9:43.0,,,5-4,,T. Evans misses 2-pt shot from 2 ft (block by M. Morris)
9:43.0,,,5-4,,Offensive rebound by Team
9:41.0,,,5-4,,T. Evans misses 2-pt shot from 20 ft
9:39.0,Defensive rebound by M. Morris,,5-4,,
9:23.0,M. Gortat misses 2-pt shot from 2 ft,,5-4,,
9:20.0,,,5-4,,Defensive rebound by M. Gasol
9:17.0,,,5-4,,Turnover by J. Green (bad pass; steal by B. Beal)
9:11.0,O. Porter misses 3-pt shot from 24 ft,,5-4,,
9:06.0,,,5-4,,Defensive rebound by M. Gasol
8:57.0,,,5-4,,M. Gasol misses 2-pt shot from 15 ft
8:55.0,Defensive rebound by M. Morris,,5-4,,
8:49.0,B. Beal misses 3-pt shot from 23 ft,,5-4,,
8:47.0,,,5-4,,Defensive rebound by M. Gasol
8:31.0,,,5-6,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
