time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (P. George gains possession),,,,Jump ball: S. Adams vs. R. Gobert (P. George gains possession)
11:43.0,,,0-2,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:20.0,D. Mitchell makes 2-pt shot from 22 ft,2,2-2,,
11:07.0,,,2-2,,C. Anthony misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by R. Rubio,,2-2,,
10:48.0,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles),3,5-2,,
10:25.0,,,5-2,,P. George misses 3-pt shot from 22 ft
10:23.0,Defensive rebound by R. Gobert,,5-2,,
10:12.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,8-2,,
9:57.0,,,8-4,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:30.0,Turnover by J. Ingles (bad pass; steal by S. Adams),,8-4,,
9:25.0,,,8-4,,R. Westbrook misses 2-pt shot from 17 ft
9:22.0,Defensive rebound by J. Ingles,,8-4,,
9:12.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,11-4,,
8:55.0,,,11-4,,Turnover by P. George (bad pass; steal by R. Gobert)
8:45.0,D. Mitchell misses 2-pt shot from 12 ft,,11-4,,
8:42.0,,,11-4,,Defensive rebound by C. Anthony
8:36.0,,,11-4,,Shooting foul by D. Favors (drawn by S. Adams)
8:36.0,,,11-4,,S. Adams misses free throw 1 of 2
8:36.0,,,11-4,,Offensive rebound by Team
8:36.0,J. Jerebko enters the game for D. Favors,,11-4,,
8:36.0,,,11-5,1,S. Adams makes free throw 2 of 2
8:20.0,R. Rubio misses 2-pt shot from 1 ft,,11-5,,
8:17.0,,,11-5,,Defensive rebound by R. Westbrook
8:16.0,,,11-5,,Turnover by R. Westbrook (lost ball; steal by R. Rubio)
8:13.0,Shooting foul by R. Westbrook (drawn by R. Gobert),,11-5,,
8:13.0,R. Gobert misses free throw 1 of 2,,11-5,,
8:13.0,Offensive rebound by Team,,11-5,,
8:13.0,R. Gobert misses free throw 2 of 2,,11-5,,
8:11.0,,,11-5,,Defensive rebound by R. Westbrook
8:02.0,,,11-5,,C. Anthony misses 2-pt shot from 15 ft
7:57.0,,,11-5,,Offensive rebound by S. Adams
7:46.0,,,11-5,,Shooting foul by R. Gobert (drawn by C. Anthony)
7:46.0,,,11-6,1,C. Anthony makes free throw 1 of 2
7:46.0,,,11-7,1,C. Anthony makes free throw 2 of 2
7:35.0,J. Jerebko misses 3-pt shot from 22 ft,,11-7,,
7:31.0,,,11-7,,Defensive rebound by S. Adams
7:27.0,,,11-7,,Turnover by R. Westbrook (lost ball; steal by R. Rubio)
7:21.0,Turnover by D. Mitchell (bad pass; steal by P. George),,11-7,,
7:19.0,,,11-7,,Shooting foul by R. Rubio (drawn by R. Westbrook)
7:19.0,,,11-8,1,R. Westbrook makes free throw 1 of 2
7:19.0,,,11-9,1,R. Westbrook makes free throw 2 of 2
6:54.0,Turnover by Team (shot clock),,11-9,,
6:54.0,,,11-9,,Oklahoma City full timeout
6:38.0,,,11-9,,P. George misses 2-pt shot from 15 ft
6:36.0,Defensive rebound by R. Gobert,,11-9,,
6:17.0,J. Jerebko misses 2-pt shot from 20 ft,,11-9,,
6:14.0,,,11-9,,Defensive rebound by C. Anthony
6:09.0,,,11-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:44.0,J. Ingles misses 3-pt shot from 24 ft,,11-11,,
5:43.0,Offensive rebound by Team,,11-11,,
5:43.0,Turnover by Team (shot clock),,11-11,,
