time,Charlotte,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (M. Williams gains possession),,,,Jump ball: M. Gasol vs. D. Howard (M. Williams gains possession)
11:45.0,K. Walker misses 2-pt shot from 8 ft,,0-0,,
11:39.0,Offensive rebound by D. Howard,,0-0,,
11:39.0,D. Howard makes 2-pt shot at rim,2,2-0,,
11:16.0,,,2-0,,M. Conley misses 3-pt shot from 25 ft
11:12.0,,,2-0,,Offensive rebound by J. Ennis
11:11.0,,,2-2,2,J. Ennis makes 2-pt shot from 2 ft
10:58.0,D. Howard misses 2-pt shot from 10 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by J. Martin
10:46.0,,,2-4,2,M. Conley makes 2-pt shot from 14 ft
10:32.0,K. Walker makes 2-pt shot from 12 ft,2,4-4,,
10:19.0,,,4-7,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
9:58.0,D. Howard misses 2-pt shot from 21 ft,,4-7,,
9:55.0,,,4-7,,Defensive rebound by M. Gasol
9:51.0,,,4-7,,M. Gasol misses 3-pt shot from 28 ft
9:48.0,,,4-7,,Offensive rebound by J. Martin
9:46.0,,,4-7,,Shooting foul by J. Lamb (drawn by A. Harrison)
9:46.0,,,4-8,1,A. Harrison makes free throw 1 of 2
9:46.0,,,4-9,1,A. Harrison makes free throw 2 of 2
9:33.0,J. Lamb makes 2-pt shot from 12 ft,2,6-9,,
9:21.0,,,6-11,2,J. Martin makes 2-pt shot from 22 ft
9:06.0,Turnover by D. Howard (bad pass; steal by A. Harrison),,6-11,,
8:55.0,,,6-11,,J. Martin misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by M. Kidd-Gilchrist,,6-11,,
8:50.0,Shooting foul by M. Conley (drawn by M. Williams),,6-11,,
8:50.0,M. Williams makes free throw 1 of 2,1,7-11,,
8:50.0,M. Williams makes free throw 2 of 2,1,8-11,,
8:34.0,,,8-11,,Turnover by M. Gasol (bad pass; steal by M. Kidd-Gilchrist)
