time,Toronto,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Valanciunas (R. Anderson gains possession),,,,Jump ball: C. Capela vs. J. Valanciunas (R. Anderson gains possession)
11:41.0,,,0-3,3,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon)
11:23.0,Shooting foul by C. Capela (drawn by J. Valanciunas),,0-3,,
11:23.0,J. Valanciunas makes free throw 1 of 2,1,1-3,,
11:23.0,J. Valanciunas makes free throw 2 of 2,1,2-3,,
11:01.0,,,2-3,,E. Gordon misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by D. DeRozan,,2-3,,
10:51.0,K. Lowry makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,5-3,,
10:36.0,,,5-3,,C. Capela misses 2-pt shot at rim
10:32.0,,,5-3,,Offensive rebound by C. Capela
10:32.0,,,5-5,2,C. Capela makes 2-pt shot at rim
10:16.0,S. Ibaka misses 2-pt shot from 14 ft,,5-5,,
10:11.0,,,5-5,,Defensive rebound by J. Harden
10:05.0,Personal foul by S. Ibaka (drawn by J. Harden),,5-5,,
9:59.0,,,5-7,2,E. Gordon makes 2-pt shot at rim
9:59.0,,,5-7,,Shooting foul by S. Ibaka (drawn by E. Gordon)
9:59.0,P. Siakam enters the game for S. Ibaka,,5-7,,
9:59.0,,,5-8,1,E. Gordon makes free throw 1 of 1
9:44.0,J. Valanciunas misses 2-pt shot from 3 ft (block by J. Harden),,5-8,,
9:40.0,,,5-8,,Defensive rebound by T. Ariza
9:35.0,,,5-8,,Offensive charge foul by J. Harden (drawn by J. Valanciunas)
9:35.0,,,5-8,,Turnover by J. Harden (offensive foul)
9:16.0,O. Anunoby misses 2-pt shot from 2 ft,,5-8,,
9:13.0,,,5-8,,Defensive rebound by C. Capela
9:04.0,,,5-8,,E. Gordon misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by D. DeRozan,,5-8,,
8:54.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,7-8,,
8:41.0,,,7-8,,Shooting foul by O. Anunoby (drawn by J. Harden)
8:41.0,,,7-9,1,J. Harden makes free throw 1 of 2
8:41.0,,,7-10,1,J. Harden makes free throw 2 of 2
8:32.0,D. DeRozan misses 2-pt shot from 19 ft,,7-10,,
8:29.0,,,7-10,,Defensive rebound by C. Capela
8:21.0,,,7-10,,C. Capela misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by J. Valanciunas,,7-10,,
8:13.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,9-10,,
7:57.0,,,9-10,,R. Anderson misses 3-pt shot from 26 ft
7:54.0,,,9-10,,Offensive rebound by C. Capela
7:48.0,Personal foul by P. Siakam (drawn by E. Gordon),,9-10,,
7:40.0,,,9-10,,J. Harden misses 2-pt shot from 7 ft
7:37.0,,,9-10,,Offensive rebound by C. Capela
7:36.0,,,9-12,2,C. Capela makes 2-pt shot from 3 ft
7:20.0,J. Valanciunas misses 2-pt shot from 4 ft,,9-12,,
7:20.0,Offensive rebound by J. Valanciunas,,9-12,,
7:20.0,Turnover by J. Valanciunas (out of bounds lost ball),,9-12,,
7:04.0,,,9-14,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden)
6:47.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by O. Anunoby),2,11-14,,
6:35.0,,,11-14,,T. Ariza misses 2-pt shot from 12 ft
6:32.0,Defensive rebound by D. DeRozan,,11-14,,
6:25.0,D. DeRozan makes 2-pt shot from 1 ft,2,13-14,,
6:11.0,,,13-14,,J. Harden misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by P. Siakam,,13-14,,
