time,Portland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. J. Nurkic (M. Harkless gains possession),,,,Jump ball: D. Sabonis vs. J. Nurkic (M. Harkless gains possession)
11:39.0,J. Nurkic misses 2-pt shot from 7 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by D. Collison
11:29.0,,,0-0,,V. Oladipo misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by D. Lillard,,0-0,,
11:16.0,M. Harkless misses 3-pt shot from 26 ft,,0-0,,
11:14.0,Offensive rebound by Team,,0-0,,
11:06.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,2-0,,
10:50.0,,,2-2,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Sabonis)
10:34.0,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard),2,4-2,,
10:20.0,,,4-2,,V. Oladipo misses 2-pt shot from 17 ft (block by C. McCollum)
10:17.0,,,4-2,,Offensive rebound by T. Young
10:16.0,,,4-4,2,T. Young makes 2-pt shot from 17 ft
9:54.0,C. McCollum misses 2-pt shot from 17 ft,,4-4,,
9:52.0,,,4-4,,Defensive rebound by D. Sabonis
9:50.0,Personal foul by C. McCollum (drawn by V. Oladipo),,4-4,,
9:39.0,,,4-6,2,D. Sabonis makes 2-pt shot from 14 ft (assist by V. Oladipo)
9:29.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,6-6,,
9:15.0,,,6-8,2,T. Young makes 2-pt shot from 7 ft
8:43.0,C. McCollum makes 2-pt shot from 15 ft,2,8-8,,
8:20.0,,,8-8,,Turnover by V. Oladipo (bad pass; steal by D. Lillard)
8:17.0,D. Lillard makes 2-pt shot from 1 ft,2,10-8,,
8:07.0,,,10-8,,Turnover by D. Sabonis (traveling)
7:58.0,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic),2,12-8,,
7:42.0,,,12-10,2,B. Bogdanovic makes 2-pt shot from 1 ft
7:32.0,Turnover by J. Nurkic (traveling),,12-10,,
7:21.0,,,12-12,2,D. Collison makes 2-pt shot from 17 ft
6:59.0,A. Aminu misses 2-pt shot from 12 ft,,12-12,,
6:55.0,,,12-12,,Defensive rebound by D. Sabonis
6:49.0,,,12-14,2,D. Collison makes 2-pt shot from 22 ft
6:32.0,J. Nurkic misses 2-pt shot from 11 ft (block by D. Sabonis),,12-14,,
6:32.0,Offensive rebound by Team,,12-14,,
6:32.0,,,12-14,,Indiana full timeout
6:28.0,C. McCollum misses 2-pt shot from 10 ft,,12-14,,
6:25.0,,,12-14,,Defensive rebound by V. Oladipo
