time,Milwaukee,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:51.0,Jump ball: S. Labissiere vs. J. Henson (G. Hill gains possession),,,,Jump ball: S. Labissiere vs. J. Henson (G. Hill gains possession)
11:35.0,,,0-2,2,Z. Randolph makes 2-pt shot from 6 ft
11:14.0,J. Henson misses 2-pt shot from 8 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by Z. Randolph
10:57.0,,,0-4,2,G. Temple makes 2-pt shot from 2 ft
10:42.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,2-4,,
10:20.0,,,2-4,,D. Fox misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by E. Bledsoe,,2-4,,
10:13.0,E. Bledsoe misses 2-pt shot from 18 ft,,2-4,,
10:10.0,,,2-4,,Defensive rebound by S. Labissiere
10:00.0,,,2-6,2,Z. Randolph makes 2-pt shot from 21 ft (assist by G. Hill)
9:50.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,5-6,,
9:32.0,,,5-9,3,G. Temple makes 3-pt shot from 23 ft
9:24.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,7-9,,
9:24.0,Shooting foul by S. Labissiere (drawn by G. Antetokounmpo),,7-9,,
9:24.0,G. Antetokounmpo makes free throw 1 of 1,1,8-9,,
9:12.0,Personal foul by E. Bledsoe (drawn by S. Labissiere),,8-9,,
9:05.0,,,8-9,,D. Fox misses 2-pt shot from 21 ft
8:59.0,Defensive rebound by J. Henson,,8-9,,
8:57.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,10-9,,
8:46.0,,,10-9,,S. Labissiere misses 2-pt shot from 10 ft
8:42.0,Defensive rebound by K. Middleton,,10-9,,
8:38.0,J. Henson misses 2-pt shot from 20 ft,,10-9,,
8:35.0,,,10-9,,Defensive rebound by Z. Randolph
8:18.0,,,10-12,3,G. Temple makes 3-pt shot from 23 ft (assist by G. Hill)
8:00.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,12-12,,
7:42.0,,,12-14,2,D. Fox makes 2-pt shot from 1 ft
