time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. K. Love (T. Young gains possession),,,,Jump ball: M. Turner vs. K. Love (T. Young gains possession)
11:44.0,,,0-0,,M. Turner misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by L. James,,0-0,,
11:35.0,Shooting foul by B. Bogdanovic (drawn by L. James),,0-0,,
11:35.0,L. James makes free throw 1 of 2,1,1-0,,
11:35.0,L. James makes free throw 2 of 2,1,2-0,,
11:11.0,,,2-0,,T. Young misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by K. Love,,2-0,,
11:05.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,5-0,,
10:42.0,,,5-2,2,M. Turner makes 2-pt shot from 11 ft (assist by B. Bogdanovic)
10:29.0,K. Love misses 2-pt shot from 12 ft,,5-2,,
10:26.0,,,5-2,,Defensive rebound by V. Oladipo
10:18.0,,,5-2,,D. Collison misses 2-pt shot at rim
10:15.0,Defensive rebound by J. Calderon,,5-2,,
10:06.0,J. Smith makes 3-pt shot from 23 ft,3,8-2,,
9:43.0,,,8-4,2,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo)
9:28.0,J. Calderon misses 3-pt shot from 23 ft,,8-4,,
9:26.0,,,8-4,,Defensive rebound by D. Collison
9:17.0,,,8-4,,Offensive foul by T. Young (drawn by J. Smith)
9:17.0,,,8-4,,Turnover by T. Young (offensive foul)
9:07.0,J. Smith misses 3-pt shot from 23 ft,,8-4,,
9:05.0,,,8-4,,Defensive rebound by V. Oladipo
8:49.0,,,8-6,2,T. Young makes 2-pt shot from 2 ft
8:28.0,Turnover by J. Smith (bad pass; steal by V. Oladipo),,8-6,,
8:23.0,,,8-8,2,D. Collison makes 2-pt shot at rim (assist by V. Oladipo)
8:22.0,Cleveland full timeout,,8-8,,
8:07.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,11-8,,
7:41.0,,,11-8,,B. Bogdanovic misses 2-pt shot from 16 ft
7:38.0,Defensive rebound by L. James,,11-8,,
7:32.0,L. James misses 2-pt shot from 1 ft,,11-8,,
7:29.0,,,11-8,,Defensive rebound by T. Young
7:26.0,,,11-10,2,D. Collison makes 2-pt shot from 1 ft (assist by T. Young)
7:05.0,K. Love misses 2-pt shot from 22 ft,,11-10,,
7:03.0,Offensive rebound by J. Smith,,11-10,,
7:01.0,K. Korver misses 3-pt shot from 23 ft,,11-10,,
6:59.0,,,11-10,,Defensive rebound by M. Turner
6:51.0,,,11-10,,M. Turner misses 2-pt shot at rim
6:49.0,Defensive rebound by K. Love,,11-10,,
6:44.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Calderon),3,14-10,,
6:37.0,,,14-10,,V. Oladipo misses 2-pt shot at rim
