time,Chicago,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (T. Harris gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (T. Harris gains possession)
11:39.0,,,0-3,3,T. Harris makes 3-pt shot from 26 ft (assist by M. Teodosic)
11:23.0,Z. LaVine misses 2-pt shot from 20 ft,,0-3,,
11:19.0,,,0-3,,Defensive rebound by T. Harris
11:13.0,,,0-3,,A. Bradley misses 2-pt shot from 14 ft
11:11.0,Defensive rebound by P. Zipser,,0-3,,
10:48.0,R. Lopez misses 2-pt shot from 21 ft,,0-3,,
10:47.0,,,0-3,,Defensive rebound by T. Harris
10:41.0,Jump ball: D. Jordan vs. R. Lopez (T. Harris gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (T. Harris gains possession)
10:25.0,,,0-3,,T. Harris misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by P. Zipser,,0-3,,
10:05.0,J. Holiday misses 3-pt shot from 22 ft,,0-3,,
10:02.0,,,0-3,,Defensive rebound by D. Jordan
9:48.0,,,0-3,,Turnover by D. Jordan (lost ball; steal by R. Lopez)
9:44.0,J. Grant misses 2-pt shot from 2 ft (block by D. Gallinari),,0-3,,
9:44.0,Offensive rebound by Team,,0-3,,
9:38.0,R. Lopez misses 2-pt shot from 6 ft,,0-3,,
9:35.0,,,0-3,,Defensive rebound by D. Gallinari
9:30.0,Personal foul by Z. LaVine (drawn by D. Jordan),,0-3,,
9:22.0,,,0-5,2,D. Gallinari makes 2-pt shot from 16 ft
9:08.0,J. Holiday misses 2-pt shot from 17 ft,,0-5,,
9:04.0,Offensive rebound by R. Lopez,,0-5,,
9:03.0,Turnover by P. Zipser (bad pass),,0-5,,
8:49.0,,,0-5,,T. Harris misses 2-pt shot from 14 ft
8:43.0,,,0-5,,Offensive rebound by D. Jordan
8:43.0,,,0-5,,D. Jordan misses 2-pt shot at rim
8:40.0,Defensive rebound by J. Grant,,0-5,,
8:38.0,Z. LaVine misses 2-pt shot from 14 ft,,0-5,,
8:38.0,,,0-5,,Defensive rebound by D. Jordan
8:31.0,,,0-5,,D. Gallinari misses 3-pt shot from 26 ft
8:31.0,,,0-5,,Offensive rebound by Team
8:25.0,,,0-5,,D. Gallinari misses 2-pt shot from 14 ft
8:22.0,Defensive rebound by J. Holiday,,0-5,,
8:18.0,Turnover by J. Holiday (bad pass),,0-5,,
8:08.0,,,0-7,2,A. Bradley makes 2-pt shot from 16 ft (assist by M. Teodosic)
7:56.0,J. Grant makes 3-pt shot from 25 ft,3,3-7,,
7:41.0,,,3-10,3,M. Teodosic makes 3-pt shot from 28 ft (assist by A. Bradley)
7:35.0,Shooting foul by M. Teodosic (drawn by J. Grant),,3-10,,
7:35.0,J. Grant makes free throw 1 of 2,1,4-10,,
7:35.0,,,4-10,,T. Wallace enters the game for M. Teodosic
7:35.0,J. Grant makes free throw 2 of 2,1,5-10,,
7:11.0,,,5-10,,A. Bradley misses 2-pt shot from 21 ft
7:09.0,Defensive rebound by J. Grant,,5-10,,
7:05.0,J. Grant makes 2-pt shot from 13 ft,2,7-10,,
6:44.0,,,7-10,,D. Jordan misses 2-pt shot from 7 ft
6:43.0,,,7-10,,Offensive rebound by D. Gallinari
6:41.0,,,7-10,,D. Gallinari misses 2-pt shot from 2 ft
