time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. M. Gortat (B. Beal gains possession),,,,Jump ball: A. Horford vs. M. Gortat (B. Beal gains possession)
11:36.0,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall),3,3-0,,
11:16.0,,,3-0,,J. Brown misses 3-pt shot from 22 ft
11:14.0,Defensive rebound by M. Gortat,,3-0,,
11:07.0,,,3-0,,Personal foul by A. Baynes (drawn by B. Beal)
11:03.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,5-0,,
10:47.0,,,5-0,,K. Irving misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by M. Morris,,5-0,,
10:34.0,M. Gortat misses 2-pt shot from 1 ft (block by A. Baynes),,5-0,,
10:32.0,,,5-0,,Defensive rebound by J. Brown
10:30.0,,,5-2,2,J. Brown makes 2-pt shot from 1 ft
10:12.0,J. Wall misses 2-pt shot from 18 ft,,5-2,,
10:09.0,,,5-2,,Defensive rebound by J. Brown
9:58.0,,,5-2,,A. Baynes misses 2-pt shot from 10 ft
9:55.0,Defensive rebound by M. Gortat,,5-2,,
9:49.0,O. Porter misses 3-pt shot from 26 ft,,5-2,,
9:47.0,,,5-2,,Defensive rebound by A. Baynes
9:40.0,,,5-2,,J. Brown misses 3-pt shot from 22 ft
9:37.0,Defensive rebound by Team,,5-2,,
9:25.0,J. Wall misses 2-pt shot from 2 ft,,5-2,,
9:23.0,,,5-2,,Defensive rebound by J. Tatum
9:20.0,,,5-2,,Turnover by J. Tatum (bad pass)
9:09.0,B. Beal misses 2-pt shot from 13 ft,,5-2,,
9:06.0,,,5-2,,Defensive rebound by A. Horford
8:57.0,,,5-2,,A. Baynes misses 2-pt shot from 10 ft
8:54.0,Defensive rebound by B. Beal,,5-2,,
8:47.0,O. Porter makes 2-pt shot from 12 ft (assist by M. Morris),2,7-2,,
8:39.0,,,7-2,,K. Irving misses 3-pt shot from 30 ft
8:36.0,Defensive rebound by M. Morris,,7-2,,
8:22.0,B. Beal misses 2-pt shot from 21 ft,,7-2,,
8:17.0,,,7-2,,Defensive rebound by A. Horford
8:14.0,,,7-2,,Shooting foul by B. Beal (drawn by J. Brown)
8:14.0,,,7-2,,J. Brown misses free throw 1 of 2
8:14.0,,,7-2,,Offensive rebound by Team
8:14.0,,,7-3,1,J. Brown makes free throw 2 of 2
8:04.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,9-3,,
7:46.0,,,9-5,2,K. Irving makes 2-pt shot from 19 ft (assist by A. Baynes)
7:32.0,B. Beal misses 3-pt shot from 26 ft,,9-5,,
7:29.0,,,9-5,,Defensive rebound by A. Baynes
7:22.0,,,9-5,,K. Irving misses 2-pt shot from 3 ft
7:19.0,Defensive rebound by O. Porter,,9-5,,
7:18.0,Shooting foul by A. Horford (drawn by M. Morris),,9-5,,
7:18.0,M. Morris makes free throw 1 of 2,1,10-5,,
7:18.0,,,10-5,,M. Smart enters the game for J. Tatum
7:18.0,M. Morris makes free throw 2 of 2,1,11-5,,
7:03.0,,,11-5,,Turnover by A. Baynes (lost ball; steal by M. Gortat)
7:01.0,Turnover by J. Wall (bad pass),,11-5,,
6:48.0,,,11-8,3,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving)
6:24.0,M. Morris misses 2-pt shot from 17 ft,,11-8,,
6:19.0,,,11-8,,Defensive rebound by A. Baynes
6:12.0,,,11-8,,A. Baynes misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by M. Gortat,,11-8,,
6:06.0,J. Wall misses 3-pt shot from 25 ft,,11-8,,
6:02.0,,,11-8,,Defensive rebound by M. Smart
5:56.0,,,11-10,2,J. Brown makes 2-pt shot from 1 ft
5:36.0,B. Beal misses 2-pt shot from 16 ft,,11-10,,
5:32.0,,,11-10,,Defensive rebound by K. Irving
5:28.0,,,11-10,,M. Smart misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by M. Morris,,11-10,,
5:23.0,O. Porter makes 2-pt shot from 1 ft (assist by M. Morris),2,13-10,,
5:23.0,,,13-10,,Boston full timeout
5:23.0,,,13-10,,D. Theis enters the game for A. Baynes
5:11.0,,,13-12,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
4:53.0,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall),3,16-12,,
4:35.0,Personal foul by M. Morris (drawn by A. Horford),,16-12,,
4:21.0,,,16-14,2,K. Irving makes 2-pt shot from 4 ft (assist by A. Horford)
4:11.0,Shooting foul by M. Smart (drawn by M. Gortat),,16-14,,
4:11.0,M. Gortat makes free throw 1 of 2,1,17-14,,
4:11.0,K. Oubre enters the game for O. Porter,,17-14,,
4:11.0,M. Gortat makes free throw 2 of 2,1,18-14,,
3:57.0,,,18-14,,J. Brown misses 3-pt shot from 22 ft
3:52.0,Defensive rebound by M. Gortat,,18-14,,
3:46.0,Shooting foul by D. Theis (drawn by B. Beal),,18-14,,
3:46.0,B. Beal makes free throw 1 of 2,1,19-14,,
3:46.0,B. Beal misses free throw 2 of 2,,19-14,,
3:43.0,,,19-14,,Defensive rebound by J. Brown
3:37.0,,,19-14,,Turnover by M. Smart (bad pass; steal by K. Oubre)
3:30.0,B. Beal makes 2-pt shot from 1 ft (assist by K. Oubre),2,21-14,,
3:24.0,Personal foul by K. Oubre (drawn by M. Smart),,21-14,,
3:24.0,M. Scott enters the game for M. Morris,,21-14,,
3:10.0,,,21-14,,Shooting foul by J. Wall (drawn by K. Irving)
3:10.0,,,21-15,1,K. Irving makes free throw 1 of 2
3:10.0,,,21-15,,T. Rozier enters the game for J. Brown
3:10.0,,,21-15,,M. Morris enters the game for A. Horford
3:10.0,,,21-16,1,K. Irving makes free throw 2 of 2
2:54.0,B. Beal makes 2-pt shot from 22 ft,2,23-16,,
2:33.0,,,23-19,3,D. Theis makes 3-pt shot from 26 ft (assist by M. Smart)
2:16.0,K. Oubre misses 3-pt shot from 26 ft,,23-19,,
2:13.0,,,23-19,,Defensive rebound by T. Rozier
2:03.0,,,23-22,3,T. Rozier makes 3-pt shot from 26 ft
2:02.0,Washington full timeout,,23-22,,
2:02.0,,,23-22,,J. Tatum enters the game for K. Irving
2:02.0,I. Mahinmi enters the game for J. Wall,,23-22,,
2:02.0,T. Satoransky enters the game for M. Gortat,,23-22,,
1:51.0,B. Beal makes 2-pt shot from 21 ft,2,25-22,,
1:36.0,,,25-22,,Turnover by M. Smart (bad pass; steal by B. Beal)
1:33.0,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal),2,27-22,,
1:33.0,Shooting foul by M. Morris (drawn by K. Oubre),,27-22,,
1:33.0,K. Oubre makes free throw 1 of 1,1,28-22,,
1:18.0,,,28-22,,M. Smart misses 2-pt shot from 9 ft
1:16.0,Defensive rebound by B. Beal,,28-22,,
1:09.0,,,28-22,,Personal foul by T. Rozier (drawn by T. Satoransky)
1:09.0,T. Satoransky misses free throw 1 of 2,,28-22,,
1:09.0,Offensive rebound by Team,,28-22,,
1:09.0,T. Satoransky misses free throw 2 of 2,,28-22,,
1:07.0,,,28-22,,Defensive rebound by M. Morris
1:00.0,,,28-22,,T. Rozier misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by B. Beal,,28-22,,
0:42.0,I. Mahinmi misses 2-pt shot from 4 ft,,28-22,,
0:40.0,,,28-22,,Defensive rebound by T. Rozier
0:33.0,,,28-24,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Morris)
0:08.0,K. Oubre misses 2-pt shot from 18 ft,,28-24,,
0:06.0,Offensive rebound by I. Mahinmi,,28-24,,
0:05.0,K. Oubre makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,30-24,,Turnover by S. Larkin (lost ball; steal by M. Scott)
11:19.0,T. Satoransky makes 2-pt shot from 14 ft,2,32-24,,
11:16.0,,,32-24,,Boston full timeout
11:03.0,,,32-24,,Offensive foul by J. Tatum (drawn by K. Oubre)
11:03.0,,,32-24,,Turnover by J. Tatum (offensive foul)
10:44.0,Turnover by K. Oubre (bad pass; steal by T. Rozier),,32-24,,
10:37.0,,,32-27,3,S. Larkin makes 3-pt shot from 25 ft (assist by T. Rozier)
10:20.0,J. Meeks misses 2-pt shot from 4 ft,,32-27,,
10:18.0,,,32-27,,Defensive rebound by D. Theis
10:06.0,,,32-27,,Turnover by D. Theis (traveling)
9:51.0,J. Meeks misses 3-pt shot from 27 ft,,32-27,,
9:47.0,,,32-27,,Defensive rebound by M. Morris
9:35.0,,,32-29,2,T. Rozier makes 2-pt shot from 4 ft
9:31.0,Offensive foul by I. Mahinmi (drawn by S. Larkin),,32-29,,
9:31.0,Turnover by I. Mahinmi (offensive foul),,32-29,,
9:24.0,,,32-29,,M. Morris misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by J. Meeks,,32-29,,
9:15.0,K. Oubre misses 3-pt shot from 26 ft,,32-29,,
9:13.0,,,32-29,,Defensive rebound by J. Tatum
9:07.0,,,32-31,2,J. Tatum makes 2-pt shot from 1 ft
8:51.0,Turnover by I. Mahinmi (traveling),,32-31,,
8:51.0,J. Wall enters the game for T. Satoransky,,32-31,,
8:38.0,,,32-31,,M. Morris misses 2-pt shot from 8 ft
8:35.0,Defensive rebound by I. Mahinmi,,32-31,,
8:27.0,J. Wall makes 2-pt shot from 3 ft,2,34-31,,
8:27.0,Shooting foul by S. Larkin (drawn by J. Wall),,34-31,,
8:27.0,,,34-31,,A. Horford enters the game for M. Morris
8:27.0,M. Morris enters the game for I. Mahinmi,,34-31,,
8:27.0,J. Wall misses free throw 1 of 1,,34-31,,
8:27.0,B. Beal enters the game for J. Meeks,,34-31,,
8:16.0,,,34-31,,Defensive rebound by T. Rozier
8:15.0,,,34-33,2,T. Rozier makes 2-pt shot from 2 ft
8:11.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall),2,36-33,,
7:52.0,,,36-33,,Shooting foul by M. Scott (drawn by D. Theis)
7:52.0,,,36-34,1,D. Theis makes free throw 1 of 2
7:52.0,,,36-34,,D. Theis misses free throw 2 of 2
7:49.0,Defensive rebound by M. Morris,,36-34,,
7:35.0,Offensive foul by M. Morris (drawn by T. Rozier),,36-34,,
7:35.0,Turnover by M. Morris (offensive foul),,36-34,,
7:23.0,,,36-36,2,J. Tatum makes 2-pt shot from 2 ft (assist by A. Horford)
7:23.0,Washington full timeout,,36-36,,
7:23.0,O. Porter enters the game for M. Scott,,36-36,,
7:12.0,Shooting foul by T. Rozier (drawn by B. Beal),,36-36,,
7:12.0,B. Beal makes free throw 1 of 3,1,37-36,,
7:12.0,B. Beal misses free throw 2 of 3,,37-36,,
7:12.0,Offensive rebound by Team,,37-36,,
7:12.0,B. Beal makes free throw 3 of 3,1,38-36,,
6:52.0,,,38-38,2,A. Horford makes 2-pt shot from 1 ft
6:41.0,J. Wall makes 2-pt shot from 1 ft,2,40-38,,
6:26.0,Personal foul by M. Morris (drawn by A. Horford),,40-38,,
6:26.0,,,40-38,,K. Irving enters the game for J. Tatum
6:26.0,,,40-38,,M. Smart enters the game for S. Larkin
6:26.0,,,40-38,,J. Brown enters the game for D. Theis
6:26.0,M. Gortat enters the game for M. Morris,,40-38,,
6:12.0,,,40-38,,A. Horford misses 2-pt shot from 7 ft
6:07.0,,,40-38,,Offensive rebound by A. Horford
6:07.0,,,40-38,,A. Horford misses 2-pt shot at rim
6:06.0,,,40-38,,Offensive rebound by K. Irving
6:03.0,,,40-38,,K. Irving misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by J. Wall,,40-38,,
5:56.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,42-38,,
5:49.0,Personal foul by J. Wall (drawn by M. Smart),,42-38,,
5:37.0,,,42-38,,K. Irving misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by J. Wall,,42-38,,
5:29.0,J. Wall misses 2-pt shot from 18 ft,,42-38,,
5:28.0,,,42-38,,Defensive rebound by Team
5:18.0,,,42-40,2,M. Smart makes 2-pt shot from 4 ft (assist by K. Irving)
4:59.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,44-40,,
4:40.0,,,44-40,,T. Rozier misses 3-pt shot from 22 ft
4:38.0,Defensive rebound by M. Gortat,,44-40,,
4:29.0,J. Wall misses 2-pt shot from 18 ft,,44-40,,
4:27.0,,,44-40,,Defensive rebound by J. Brown
4:22.0,,,44-40,,Shooting foul by M. Gortat (drawn by J. Brown)
4:22.0,,,44-40,,J. Brown misses free throw 1 of 2
4:22.0,,,44-40,,Offensive rebound by Team
4:22.0,,,44-40,,J. Tatum enters the game for T. Rozier
4:22.0,,,44-40,,J. Brown misses free throw 2 of 2
4:20.0,Defensive rebound by M. Gortat,,44-40,,
3:58.0,J. Wall makes 2-pt shot from 18 ft,2,46-40,,
3:30.0,,,46-40,,Turnover by M. Smart (bad pass; steal by O. Porter)
3:25.0,K. Oubre misses 2-pt shot from 2 ft,,46-40,,
3:23.0,,,46-40,,Defensive rebound by J. Brown
3:19.0,,,46-40,,Offensive charge foul by J. Tatum (drawn by M. Gortat)
3:19.0,,,46-40,,Turnover by J. Tatum (offensive foul)
3:02.0,M. Gortat misses 2-pt shot from 3 ft,,46-40,,
2:59.0,,,46-40,,Defensive rebound by A. Horford
2:50.0,,,46-43,3,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving)
2:36.0,B. Beal misses 2-pt shot from 8 ft,,46-43,,
2:36.0,Offensive rebound by Team,,46-43,,
2:36.0,,,46-43,,Loose ball foul by J. Brown (drawn by M. Gortat)
2:19.0,J. Wall makes 2-pt shot from 2 ft,2,48-43,,
2:09.0,,,48-43,,M. Smart misses 2-pt shot from 2 ft (block by M. Gortat)
2:05.0,,,48-43,,Offensive rebound by M. Smart
2:04.0,,,48-45,2,J. Tatum makes 2-pt shot from 1 ft
1:56.0,B. Beal misses 3-pt shot from 26 ft,,48-45,,
1:54.0,Offensive rebound by M. Gortat,,48-45,,
1:51.0,K. Oubre misses 3-pt shot from 24 ft,,48-45,,
1:47.0,Offensive rebound by M. Gortat,,48-45,,
1:45.0,O. Porter misses 3-pt shot from 26 ft,,48-45,,
1:42.0,,,48-45,,Defensive rebound by M. Smart
1:28.0,,,48-48,3,M. Smart makes 3-pt shot from 26 ft
1:04.0,B. Beal misses 2-pt shot from 3 ft,,48-48,,
1:02.0,,,48-48,,Defensive rebound by J. Brown
0:52.0,,,48-50,2,J. Tatum makes 2-pt shot from 12 ft (assist by K. Irving)
0:41.0,J. Wall misses 2-pt shot from 14 ft,,48-50,,
0:38.0,Offensive rebound by K. Oubre,,48-50,,
0:38.0,K. Oubre makes 2-pt shot at rim,2,50-50,,
0:32.0,,,50-50,,M. Smart misses 2-pt shot from 12 ft
0:29.0,,,50-50,,Offensive rebound by K. Irving
0:27.0,,,50-50,,J. Brown misses 3-pt shot from 23 ft
0:21.0,,,50-50,,Offensive rebound by A. Horford
0:21.0,,,50-50,,A. Horford misses 2-pt shot at rim
0:20.0,Defensive rebound by B. Beal,,50-50,,
0:03.0,B. Beal makes 2-pt shot from 15 ft,2,52-50,,
0:00.0,,,52-50,,K. Irving misses 3-pt shot from 25 ft
0:00.0,,,52-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-50,,J. Tatum misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by M. Morris,,52-50,,
11:37.0,O. Porter makes 3-pt shot from 23 ft (assist by M. Morris),3,55-50,,
11:21.0,,,55-52,2,A. Horford makes 2-pt shot from 16 ft (assist by K. Irving)
11:05.0,O. Porter makes 2-pt shot from 16 ft,2,57-52,,
10:39.0,,,57-52,,Turnover by J. Brown (out of bounds lost ball)
10:24.0,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall),3,60-52,,
10:23.0,,,60-52,,Boston full timeout
10:09.0,,,60-52,,K. Irving misses 2-pt shot from 15 ft
10:06.0,Defensive rebound by M. Morris,,60-52,,
9:44.0,J. Wall makes 2-pt shot at rim,2,62-52,,
9:21.0,,,62-54,2,A. Horford makes 2-pt shot from 1 ft
9:03.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,64-54,,
9:03.0,Shooting foul by J. Brown (drawn by M. Gortat),,64-54,,
9:03.0,,,64-54,,M. Morris enters the game for A. Baynes
9:03.0,M. Gortat makes free throw 1 of 1,1,65-54,,
8:49.0,,,65-56,2,J. Brown makes 2-pt shot from 2 ft
8:49.0,,,65-56,,Shooting foul by M. Gortat (drawn by J. Brown)
8:49.0,,,65-57,1,J. Brown makes free throw 1 of 1
8:32.0,M. Morris makes 2-pt shot from 7 ft,2,67-57,,
8:23.0,,,67-60,3,K. Irving makes 3-pt shot from 26 ft
8:05.0,B. Beal misses 2-pt shot from 2 ft,,67-60,,
7:58.0,Offensive rebound by M. Gortat,,67-60,,
7:58.0,M. Gortat makes 2-pt shot at rim,2,69-60,,
7:43.0,,,69-62,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
7:25.0,J. Wall makes 2-pt shot from 1 ft,2,71-62,,
7:06.0,,,71-64,2,K. Irving makes 2-pt shot from 1 ft
6:50.0,O. Porter misses 2-pt shot from 9 ft,,71-64,,
6:48.0,,,71-64,,Defensive rebound by J. Brown
6:41.0,,,71-64,,J. Brown misses 2-pt shot from 3 ft (block by O. Porter)
6:38.0,Defensive rebound by M. Gortat,,71-64,,
6:26.0,M. Gortat misses 2-pt shot from 3 ft,,71-64,,
6:21.0,,,71-64,,Defensive rebound by M. Morris
6:19.0,,,71-67,3,J. Tatum makes 3-pt shot from 27 ft (assist by A. Horford)
6:18.0,Washington full timeout,,71-67,,
6:18.0,,,71-67,,T. Rozier enters the game for J. Tatum
6:18.0,,,71-67,,M. Smart enters the game for J. Brown
6:05.0,J. Wall misses 2-pt shot from 2 ft (block by A. Horford),,71-67,,
6:02.0,,,71-67,,Defensive rebound by A. Horford
5:59.0,,,71-67,,K. Irving misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by M. Morris,,71-67,,
5:56.0,Turnover by M. Morris (bad pass; steal by A. Horford),,71-67,,
5:49.0,,,71-67,,M. Morris misses 2-pt shot from 10 ft
5:47.0,Defensive rebound by O. Porter,,71-67,,
5:36.0,B. Beal misses 3-pt shot from 26 ft,,71-67,,
5:32.0,,,71-67,,Defensive rebound by M. Morris
5:13.0,,,71-67,,M. Morris misses 2-pt shot from 15 ft
5:10.0,Defensive rebound by O. Porter,,71-67,,
4:47.0,M. Gortat misses 2-pt shot from 11 ft,,71-67,,
4:44.0,,,71-67,,Defensive rebound by T. Rozier
