time,San Antonio,pts.away,score,pts.home,Indiana
1:39.0,,,21-25,,A. Jefferson misses 2-pt shot from 16 ft
1:37.0,Defensive rebound by R. Gay,,21-25,,
1:32.0,R. Gay misses 2-pt shot from 19 ft,,21-25,,
1:30.0,,,21-25,,Defensive rebound by T. Leaf
1:21.0,,,21-25,,Shooting foul by B. Paul (drawn by T. Leaf)
1:21.0,,,21-25,,T. Leaf misses free throw 1 of 2
1:21.0,,,21-25,,Offensive rebound by Team
1:21.0,D. Green enters the game for B. Paul,,21-25,,
1:21.0,,,21-26,1,T. Leaf makes free throw 2 of 2
1:09.0,P. Mills misses 2-pt shot from 19 ft,,21-26,,
1:07.0,,,21-26,,Defensive rebound by A. Jefferson
1:01.0,,,21-26,,L. Stephenson misses 2-pt shot from 20 ft
0:55.0,Defensive rebound by R. Gay,,21-26,,
0:52.0,R. Gay makes 3-pt shot from 27 ft,3,24-26,,
0:36.0,,,24-26,,L. Stephenson misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by D. Green,,24-26,,
0:33.0,Turnover by D. Green (turnover),,24-26,,
0:33.0,D. Murray enters the game for P. Mills,,24-26,,
0:19.0,,,24-26,,A. Jefferson misses 2-pt shot from 9 ft
0:17.0,Defensive rebound by R. Gay,,24-26,,
0:03.0,R. Gay misses 2-pt shot from 19 ft,,24-26,,
0:03.0,,,24-26,,Defensive rebound by A. Jefferson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-29,3,J. Young makes 3-pt shot from 26 ft (assist by C. Joseph)
11:30.0,D. Murray misses 2-pt shot from 7 ft,,24-29,,
11:27.0,,,24-29,,Defensive rebound by L. Stephenson
11:21.0,,,24-29,,L. Stephenson misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by D. Murray,,24-29,,
10:58.0,P. Gasol misses 2-pt shot from 10 ft (block by A. Jefferson),,24-29,,
10:55.0,Offensive rebound by K. Anderson,,24-29,,
10:54.0,D. Bertans misses 3-pt shot from 27 ft,,24-29,,
10:51.0,,,24-29,,Defensive rebound by A. Jefferson
10:43.0,,,24-31,2,A. Jefferson makes 2-pt shot from 10 ft (assist by L. Stephenson)
