time,San Antonio,pts.away,score,pts.home,Indiana
4:26.0,,,85-83,,Defensive rebound by B. Bogdanovic
4:21.0,,,85-83,,T. Young misses 3-pt shot from 28 ft
4:16.0,,,85-83,,Offensive rebound by D. Sabonis
4:16.0,,,85-85,2,D. Sabonis makes 2-pt shot at rim
3:56.0,Turnover by D. Green (bad pass; steal by T. Young),,85-85,,
3:54.0,,,85-85,,D. Collison misses 2-pt shot from 1 ft
3:53.0,,,85-85,,Offensive rebound by B. Bogdanovic
3:52.0,,,85-87,2,B. Bogdanovic makes 2-pt shot at rim
3:27.0,M. Ginobili enters the game for K. Anderson,,85-87,,
3:27.0,P. Gasol enters the game for R. Gay,,85-87,,
3:26.0,L. Aldridge misses 2-pt shot from 13 ft,,85-87,,
3:21.0,,,85-87,,Defensive rebound by B. Bogdanovic
3:06.0,,,85-89,2,D. Sabonis makes 2-pt shot from 14 ft (assist by V. Oladipo)
2:46.0,D. Green makes 2-pt shot from 2 ft,2,87-89,,
2:24.0,Jump ball: V. Oladipo vs. D. Green (M. Ginobili gains possession),,,,Jump ball: V. Oladipo vs. D. Green (M. Ginobili gains possession)
2:24.0,,,87-89,,Turnover by V. Oladipo (turnover; steal by D. Green)
2:09.0,P. Mills makes 2-pt shot from 8 ft (assist by M. Ginobili),2,89-89,,
1:53.0,,,89-91,2,V. Oladipo makes 2-pt shot from 1 ft
1:53.0,,,89-91,,Shooting foul by P. Gasol (drawn by V. Oladipo)
1:53.0,,,89-92,1,V. Oladipo makes free throw 1 of 1
1:36.0,M. Ginobili misses 2-pt shot from 6 ft,,89-92,,
1:33.0,,,89-92,,Defensive rebound by V. Oladipo
1:33.0,,,89-92,,Turnover by V. Oladipo (step out of bounds)
1:23.0,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili),3,92-92,,
1:11.0,,,92-92,,V. Oladipo misses 2-pt shot at rim
1:08.0,Defensive rebound by P. Gasol,,92-92,,
1:02.0,D. Green makes 2-pt shot from 1 ft (assist by P. Gasol),2,94-92,,
1:02.0,,,94-92,,Indiana full timeout
0:46.0,,,94-92,,D. Collison misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by P. Gasol,,94-92,,
0:30.0,Turnover by D. Green (bad pass),,94-92,,
0:30.0,,,94-92,,Indiana full timeout
0:30.0,K. Anderson enters the game for P. Gasol,,94-92,,
0:22.0,,,94-92,,T. Young misses 2-pt shot from 10 ft (block by D. Green)
0:22.0,,,94-92,,Offensive rebound by Team
0:10.0,,,94-95,3,V. Oladipo makes 3-pt shot from 29 ft
0:10.0,San Antonio full timeout,,94-95,,
0:10.0,,,94-95,,C. Joseph enters the game for B. Bogdanovic
0:10.0,P. Gasol enters the game for K. Anderson,,94-95,,
0:05.0,L. Aldridge misses 2-pt shot from 18 ft,,94-95,,
0:03.0,,,94-95,,Defensive rebound by C. Joseph
0:03.0,Personal take foul by L. Aldridge (drawn by C. Joseph),,94-95,,
0:03.0,,,94-96,1,C. Joseph makes free throw 2 of 2
0:03.0,,,94-97,1,C. Joseph makes free throw 1 of 2
0:03.0,San Antonio full timeout,,94-97,,
0:03.0,K. Anderson enters the game for D. Green,,94-97,,
0:00.0,P. Mills misses 3-pt shot from 25 ft,,94-97,,
0:00.0,Offensive rebound by Team,,94-97,,
