time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. E. Kanter (K. Walker gains possession),,,,Jump ball: D. Howard vs. E. Kanter (K. Walker gains possession)
11:43.0,,,0-0,,Turnover by D. Howard (lost ball; steal by E. Kanter)
11:28.0,Shooting foul by D. Howard (drawn by E. Kanter),,0-0,,
11:28.0,E. Kanter misses free throw 1 of 2,,0-0,,
11:28.0,Offensive rebound by Team,,0-0,,
11:28.0,E. Kanter makes free throw 2 of 2,1,1-0,,
11:18.0,,,1-0,,K. Walker misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by E. Kanter,,1-0,,
11:06.0,C. Lee makes 2-pt shot from 16 ft,2,3-0,,
10:53.0,,,3-0,,D. Howard misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by E. Kanter,,3-0,,
10:46.0,Turnover by M. Beasley (lost ball; steal by K. Walker),,3-0,,
10:41.0,,,3-2,2,K. Walker makes 2-pt shot at rim
10:20.0,M. Beasley misses 2-pt shot from 5 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by M. Williams
10:12.0,,,3-2,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by M. Beasley,,3-2,,
10:02.0,E. Kanter makes 2-pt shot from 10 ft (assist by J. Jack),2,5-2,,
9:40.0,,,5-2,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by M. Beasley)
9:40.0,Defensive rebound by Team,,5-2,,
9:30.0,C. Lee misses 2-pt shot from 17 ft,,5-2,,
9:25.0,,,5-2,,Defensive rebound by K. Walker
9:19.0,,,5-4,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
8:59.0,M. Beasley makes 2-pt shot from 8 ft (assist by C. Lee),2,7-4,,
8:46.0,,,7-7,3,M. Williams makes 3-pt shot from 23 ft (assist by D. Howard)
8:29.0,J. Jack makes 2-pt shot from 9 ft,2,9-7,,
8:17.0,,,9-7,,K. Walker misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by L. Thomas,,9-7,,
8:00.0,Turnover by C. Lee (bad pass; steal by N. Batum),,9-7,,
7:50.0,,,9-7,,N. Batum misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by M. Beasley,,9-7,,
7:37.0,E. Kanter misses 2-pt shot from 2 ft,,9-7,,
7:35.0,,,9-7,,Defensive rebound by D. Howard
7:30.0,,,9-7,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by M. Beasley)
7:26.0,,,9-7,,Offensive rebound by N. Batum
7:25.0,,,9-7,,Turnover by K. Walker (bad pass)
7:11.0,J. Jack misses 2-pt shot from 17 ft,,9-7,,
7:07.0,Offensive rebound by L. Thomas,,9-7,,
7:05.0,J. Jack misses 3-pt shot from 25 ft,,9-7,,
7:02.0,,,9-7,,Defensive rebound by M. Kidd-Gilchrist
6:49.0,,,9-7,,M. Williams misses 2-pt shot from 7 ft
6:46.0,Defensive rebound by M. Beasley,,9-7,,
6:39.0,J. Jack makes 2-pt shot from 10 ft,2,11-7,,
6:19.0,,,11-9,2,N. Batum makes 2-pt shot from 10 ft
6:06.0,Turnover by C. Lee (bad pass; steal by K. Walker),,11-9,,
6:01.0,,,11-11,2,K. Walker makes 2-pt shot from 1 ft
5:44.0,M. Beasley makes 2-pt shot from 5 ft (assist by J. Jack),2,13-11,,
5:38.0,,,13-11,,Charlotte full timeout
5:38.0,,,13-11,,J. Lamb enters the game for N. Batum
5:18.0,,,13-11,,J. Lamb misses 2-pt shot from 14 ft
5:14.0,Defensive rebound by L. Thomas,,13-11,,
5:01.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,15-11,,
4:45.0,,,15-11,,Shooting foul by E. Kanter (drawn by D. Howard)
4:45.0,,,15-12,1,D. Howard makes free throw 1 of 2
4:45.0,,,15-12,,F. Kaminsky enters the game for M. Williams
4:45.0,D. McDermott enters the game for L. Thomas,,15-12,,
4:45.0,,,15-13,1,D. Howard makes free throw 2 of 2
4:25.0,M. Beasley makes 2-pt shot from 11 ft,2,17-13,,
4:10.0,,,17-15,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
3:58.0,J. Jack makes 2-pt shot from 16 ft,2,19-15,,
3:39.0,,,19-15,,D. Howard misses 2-pt shot from 5 ft
3:36.0,Defensive rebound by J. Jack,,19-15,,
3:33.0,C. Lee misses 2-pt shot from 18 ft,,19-15,,
3:30.0,,,19-15,,Defensive rebound by J. Lamb
3:23.0,,,19-18,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by J. Lamb)
3:04.0,C. Lee misses 2-pt shot from 18 ft,,19-18,,
3:02.0,,,19-18,,Defensive rebound by D. Howard
2:53.0,,,19-20,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
2:43.0,New York full timeout,,19-20,,
2:43.0,F. Ntilikina enters the game for E. Kanter,,19-20,,
2:43.0,K. O'Quinn enters the game for J. Jack,,19-20,,
2:33.0,M. Beasley misses 2-pt shot from 19 ft,,19-20,,
2:30.0,,,19-20,,Defensive rebound by J. Lamb
2:23.0,,,19-22,2,D. Howard makes 2-pt shot at rim (assist by J. Lamb)
2:04.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by F. Ntilikina),2,21-22,,
1:49.0,,,21-22,,K. Walker misses 2-pt shot from 7 ft
1:49.0,,,21-22,,Offensive rebound by D. Howard
1:49.0,,,21-22,,D. Howard misses 2-pt shot at rim
1:49.0,,,21-22,,Offensive rebound by D. Howard
1:49.0,,,21-22,,Shooting foul by K. O'Quinn (drawn by D. Howard)
1:49.0,,,21-23,1,D. Howard makes free throw 1 of 2
1:49.0,,,21-23,,N. Batum enters the game for M. Kidd-Gilchrist
1:49.0,,,21-23,,M. Carter-Williams enters the game for K. Walker
1:49.0,,,21-24,1,D. Howard makes free throw 2 of 2
1:36.0,D. McDermott misses 2-pt shot from 19 ft,,21-24,,
1:33.0,,,21-24,,Defensive rebound by F. Kaminsky
1:25.0,,,21-24,,Turnover by N. Batum (bad pass)
1:25.0,,,21-24,,J. O'Bryant enters the game for D. Howard
1:25.0,R. Baker enters the game for C. Lee,,21-24,,
1:13.0,M. Beasley misses 2-pt shot from 8 ft,,21-24,,
1:10.0,,,21-24,,Defensive rebound by M. Carter-Williams
1:03.0,,,21-24,,J. O'Bryant misses 2-pt shot from 16 ft
0:59.0,Defensive rebound by D. McDermott,,21-24,,
0:52.0,Turnover by F. Ntilikina (bad pass; steal by J. O'Bryant),,21-24,,
0:52.0,Personal foul by F. Ntilikina (drawn by M. Carter-Williams),,21-24,,
0:52.0,,,21-24,,M. Carter-Williams misses free throw 1 of 2
0:52.0,,,21-24,,Offensive rebound by Team
0:52.0,,,21-25,1,M. Carter-Williams makes free throw 2 of 2
0:34.0,D. McDermott misses 3-pt shot from 22 ft,,21-25,,
0:32.0,,,21-25,,Defensive rebound by J. Lamb
0:26.0,,,21-27,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by J. O'Bryant)
0:03.0,Shooting foul by J. Lamb (drawn by R. Baker),,21-27,,
0:03.0,R. Baker makes free throw 1 of 2,1,22-27,,
0:03.0,R. Baker makes free throw 2 of 2,1,23-27,,
0:02.0,Personal foul by M. Beasley (drawn by M. Carter-Williams),,23-27,,
0:02.0,,,23-28,1,M. Carter-Williams makes free throw 1 of 2
0:02.0,,,23-29,1,M. Carter-Williams makes free throw 2 of 2
0:00.0,M. Beasley misses 3-pt shot from 47 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,L. Thomas misses 3-pt shot from 22 ft,,23-29,,
11:40.0,,,23-29,,Defensive rebound by J. O'Bryant
11:24.0,,,23-32,3,J. O'Bryant makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
11:07.0,D. McDermott misses 2-pt shot from 1 ft,,23-32,,
11:05.0,,,23-32,,Defensive rebound by F. Kaminsky
10:54.0,,,23-34,2,J. O'Bryant makes 2-pt shot from 15 ft (assist by F. Kaminsky)
10:37.0,F. Ntilikina misses 2-pt shot from 1 ft,,23-34,,
10:34.0,Offensive rebound by L. Thomas,,23-34,,
10:34.0,L. Thomas misses 2-pt shot at rim,,23-34,,
10:34.0,,,23-34,,Defensive rebound by Team
10:25.0,,,23-37,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
10:06.0,R. Baker misses 2-pt shot from 2 ft,,23-37,,
10:04.0,,,23-37,,Defensive rebound by J. Lamb
9:55.0,,,23-37,,M. Carter-Williams misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by D. McDermott,,23-37,,
9:50.0,,,23-37,,Personal foul by J. O'Bryant (drawn by F. Ntilikina)
