time,Milwaukee,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: A. Davis vs. J. Henson (G. Antetokounmpo gains possession)
11:44.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,2-0,,
11:27.0,,,2-0,,Turnover by E. Moore (bad pass; steal by G. Antetokounmpo)
11:19.0,E. Bledsoe misses 3-pt shot from 23 ft,,2-0,,
11:18.0,Offensive rebound by G. Payton,,2-0,,
11:18.0,G. Payton misses 2-pt shot at rim,,2-0,,
11:18.0,Offensive rebound by J. Henson,,2-0,,
11:18.0,J. Henson makes 2-pt shot at rim,2,4-0,,
11:18.0,Shooting foul by R. Rondo (drawn by J. Henson),,4-0,,
11:18.0,J. Henson misses free throw 1 of 1,,4-0,,
11:18.0,,,4-0,,Defensive rebound by D. Cousins
10:53.0,,,4-0,,R. Rondo misses 3-pt shot from 25 ft
10:46.0,,,4-0,,Offensive rebound by E. Moore
10:46.0,,,4-2,2,E. Moore makes 2-pt shot at rim
10:26.0,K. Middleton misses 3-pt shot from 26 ft,,4-2,,
10:26.0,Offensive rebound by G. Payton,,4-2,,
10:18.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-2,,
10:05.0,,,6-5,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday)
9:46.0,Turnover by E. Bledsoe (bad pass; steal by J. Holiday),,6-5,,
9:41.0,,,6-5,,R. Rondo misses 2-pt shot from 2 ft (block by G. Payton)
9:34.0,,,6-5,,Offensive rebound by A. Davis
9:34.0,,,6-7,2,A. Davis makes 2-pt shot at rim
9:29.0,K. Middleton makes 2-pt shot from 13 ft,2,8-7,,
9:12.0,,,8-7,,A. Davis misses 2-pt shot from 17 ft
9:12.0,Defensive rebound by K. Middleton,,8-7,,
9:04.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,10-7,,
8:53.0,,,10-7,,J. Holiday misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by G. Payton,,10-7,,
8:39.0,G. Payton misses 2-pt shot from 1 ft (block by R. Rondo),,10-7,,
8:39.0,Offensive rebound by Team,,10-7,,
8:39.0,J. Henson makes 2-pt shot from 3 ft,2,12-7,,
8:27.0,,,12-7,,J. Holiday misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by G. Payton,,12-7,,
8:23.0,Offensive charge foul by G. Antetokounmpo (drawn by D. Cousins),,12-7,,
8:23.0,Turnover by G. Antetokounmpo (offensive foul),,12-7,,
8:04.0,,,12-9,2,A. Davis makes 2-pt shot from 6 ft (assist by R. Rondo)
8:04.0,,,12-9,,Shooting foul by G. Payton (drawn by A. Davis)
8:04.0,,,12-10,1,A. Davis makes free throw 1 of 1
