time,Indiana,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Turner (R. Rondo gains possession),,,,Jump ball: A. Davis vs. M. Turner (R. Rondo gains possession)
11:43.0,,,0-0,,E. Okafor misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by D. Collison,,0-0,,
11:27.0,M. Turner misses 2-pt shot from 15 ft,,0-0,,
11:24.0,Offensive rebound by T. Young,,0-0,,
11:22.0,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Young),3,3-0,,
11:07.0,,,3-0,,E. Okafor misses 2-pt shot from 2 ft (block by M. Turner)
11:05.0,Defensive rebound by V. Oladipo,,3-0,,
10:57.0,M. Turner misses 2-pt shot from 12 ft,,3-0,,
10:50.0,,,3-0,,Defensive rebound by A. Davis
10:42.0,,,3-0,,E. Moore misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by T. Young,,3-0,,
10:28.0,B. Bogdanovic misses 2-pt shot from 1 ft,,3-0,,
10:26.0,,,3-0,,Defensive rebound by A. Davis
10:22.0,,,3-0,,E. Moore misses 2-pt shot from 7 ft
10:19.0,,,3-0,,Offensive rebound by Team
10:11.0,,,3-0,,J. Holiday misses 2-pt shot from 8 ft
10:09.0,Defensive rebound by T. Young,,3-0,,
9:54.0,M. Turner misses 2-pt shot from 20 ft,,3-0,,
9:52.0,,,3-0,,Defensive rebound by R. Rondo
9:39.0,,,3-2,2,R. Rondo makes 2-pt shot from 2 ft
9:22.0,Shooting foul by R. Rondo (drawn by M. Turner),,3-2,,
9:22.0,M. Turner makes free throw 1 of 2,1,4-2,,
9:22.0,M. Turner makes free throw 2 of 2,1,5-2,,
9:10.0,,,5-4,2,A. Davis makes 2-pt shot from 17 ft
8:58.0,T. Young misses 2-pt shot from 3 ft (block by E. Okafor),,5-4,,
8:54.0,,,5-4,,Defensive rebound by J. Holiday
8:50.0,,,5-6,2,J. Holiday makes 2-pt shot from 7 ft
8:35.0,B. Bogdanovic misses 3-pt shot from 25 ft,,5-6,,
8:31.0,,,5-6,,Defensive rebound by A. Davis
8:26.0,,,5-8,2,E. Moore makes 2-pt shot from 22 ft (assist by R. Rondo)
8:02.0,T. Young makes 2-pt shot from 1 ft (assist by D. Collison),2,7-8,,
7:53.0,,,7-8,,E. Okafor misses 2-pt shot from 1 ft (block by M. Turner)
7:52.0,Defensive rebound by B. Bogdanovic,,7-8,,
7:39.0,D. Collison makes 2-pt shot from 1 ft,2,9-8,,
7:26.0,,,9-8,,A. Davis misses 2-pt shot from 15 ft
7:23.0,Defensive rebound by M. Turner,,9-8,,
7:14.0,Shooting foul by J. Holiday (drawn by M. Turner),,9-8,,
7:14.0,M. Turner makes free throw 1 of 2,1,10-8,,
7:14.0,,,10-8,,N. Mirotic enters the game for E. Okafor
7:14.0,M. Turner makes free throw 2 of 2,1,11-8,,
7:01.0,,,11-8,,Turnover by A. Davis (lost ball; steal by D. Collison)
6:55.0,T. Young misses 3-pt shot from 22 ft,,11-8,,
6:51.0,,,11-8,,Defensive rebound by R. Rondo
6:47.0,,,11-8,,R. Rondo misses 2-pt shot from 2 ft
6:46.0,,,11-8,,Offensive rebound by J. Holiday
6:43.0,,,11-11,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Holiday)
6:27.0,V. Oladipo misses 2-pt shot from 16 ft,,11-11,,
6:25.0,,,11-11,,Defensive rebound by Team
6:25.0,,,11-11,,New Orleans full timeout
6:25.0,,,11-11,,D. Miller enters the game for R. Rondo
6:25.0,,,11-11,,I. Clark enters the game for E. Moore
6:17.0,,,11-11,,Turnover by J. Holiday (bad pass; steal by M. Turner)
6:17.0,,,11-11,,Personal foul by J. Holiday (drawn by M. Turner)
6:17.0,,,11-11,,L. Drew enters the game for J. Holiday
6:05.0,B. Bogdanovic makes 2-pt shot at rim (assist by V. Oladipo),2,13-11,,
5:48.0,,,13-13,2,I. Clark makes 2-pt shot from 20 ft
5:26.0,Turnover by D. Collison (bad pass),,13-13,,
5:02.0,,,13-13,,Turnover by Team (shot clock)
4:49.0,Shooting foul by A. Davis (drawn by V. Oladipo),,13-13,,
4:49.0,V. Oladipo makes free throw 1 of 2,1,14-13,,
4:49.0,V. Oladipo makes free throw 2 of 2,1,15-13,,
4:38.0,,,15-13,,D. Miller misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by V. Oladipo,,15-13,,
4:23.0,Turnover by D. Collison (bad pass),,15-13,,
4:23.0,T. Booker enters the game for T. Young,,15-13,,
4:05.0,,,15-13,,L. Drew misses 2-pt shot from 5 ft
4:03.0,Defensive rebound by M. Turner,,15-13,,
3:53.0,T. Booker makes 2-pt shot from 4 ft,2,17-13,,
3:37.0,,,17-13,,Shooting foul by V. Oladipo (drawn by I. Clark)
