time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Allen (S. Larkin gains possession),,,,Jump ball: A. Baynes vs. J. Allen (S. Larkin gains possession)
11:47.0,,,0-0,,A. Baynes misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by J. Allen,,0-0,,
11:23.0,D. Russell misses 2-pt shot from 15 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by G. Yabusele
11:13.0,,,0-0,,A. Baynes misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by R. Hollis-Jefferson,,0-0,,
10:59.0,J. Allen makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson),2,2-0,,
10:46.0,,,2-0,,A. Nader misses 2-pt shot from 7 ft
10:45.0,,,2-0,,Offensive rebound by A. Baynes
10:45.0,,,2-0,,A. Baynes misses 2-pt shot at rim
10:44.0,,,2-0,,Offensive rebound by A. Nader
10:43.0,,,2-0,,A. Nader misses 2-pt shot from 3 ft
10:41.0,Defensive rebound by A. Crabbe,,2-0,,
10:34.0,A. Crabbe misses 3-pt shot from 26 ft,,2-0,,
10:30.0,,,2-0,,Defensive rebound by A. Baynes
10:21.0,,,2-0,,S. Larkin misses 2-pt shot from 18 ft
10:20.0,,,2-0,,Offensive rebound by A. Baynes
10:20.0,,,2-2,2,A. Baynes makes 2-pt shot at rim
10:05.0,D. Russell makes 3-pt shot from 28 ft (assist by C. LeVert),3,5-2,,
9:48.0,,,5-2,,G. Yabusele misses 2-pt shot from 1 ft
9:48.0,,,5-2,,Offensive rebound by A. Baynes
9:45.0,,,5-4,2,A. Baynes makes 2-pt shot at rim
9:25.0,D. Russell misses 2-pt shot from 4 ft,,5-4,,
9:23.0,,,5-4,,Defensive rebound by S. Larkin
9:18.0,,,5-4,,Turnover by J. Bird (lost ball; steal by A. Crabbe)
9:15.0,D. Russell makes 2-pt shot from 1 ft (assist by A. Crabbe),2,7-4,,
8:51.0,,,7-4,,Turnover by J. Bird (bad pass; steal by R. Hollis-Jefferson)
8:46.0,C. LeVert makes 3-pt shot from 25 ft (assist by D. Russell),3,10-4,,
8:21.0,,,10-6,2,G. Yabusele makes 2-pt shot from 2 ft (assist by A. Baynes)
8:07.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,10-6,,
8:05.0,,,10-6,,Defensive rebound by A. Baynes
7:58.0,,,10-8,2,A. Nader makes 2-pt shot from 3 ft
7:45.0,Turnover by C. LeVert (traveling),,10-8,,
7:31.0,,,10-8,,A. Baynes misses 2-pt shot from 14 ft
7:29.0,Defensive rebound by J. Allen,,10-8,,
7:21.0,A. Crabbe misses 3-pt shot from 29 ft,,10-8,,
7:19.0,,,10-8,,Defensive rebound by G. Yabusele
7:11.0,,,10-8,,S. Larkin misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by A. Crabbe,,10-8,,
6:59.0,D. Russell misses 3-pt shot from 27 ft,,10-8,,
6:56.0,,,10-8,,Defensive rebound by J. Bird
6:48.0,,,10-10,2,G. Yabusele makes 2-pt shot from 17 ft (assist by J. Bird)
6:37.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,10-10,,
6:35.0,,,10-10,,Defensive rebound by J. Bird
