time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. D. Howard (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. D. Howard (S. Ibaka gains possession)
11:37.0,,,0-0,,K. Lowry misses 2-pt shot from 15 ft
11:31.0,Defensive rebound by M. Williams,,0-0,,
11:17.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by O. Anunoby
11:08.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
11:04.0,,,0-0,,Offensive rebound by J. Valanciunas
10:59.0,,,0-2,2,D. DeRozan makes 2-pt shot from 15 ft
10:38.0,N. Batum misses 2-pt shot from 6 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by S. Ibaka
10:30.0,,,0-4,2,D. DeRozan makes 2-pt shot from 13 ft
10:07.0,D. Howard makes 2-pt shot from 17 ft (assist by N. Batum),2,2-4,,
9:55.0,,,2-6,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
9:42.0,Shooting foul by D. DeRozan (drawn by N. Batum),,2-6,,
9:42.0,N. Batum makes free throw 1 of 3,1,3-6,,
9:42.0,N. Batum makes free throw 2 of 3,1,4-6,,
9:42.0,N. Batum makes free throw 3 of 3,1,5-6,,
9:30.0,,,5-6,,D. DeRozan misses 3-pt shot from 23 ft
9:27.0,,,5-6,,Offensive rebound by S. Ibaka
9:26.0,,,5-6,,S. Ibaka misses 2-pt shot from 2 ft
9:26.0,,,5-6,,Offensive rebound by J. Valanciunas
9:18.0,,,5-6,,J. Valanciunas misses 2-pt shot at rim
9:15.0,,,5-6,,Offensive rebound by J. Valanciunas
9:15.0,,,5-8,2,J. Valanciunas makes 2-pt shot at rim
9:07.0,M. Carter-Williams misses 2-pt shot from 17 ft,,5-8,,
9:05.0,,,5-8,,Defensive rebound by S. Ibaka
8:56.0,,,5-8,,J. Valanciunas misses 2-pt shot from 4 ft
8:56.0,,,5-8,,Offensive rebound by Team
8:53.0,,,5-8,,D. DeRozan misses 2-pt shot from 10 ft
8:53.0,,,5-8,,Offensive rebound by Team
8:35.0,,,5-8,,Turnover by S. Ibaka (lost ball; steal by M. Williams)
8:27.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft (block by S. Ibaka),,5-8,,
8:27.0,Offensive rebound by Team,,5-8,,
8:21.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,8-8,,
8:08.0,,,8-8,,J. Valanciunas misses 2-pt shot from 13 ft
8:05.0,Defensive rebound by D. Howard,,8-8,,
8:00.0,Turnover by N. Batum (bad pass; steal by S. Ibaka),,8-8,,
7:53.0,,,8-10,2,D. DeRozan makes 2-pt shot from 6 ft
7:39.0,N. Batum misses 2-pt shot from 14 ft,,8-10,,
7:36.0,,,8-10,,Defensive rebound by S. Ibaka
7:29.0,,,8-10,,K. Lowry misses 2-pt shot from 11 ft
7:26.0,Defensive rebound by M. Williams,,8-10,,
7:21.0,Turnover by M. Carter-Williams (bad pass),,8-10,,
7:02.0,,,8-10,,D. DeRozan misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by D. Howard,,8-10,,
6:49.0,N. Batum makes 2-pt shot from 10 ft,2,10-10,,
6:43.0,,,10-10,,Toronto full timeout
6:29.0,,,10-12,2,D. DeRozan makes 2-pt shot from 10 ft
6:07.0,M. Carter-Williams misses 3-pt shot from 22 ft,,10-12,,
6:03.0,,,10-12,,Defensive rebound by K. Lowry
5:55.0,,,10-12,,O. Anunoby misses 2-pt shot from 4 ft
5:54.0,,,10-12,,Offensive rebound by Team
5:54.0,Loose ball foul by M. Kidd-Gilchrist (drawn by O. Anunoby),,10-12,,
5:54.0,J. Lamb enters the game for N. Batum,,10-12,,
5:38.0,,,10-12,,D. DeRozan misses 3-pt shot from 22 ft
5:35.0,,,10-12,,Offensive rebound by J. Valanciunas
5:33.0,,,10-12,,K. Lowry misses 3-pt shot from 25 ft
5:33.0,,,10-12,,Offensive rebound by S. Ibaka
5:28.0,,,10-14,2,S. Ibaka makes 2-pt shot from 11 ft
5:13.0,M. Carter-Williams misses 2-pt shot from 9 ft,,10-14,,
5:13.0,,,10-14,,Defensive rebound by D. DeRozan
4:58.0,,,10-16,2,K. Lowry makes 2-pt shot from 3 ft
4:35.0,D. Howard makes 2-pt shot from 1 ft,2,12-16,,
4:06.0,,,12-18,2,J. Valanciunas makes 2-pt shot from 6 ft
3:49.0,M. Carter-Williams misses 2-pt shot from 7 ft,,12-18,,
3:47.0,Offensive rebound by M. Carter-Williams,,12-18,,
3:40.0,D. Howard misses 2-pt shot from 6 ft,,12-18,,
3:40.0,Offensive rebound by Team,,12-18,,
3:40.0,Turnover by Team (shot clock),,12-18,,
3:40.0,F. Kaminsky enters the game for M. Williams,,12-18,,
