time,New York,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: D. Jordan vs. E. Kanter (M. Beasley gains possession)
11:41.0,E. Kanter misses 2-pt shot from 4 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Jordan
11:21.0,,,0-2,2,M. Teodosic makes 2-pt shot from 17 ft (assist by D. Jordan)
11:04.0,C. Lee misses 2-pt shot from 13 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by D. Jordan
10:54.0,,,0-4,2,D. Jordan makes 2-pt shot from 1 ft (assist by M. Teodosic)
10:37.0,Shooting foul by M. Teodosic (drawn by C. Lee),,0-4,,
10:37.0,C. Lee makes free throw 1 of 2,1,1-4,,
10:37.0,C. Lee makes free throw 2 of 2,1,2-4,,
10:26.0,,,2-4,,T. Harris misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by E. Kanter,,2-4,,
10:04.0,E. Mudiay misses 2-pt shot from 14 ft,,2-4,,
10:00.0,Offensive rebound by E. Kanter,,2-4,,
9:59.0,E. Kanter makes 2-pt shot from 1 ft,2,4-4,,
9:45.0,,,4-4,,Turnover by D. Jordan (bad pass)
9:25.0,E. Kanter makes 2-pt shot at rim (assist by M. Beasley),2,6-4,,
9:16.0,,,6-4,,C. Williams misses 2-pt shot from 1 ft (block by E. Kanter)
9:06.0,,,6-4,,Offensive rebound by D. Jordan
9:06.0,,,6-6,2,D. Jordan makes 2-pt shot at rim
8:57.0,M. Beasley misses 2-pt shot from 14 ft,,6-6,,
8:55.0,,,6-6,,Defensive rebound by D. Jordan
8:44.0,,,6-6,,T. Harris misses 2-pt shot from 8 ft
8:41.0,,,6-6,,Offensive rebound by D. Jordan
8:40.0,,,6-6,,D. Jordan misses 2-pt shot from 1 ft (block by M. Beasley)
8:37.0,Defensive rebound by E. Mudiay,,6-6,,
8:36.0,Shooting foul by T. Harris (drawn by E. Mudiay),,6-6,,
8:36.0,E. Mudiay makes free throw 1 of 2,1,7-6,,
8:36.0,E. Mudiay makes free throw 2 of 2,1,8-6,,
8:23.0,,,8-8,2,D. Jordan makes 2-pt shot from 2 ft (assist by M. Teodosic)
8:12.0,C. Lee makes 2-pt shot from 9 ft,2,10-8,,
8:02.0,,,10-10,2,C. Williams makes 2-pt shot from 12 ft (assist by M. Teodosic)
7:38.0,E. Mudiay misses 2-pt shot from 18 ft,,10-10,,
7:36.0,,,10-10,,Defensive rebound by Team
7:24.0,,,10-13,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers)
7:03.0,Turnover by M. Beasley (bad pass; steal by C. Williams),,10-13,,
