time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Adebayo (I. Smith gains possession),,,,Jump ball: A. Drummond vs. B. Adebayo (I. Smith gains possession)
11:45.0,,,0-0,,Shooting foul by K. Olynyk (drawn by A. Drummond)
11:45.0,,,0-0,,A. Drummond misses free throw 1 of 2
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-1,1,A. Drummond makes free throw 2 of 2
11:32.0,K. Olynyk misses 3-pt shot from 24 ft,,0-1,,
11:28.0,,,0-1,,Defensive rebound by I. Smith
11:23.0,,,0-1,,A. Drummond misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by B. Adebayo,,0-1,,
11:10.0,,,0-1,,Personal foul by S. Johnson (drawn by K. Olynyk)
11:04.0,,,0-1,,Personal foul by A. Drummond (drawn by G. Dragic)
10:59.0,G. Dragic misses 2-pt shot from 15 ft,,0-1,,
10:55.0,,,0-1,,Defensive rebound by A. Drummond
10:51.0,,,0-1,,S. Johnson misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by B. Adebayo,,0-1,,
10:42.0,J. Winslow misses 2-pt shot from 8 ft,,0-1,,
10:39.0,,,0-1,,Defensive rebound by A. Drummond
10:30.0,,,0-3,2,B. Griffin makes 2-pt shot at rim
10:16.0,J. Richardson makes 2-pt shot from 17 ft (assist by G. Dragic),2,2-3,,
9:50.0,,,2-3,,B. Griffin misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by J. Winslow,,2-3,,
9:37.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,5-3,,
9:19.0,,,5-3,,Shooting foul by B. Adebayo (drawn by B. Griffin)
9:19.0,,,5-4,1,B. Griffin makes free throw 1 of 2
9:19.0,,,5-5,1,B. Griffin makes free throw 2 of 2
9:09.0,K. Olynyk misses 3-pt shot from 23 ft,,5-5,,
9:08.0,Offensive rebound by Team,,5-5,,
9:06.0,K. Olynyk misses 3-pt shot from 22 ft,,5-5,,
9:03.0,,,5-5,,Defensive rebound by I. Smith
9:00.0,,,5-7,2,I. Smith makes 2-pt shot from 14 ft
