time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Kleber (J. Murray gains possession),,,,Jump ball: N. Jokic vs. M. Kleber (J. Murray gains possession)
11:43.0,,,0-0,,Turnover by J. Murray (lost ball; steal by W. Matthews)
11:31.0,W. Matthews misses 3-pt shot from 22 ft,,0-0,,
11:28.0,Offensive rebound by W. Matthews,,0-0,,
11:17.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Smith),2,2-0,,
10:58.0,,,2-0,,W. Chandler misses 2-pt shot from 6 ft
10:56.0,Defensive rebound by D. Nowitzki,,2-0,,
10:34.0,W. Matthews makes 2-pt shot from 6 ft,2,4-0,,
10:20.0,,,4-0,,N. Jokic misses 2-pt shot from 18 ft
10:16.0,Defensive rebound by M. Kleber,,4-0,,
10:09.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Smith),2,6-0,,
9:52.0,,,6-2,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
9:52.0,,,6-2,,Shooting foul by D. Nowitzki (drawn by N. Jokic)
9:52.0,,,6-3,1,N. Jokic makes free throw 1 of 1
9:35.0,,,6-3,,Personal foul by W. Barton (drawn by W. Matthews)
9:29.0,Shooting foul by G. Harris (drawn by M. Kleber),,6-3,,
9:29.0,M. Kleber misses free throw 1 of 2,,6-3,,
9:29.0,Offensive rebound by Team,,6-3,,
9:29.0,M. Kleber makes free throw 2 of 2,1,7-3,,
9:17.0,,,7-3,,Turnover by W. Barton (lost ball; steal by H. Barnes)
9:10.0,D. Smith makes 2-pt shot from 1 ft,2,9-3,,
9:10.0,,,9-3,,Denver full timeout
9:10.0,S. Mejri enters the game for D. Nowitzki,,9-3,,
8:50.0,,,9-5,2,N. Jokic makes 2-pt shot from 5 ft
8:34.0,W. Matthews misses 3-pt shot from 24 ft,,9-5,,
8:32.0,,,9-5,,Defensive rebound by Team
8:20.0,,,9-7,2,G. Harris makes 2-pt shot from 13 ft (assist by N. Jokic)
7:56.0,D. Smith misses 2-pt shot from 22 ft,,9-7,,
7:53.0,,,9-7,,Defensive rebound by N. Jokic
7:51.0,,,9-7,,Turnover by N. Jokic (bad pass; steal by D. Smith)
7:46.0,D. Smith makes 2-pt shot from 2 ft,2,11-7,,
7:30.0,,,11-7,,Shooting foul by S. Mejri (drawn by N. Jokic)
7:30.0,,,11-8,1,N. Jokic makes free throw 1 of 2
7:30.0,,,11-9,1,N. Jokic makes free throw 2 of 2
7:12.0,M. Kleber misses 3-pt shot from 25 ft,,11-9,,
7:08.0,,,11-9,,Defensive rebound by N. Jokic
7:01.0,,,11-9,,G. Harris misses 2-pt shot from 19 ft
6:58.0,Defensive rebound by D. Smith,,11-9,,
6:52.0,S. Mejri makes 2-pt shot from 2 ft (assist by M. Kleber),2,13-9,,
6:52.0,Shooting foul by W. Barton (drawn by S. Mejri),,13-9,,
6:52.0,S. Mejri makes free throw 1 of 1,1,14-9,,
6:33.0,,,14-9,,N. Jokic misses 2-pt shot from 6 ft (block by M. Kleber)
6:30.0,Defensive rebound by H. Barnes,,14-9,,
6:27.0,D. Smith makes 2-pt shot from 1 ft,2,16-9,,
6:13.0,,,16-9,,N. Jokic misses 2-pt shot from 2 ft
6:11.0,,,16-9,,Offensive rebound by N. Jokic
6:10.0,,,16-12,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
5:49.0,D. Smith makes 2-pt shot from 20 ft,2,18-12,,
5:36.0,,,18-14,2,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris)
5:22.0,D. Smith misses 3-pt shot from 24 ft,,18-14,,
5:21.0,,,18-14,,Defensive rebound by W. Barton
5:17.0,,,18-17,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler)
5:15.0,Dallas full timeout,,18-17,,
5:15.0,,,18-17,,T. Lyles enters the game for W. Barton
5:15.0,Y. Ferrell enters the game for D. Smith,,18-17,,
5:02.0,H. Barnes makes 2-pt shot from 14 ft (assist by Y. Ferrell),2,20-17,,
4:49.0,Personal foul by S. Mejri (drawn by N. Jokic),,20-17,,
4:44.0,,,20-17,,Shooting foul by M. Kleber (drawn by G. Harris)
4:44.0,,,20-18,1,G. Harris makes free throw 1 of 2
4:44.0,,,20-19,1,G. Harris makes free throw 2 of 2
4:31.0,,,20-19,,Personal foul by W. Chandler (drawn by H. Barnes)
4:21.0,M. Kleber misses 2-pt shot from 20 ft,,20-19,,
4:20.0,Offensive rebound by S. Mejri,,20-19,,
4:18.0,Y. Ferrell misses 3-pt shot from 24 ft,,20-19,,
4:14.0,,,20-19,,Defensive rebound by W. Chandler
4:06.0,,,20-19,,W. Chandler misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by W. Matthews,,20-19,,
3:59.0,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,23-19,,
3:37.0,,,23-19,,N. Jokic misses 2-pt shot from 2 ft
3:35.0,,,23-19,,Offensive rebound by N. Jokic
3:32.0,Personal foul by S. Mejri (drawn by N. Jokic),,23-19,,
3:32.0,,,23-19,,T. Craig enters the game for W. Chandler
3:32.0,,,23-19,,W. Barton enters the game for J. Murray
3:32.0,D. Powell enters the game for S. Mejri,,23-19,,
3:32.0,,,23-20,1,N. Jokic makes free throw 1 of 2
3:32.0,,,23-20,,N. Jokic misses free throw 2 of 2
3:23.0,Defensive rebound by D. Powell,,23-20,,
3:13.0,W. Matthews misses 2-pt shot from 20 ft,,23-20,,
3:09.0,,,23-20,,Defensive rebound by T. Craig
3:01.0,,,23-20,,Turnover by T. Craig (lost ball; steal by W. Matthews)
2:57.0,Turnover by M. Kleber (lost ball; steal by G. Harris),,23-20,,
2:56.0,,,23-20,,Shooting foul by Y. Ferrell (drawn by G. Harris)
2:56.0,,,23-21,1,G. Harris makes free throw 1 of 2
2:56.0,,,23-21,,M. Plumlee enters the game for N. Jokic
2:56.0,,,23-22,1,G. Harris makes free throw 2 of 2
2:41.0,Shooting foul by T. Craig (drawn by H. Barnes),,23-22,,
2:41.0,H. Barnes makes free throw 1 of 2,1,24-22,,
2:41.0,D. Harris enters the game for W. Matthews,,24-22,,
