time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cunningham vs. J. Valanciunas (S. Dinwiddie gains possession),,,,Jump ball: D. Cunningham vs. J. Valanciunas (S. Dinwiddie gains possession)
11:48.0,,,0-0,,D. Cunningham misses 2-pt shot at rim (block by J. Valanciunas)
11:48.0,,,0-0,,Offensive rebound by Team
11:43.0,,,0-3,3,D. Russell makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
11:24.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry),2,2-3,,
10:58.0,,,2-3,,D. Carroll misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by N. Powell,,2-3,,
10:44.0,N. Powell makes 2-pt shot from 6 ft (assist by J. Valanciunas),2,4-3,,
10:19.0,,,4-6,3,D. Russell makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
10:00.0,Turnover by D. DeRozan (lost ball; steal by A. Crabbe),,4-6,,
9:55.0,,,4-8,2,S. Dinwiddie makes 2-pt shot at rim (assist by A. Crabbe)
9:47.0,,,4-8,,Personal foul by S. Dinwiddie (drawn by K. Lowry)
9:41.0,D. DeRozan misses 3-pt shot from 25 ft,,4-8,,
9:38.0,,,4-8,,Defensive rebound by D. Carroll
9:31.0,,,4-11,3,D. Russell makes 3-pt shot from 25 ft (assist by A. Crabbe)
9:10.0,K. Lowry makes 2-pt shot from 1 ft,2,6-11,,
8:59.0,,,6-11,,S. Dinwiddie misses 3-pt shot from 26 ft
8:55.0,,,6-11,,Offensive rebound by D. Russell
8:42.0,,,6-14,3,D. Russell makes 3-pt shot from 24 ft
8:30.0,J. Valanciunas misses 3-pt shot from 24 ft,,6-14,,
8:27.0,,,6-14,,Defensive rebound by A. Crabbe
8:16.0,,,6-17,3,D. Carroll makes 3-pt shot from 25 ft (assist by A. Crabbe)
8:13.0,Toronto full timeout,,6-17,,
7:52.0,K. Lowry makes 2-pt shot from 1 ft,2,8-17,,
7:38.0,Personal foul by S. Ibaka (drawn by D. Russell),,8-17,,
7:26.0,,,8-17,,A. Crabbe misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by J. Valanciunas,,8-17,,
7:18.0,N. Powell makes 3-pt shot from 25 ft (assist by K. Lowry),3,11-17,,
6:56.0,,,11-17,,Turnover by D. Russell (out of bounds lost ball)
6:39.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka),2,13-17,,
6:27.0,,,13-17,,Shooting foul by N. Powell (drawn by D. Russell)
6:27.0,,,13-18,1,D. Russell makes free throw 1 of 3
6:27.0,,,13-19,1,D. Russell makes free throw 2 of 3
6:27.0,,,13-20,1,D. Russell makes free throw 3 of 3
6:19.0,Turnover by D. DeRozan (out of bounds lost ball),,13-20,,
6:08.0,,,13-23,3,D. Russell makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
5:54.0,K. Lowry misses 2-pt shot from 1 ft,,13-23,,
5:50.0,J. Valanciunas misses 2-pt shot from 2 ft,,13-23,,
5:50.0,Offensive rebound by J. Valanciunas,,13-23,,
5:50.0,Offensive rebound by J. Valanciunas,,13-23,,
5:50.0,J. Valanciunas makes 2-pt shot from 2 ft,2,15-23,,
5:46.0,,,15-26,3,D. Russell makes 3-pt shot from 25 ft
5:35.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,17-26,,
5:35.0,Shooting foul by D. Russell (drawn by J. Valanciunas),,17-26,,
5:35.0,J. Valanciunas makes free throw 1 of 1,1,18-26,,
5:20.0,,,18-29,3,D. Russell makes 3-pt shot from 25 ft
5:05.0,K. Lowry misses 3-pt shot from 25 ft,,18-29,,
5:03.0,Offensive rebound by S. Ibaka,,18-29,,
5:03.0,,,18-29,,C. LeVert enters the game for D. Carroll
5:03.0,,,18-29,,R. Hollis-Jefferson enters the game for A. Crabbe
4:56.0,D. DeRozan makes 2-pt shot from 2 ft (assist by N. Powell),2,20-29,,
4:45.0,,,20-29,,D. Russell misses 3-pt shot from 28 ft
4:42.0,Defensive rebound by D. DeRozan,,20-29,,
4:35.0,D. DeRozan makes 2-pt shot from 11 ft,2,22-29,,
4:20.0,,,22-29,,J. Harris enters the game for D. Russell
4:20.0,J. Poeltl enters the game for J. Valanciunas,,22-29,,
4:20.0,C. Miles enters the game for N. Powell,,22-29,,
4:13.0,,,22-29,,D. Cunningham misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by C. Miles,,22-29,,
4:04.0,D. DeRozan makes 2-pt shot from 15 ft,2,24-29,,
3:57.0,,,24-29,,Brooklyn full timeout
3:57.0,,,24-29,,Q. Acy enters the game for D. Cunningham
3:50.0,,,24-31,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
3:39.0,J. Poeltl misses 2-pt shot from 1 ft,,24-31,,
3:35.0,,,24-31,,Defensive rebound by R. Hollis-Jefferson
3:21.0,,,24-31,,Turnover by C. LeVert (lost ball; steal by K. Lowry)
3:18.0,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry),2,26-31,,
3:01.0,,,26-31,,Q. Acy misses 3-pt shot from 22 ft
2:56.0,Defensive rebound by C. Miles,,26-31,,
2:50.0,,,26-31,,Shooting block foul by Q. Acy (drawn by S. Ibaka)
