time,New Orleans,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Davis (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. A. Davis (S. Ibaka gains possession)
11:44.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 2 ft
11:35.0,D. Cousins misses 2-pt shot at rim,,0-2,,
11:30.0,Offensive rebound by D. Cousins,,0-2,,
11:30.0,D. Cousins misses 2-pt shot at rim,,0-2,,
11:30.0,,,0-2,,Defensive rebound by J. Valanciunas
11:24.0,,,0-2,,J. Valanciunas misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by A. Davis,,0-2,,
11:14.0,Shooting foul by N. Powell (drawn by E. Moore),,0-2,,
11:14.0,E. Moore makes free throw 1 of 2,1,1-2,,
11:14.0,E. Moore makes free throw 2 of 2,1,2-2,,
10:56.0,,,2-5,3,N. Powell makes 3-pt shot from 26 ft (assist by S. Ibaka)
10:38.0,Turnover by D. Cousins (bad pass; steal by J. Valanciunas),,2-5,,
10:23.0,,,2-5,,J. Valanciunas misses 2-pt shot from 5 ft (block by A. Davis)
10:23.0,,,2-5,,Offensive rebound by Team
10:19.0,,,2-5,,S. Ibaka misses 3-pt shot from 27 ft
10:16.0,Defensive rebound by D. Cousins,,2-5,,
10:05.0,Shooting foul by S. Ibaka (drawn by A. Davis),,2-5,,
10:05.0,A. Davis makes free throw 1 of 2,1,3-5,,
10:05.0,A. Davis makes free throw 2 of 2,1,4-5,,
9:56.0,,,4-7,2,S. Ibaka makes 2-pt shot from 5 ft
9:47.0,,,4-7,,Personal foul by D. DeRozan (drawn by J. Holiday)
9:39.0,A. Davis misses 2-pt shot from 3 ft,,4-7,,
9:38.0,,,4-7,,Defensive rebound by J. Valanciunas
9:33.0,,,4-10,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
9:10.0,D. Cousins misses 2-pt shot from 5 ft,,4-10,,
9:09.0,Offensive rebound by D. Cunningham,,4-10,,
9:07.0,E. Moore makes 3-pt shot from 25 ft (assist by D. Cunningham),3,7-10,,
8:47.0,,,7-12,2,S. Ibaka makes 2-pt shot from 18 ft
8:34.0,J. Holiday misses 2-pt shot from 6 ft,,7-12,,
8:30.0,,,7-12,,Defensive rebound by J. Valanciunas
8:20.0,,,7-12,,S. Ibaka misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by D. Cousins,,7-12,,
8:03.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,10-12,,
7:42.0,,,10-12,,S. Ibaka misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by D. Cousins,,10-12,,
7:34.0,D. Cousins makes 2-pt shot from 2 ft,2,12-12,,
7:28.0,,,12-12,,Toronto full timeout
7:13.0,,,12-15,3,D. DeRozan makes 3-pt shot from 22 ft (assist by S. Ibaka)
6:57.0,J. Holiday makes 2-pt shot from 4 ft (assist by D. Cousins),2,14-15,,
6:43.0,,,14-17,2,K. Lowry makes 2-pt shot from 7 ft (assist by J. Valanciunas)
6:33.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,16-17,,
6:12.0,,,16-19,2,D. DeRozan makes 2-pt shot from 4 ft
6:01.0,D. Cousins misses 2-pt shot from 2 ft,,16-19,,
5:59.0,,,16-19,,Defensive rebound by J. Valanciunas
5:54.0,,,16-22,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
5:43.0,A. Davis misses 2-pt shot from 16 ft,,16-22,,
5:40.0,,,16-22,,Defensive rebound by J. Valanciunas
5:35.0,,,16-22,,D. DeRozan misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by D. Cunningham,,16-22,,
5:20.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,18-22,,
5:05.0,,,18-22,,S. Ibaka misses 2-pt shot from 10 ft (block by A. Davis)
5:03.0,Defensive rebound by D. Cousins,,18-22,,
4:59.0,D. Cousins misses 2-pt shot from 3 ft (block by S. Ibaka),,18-22,,
4:56.0,,,18-22,,Defensive rebound by J. Valanciunas
4:51.0,Personal foul by A. Davis (drawn by J. Valanciunas),,18-22,,
4:51.0,,,18-22,,C. Miles enters the game for N. Powell
4:51.0,,,18-22,,L. Nogueira enters the game for J. Valanciunas
4:51.0,J. Nelson enters the game for J. Holiday,,18-22,,
4:42.0,,,18-25,3,C. Miles makes 3-pt shot from 26 ft (assist by D. DeRozan)
4:26.0,D. Cousins misses 3-pt shot from 25 ft,,18-25,,
4:23.0,,,18-25,,Defensive rebound by S. Ibaka
4:10.0,,,18-25,,D. DeRozan misses 3-pt shot from 22 ft
4:07.0,Defensive rebound by D. Cousins,,18-25,,
4:01.0,,,18-25,,Personal foul by L. Nogueira (drawn by A. Davis)
3:59.0,Shooting foul by L. Nogueira (drawn by D. Cousins),,18-25,,
3:59.0,D. Cousins misses free throw 1 of 2,,18-25,,
3:59.0,Offensive rebound by Team,,18-25,,
3:59.0,D. Cousins misses free throw 2 of 2,,18-25,,
3:57.0,,,18-25,,Defensive rebound by S. Ibaka
3:49.0,,,18-25,,K. Lowry misses 3-pt shot from 26 ft
3:46.0,,,18-25,,Offensive rebound by L. Nogueira
3:45.0,,,18-27,2,L. Nogueira makes 2-pt shot at rim
3:24.0,,,18-27,,Shooting block foul by L. Nogueira (drawn by D. Cousins)
3:24.0,D. Cousins misses free throw 1 of 2,,18-27,,
3:24.0,Offensive rebound by Team,,18-27,,
3:24.0,,,18-27,,J. Poeltl enters the game for L. Nogueira
3:24.0,J. Holiday enters the game for E. Moore,,18-27,,
3:24.0,D. Cousins makes free throw 2 of 2,1,19-27,,
3:12.0,,,19-27,,D. DeRozan misses 2-pt shot from 12 ft
3:10.0,Defensive rebound by D. Cousins,,19-27,,
3:05.0,,,19-27,,Personal foul by J. Poeltl (drawn by A. Davis)
3:05.0,A. Davis makes free throw 1 of 2,1,20-27,,
3:05.0,D. Miller enters the game for D. Cousins,,20-27,,
3:05.0,,,20-27,,P. Siakam enters the game for K. Lowry
3:05.0,,,20-27,,D. Wright enters the game for S. Ibaka
3:05.0,A. Davis misses free throw 2 of 2,,20-27,,
3:02.0,,,20-27,,Defensive rebound by P. Siakam
2:52.0,,,20-27,,J. Poeltl misses 2-pt shot from 6 ft
2:50.0,,,20-27,,Offensive rebound by J. Poeltl
2:49.0,,,20-27,,Shooting foul by D. Cunningham (drawn by C. Miles)
2:49.0,New Orleans full timeout,,20-27,,
2:49.0,T. Allen enters the game for D. Cunningham,,20-27,,
2:49.0,,,20-28,1,C. Miles makes free throw 1 of 3
2:49.0,,,20-29,1,C. Miles makes free throw 2 of 3
2:49.0,,,20-30,1,C. Miles makes free throw 3 of 3
2:35.0,J. Holiday makes 3-pt shot from 23 ft (assist by J. Nelson),3,23-30,,
2:16.0,,,23-30,,Turnover by D. Wright (lost ball; steal by A. Davis)
2:12.0,T. Allen makes 2-pt shot at rim (assist by A. Davis),2,25-30,,
1:58.0,Personal foul by T. Allen (drawn by J. Poeltl),,25-30,,
1:48.0,,,25-30,,C. Miles misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by Team,,25-30,,
1:33.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Nelson),2,27-30,,
1:12.0,,,27-30,,C. Miles misses 3-pt shot from 28 ft
1:09.0,Defensive rebound by J. Holiday,,27-30,,
1:05.0,J. Holiday makes 2-pt shot from 18 ft,2,29-30,,
0:50.0,,,29-30,,Shooting foul by J. Holiday (drawn by D. DeRozan)
0:50.0,,,29-31,1,D. DeRozan makes free throw 1 of 2
0:50.0,,,29-32,1,D. DeRozan makes free throw 2 of 2
0:43.0,A. Davis misses 2-pt shot from 9 ft (block by C. Miles),,29-32,,
0:41.0,,,29-32,,Defensive rebound by C. Miles
0:40.0,,,29-32,,Shooting foul by T. Allen (drawn by P. Siakam)
0:40.0,,,29-32,,P. Siakam misses free throw 1 of 2
0:40.0,,,29-32,,Offensive rebound by Team
0:40.0,,,29-32,,P. Siakam misses free throw 2 of 2
0:38.0,,,29-32,,Offensive rebound by J. Poeltl
0:35.0,,,29-32,,D. DeRozan misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by D. Miller,,29-32,,
0:22.0,J. Holiday makes 3-pt shot from 22 ft (assist by J. Nelson),3,32-32,,
0:01.0,,,32-34,2,D. DeRozan makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins),2,34-34,,
11:26.0,,,34-34,,Offensive charge foul by D. Wright (drawn by D. Cousins)
11:26.0,,,34-34,,Turnover by D. Wright (offensive foul)
11:21.0,J. Holiday makes 2-pt shot from 5 ft,2,36-34,,
11:21.0,Shooting foul by C. Miles (drawn by J. Holiday),,36-34,,
11:21.0,J. Holiday makes free throw 1 of 1,1,37-34,,
11:10.0,,,37-34,,C. Miles misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by D. Cousins,,37-34,,
11:04.0,J. Holiday misses 3-pt shot from 29 ft,,37-34,,
11:01.0,,,37-34,,Defensive rebound by P. Siakam
10:39.0,,,37-34,,C. Miles misses 3-pt shot from 25 ft
10:36.0,,,37-34,,Offensive rebound by P. Siakam
10:35.0,,,37-34,,F. VanVleet misses 3-pt shot from 25 ft
10:35.0,,,37-34,,Offensive rebound by J. Poeltl
10:31.0,,,37-36,2,J. Poeltl makes 2-pt shot at rim
10:20.0,Offensive charge foul by D. Cousins (drawn by J. Poeltl),,37-36,,
10:20.0,Turnover by D. Cousins (offensive foul),,37-36,,
10:11.0,,,37-36,,C. Miles misses 2-pt shot from 5 ft
10:08.0,,,37-36,,Offensive rebound by D. Wright
10:06.0,,,37-38,2,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam)
9:52.0,J. Holiday makes 2-pt shot from 1 ft,2,39-38,,
9:31.0,,,39-40,2,D. Wright makes 2-pt shot from 10 ft
9:22.0,,,39-40,,Violation by J. Poeltl (lane)
9:22.0,,,39-40,,Def 3 sec tech foul by J. Poeltl
9:22.0,J. Holiday makes technical free throw,1,40-40,,
9:22.0,,,40-40,,O. Anunoby enters the game for C. Miles
9:13.0,Turnover by D. Cousins (traveling),,40-40,,
9:06.0,,,40-40,,Turnover by P. Siakam (bad pass)
8:52.0,D. Miller makes 3-pt shot from 23 ft (assist by D. Cousins),3,43-40,,
8:38.0,,,43-40,,Turnover by D. Wright (lost ball; steal by D. Miller)
8:24.0,T. Allen misses 2-pt shot from 1 ft (block by D. Wright),,43-40,,
8:21.0,Offensive rebound by T. Allen,,43-40,,
8:20.0,T. Allen misses 2-pt shot from 2 ft,,43-40,,
8:20.0,,,43-40,,Defensive rebound by J. Poeltl
8:14.0,,,43-42,2,F. VanVleet makes 2-pt shot from 2 ft
8:02.0,Turnover by T. Allen (lost ball; steal by J. Poeltl),,43-42,,
7:54.0,,,43-45,3,D. Wright makes 3-pt shot from 24 ft (assist by P. Siakam)
7:30.0,Turnover by D. Cousins (lost ball; steal by O. Anunoby),,43-45,,
7:26.0,,,43-47,2,O. Anunoby makes 2-pt shot at rim (assist by P. Siakam)
7:07.0,D. Cousins makes 2-pt shot from 3 ft,2,45-47,,
6:53.0,,,45-47,,Turnover by F. VanVleet (bad pass; steal by D. Cousins)
6:48.0,T. Allen makes 2-pt shot from 1 ft (assist by D. Cousins),2,47-47,,
6:36.0,,,47-47,,Toronto full timeout
