time,Milwaukee,pts.away,score,pts.home,Golden State
6:55.0,,,12-14,,Defensive rebound by K. Durant
6:54.0,,,12-14,,K. Durant misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by J. Henson,,12-14,,
6:52.0,Turnover by J. Henson (step out of bounds),,12-14,,
6:51.0,,,12-14,,Golden State full timeout
6:44.0,,,12-16,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Durant)
6:31.0,,,12-16,,Personal foul by Q. Cook (drawn by G. Antetokounmpo)
6:20.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,14-16,,
5:55.0,,,14-16,,Turnover by Q. Cook (bad pass; steal by K. Middleton)
5:55.0,,,14-16,,Personal foul by D. Green (drawn by K. Middleton)
5:55.0,,,14-16,,K. Looney enters the game for D. Green
5:55.0,,,14-16,,A. Iguodala enters the game for P. McCaw
5:34.0,K. Middleton makes 2-pt shot from 15 ft,2,16-16,,
5:09.0,,,16-18,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Looney)
4:57.0,,,16-18,,Personal foul by J. McGee (drawn by G. Antetokounmpo)
4:57.0,J. Terry enters the game for T. Snell,,16-18,,
4:57.0,J. Parker enters the game for K. Middleton,,16-18,,
4:50.0,J. Terry makes 2-pt shot from 11 ft (assist by J. Henson),2,18-18,,
4:40.0,,,18-18,,Turnover by K. Durant (bad pass; steal by J. Terry)
4:35.0,Turnover by J. Terry (bad pass; steal by A. Iguodala),,18-18,,
4:22.0,,,18-20,2,K. Durant makes 2-pt shot from 17 ft
4:22.0,,,18-20,,Shooting foul by G. Antetokounmpo (drawn by K. Durant)
4:22.0,,,18-21,1,K. Durant makes free throw 1 of 1
4:08.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,20-21,,
3:59.0,,,20-23,2,Q. Cook makes 2-pt shot from 20 ft (assist by K. Durant)
3:47.0,,,20-23,,Def 3 sec tech foul by J. McGee
3:47.0,J. Terry makes technical free throw,1,21-23,,
3:47.0,,,21-23,,Z. Pachulia enters the game for J. McGee
3:47.0,,,21-23,,N. Young enters the game for Q. Cook
3:42.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,21-23,,
3:40.0,,,21-23,,Defensive rebound by K. Durant
3:33.0,,,21-25,2,K. Durant makes 2-pt shot from 16 ft
3:17.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,23-25,,
2:58.0,,,23-25,,K. Durant misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by J. Parker,,23-25,,
2:49.0,J. Henson misses 2-pt shot from 17 ft,,23-25,,
2:44.0,,,23-25,,Defensive rebound by A. Iguodala
2:36.0,,,23-25,,Turnover by K. Durant (lost ball; steal by E. Bledsoe)
2:30.0,J. Parker makes 2-pt shot at rim (assist by J. Terry),2,25-25,,
2:03.0,,,25-25,,A. Iguodala misses 2-pt shot from 20 ft
1:59.0,Defensive rebound by J. Parker,,25-25,,
1:56.0,J. Henson misses 2-pt shot from 1 ft (block by K. Looney),,25-25,,
1:55.0,Offensive rebound by J. Henson,,25-25,,
1:54.0,J. Henson makes 2-pt shot from 1 ft,2,27-25,,
1:34.0,,,27-25,,Z. Pachulia misses 2-pt shot from 3 ft (block by J. Henson)
1:34.0,Defensive rebound by Team,,27-25,,
1:34.0,Milwaukee full timeout,,27-25,,
1:34.0,K. Middleton enters the game for J. Henson,,27-25,,
1:34.0,T. Zeller enters the game for G. Antetokounmpo,,27-25,,
1:12.0,T. Zeller misses 2-pt shot from 1 ft,,27-25,,
1:09.0,,,27-25,,Defensive rebound by Z. Pachulia
0:53.0,,,27-25,,Turnover by Z. Pachulia (bad pass; steal by J. Terry)
0:46.0,J. Parker misses 2-pt shot from 14 ft,,27-25,,
0:43.0,,,27-25,,Defensive rebound by K. Durant
0:35.0,,,27-27,2,K. Durant makes 2-pt shot from 2 ft
0:28.0,K. Middleton misses 2-pt shot from 3 ft (block by K. Looney),,27-27,,
0:25.0,Offensive rebound by J. Terry,,27-27,,
0:25.0,T. Zeller makes 2-pt shot from 1 ft (assist by J. Terry),2,29-27,,
0:02.0,,,29-27,,N. Young misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by E. Bledsoe,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-30,3,D. Green makes 3-pt shot from 29 ft (assist by D. West)
11:25.0,T. Zeller misses 2-pt shot from 3 ft,,29-30,,
