time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. McGee (K. Love gains possession),,,,Jump ball: T. Thompson vs. J. McGee (K. Love gains possession)
11:49.0,,,0-3,3,K. Love makes 3-pt shot from 25 ft (assist by G. Hill)
11:37.0,Shooting foul by J. Smith (drawn by D. Green),,0-3,,
11:37.0,D. Green makes free throw 1 of 2,1,1-3,,
11:37.0,D. Green makes free throw 2 of 2,1,2-3,,
11:17.0,,,2-6,3,J. Smith makes 3-pt shot from 23 ft (assist by G. Hill)
11:01.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Green),2,4-6,,
10:41.0,,,4-8,2,J. Smith makes 2-pt shot from 7 ft (assist by L. James)
10:34.0,K. Thompson misses 2-pt shot from 17 ft,,4-8,,
10:31.0,,,4-8,,Defensive rebound by K. Love
10:19.0,,,4-8,,L. James misses 2-pt shot from 3 ft (block by J. McGee)
10:11.0,,,4-8,,Offensive rebound by L. James
10:10.0,,,4-10,2,T. Thompson makes 2-pt shot from 3 ft (assist by L. James)
10:03.0,S. Curry misses 3-pt shot from 27 ft,,4-10,,
10:03.0,,,4-10,,Defensive rebound by K. Love
10:01.0,Personal foul by S. Curry (drawn by J. Smith),,4-10,,
9:41.0,,,4-10,,L. James misses 2-pt shot from 13 ft
9:36.0,,,4-10,,Offensive rebound by L. James
9:36.0,,,4-12,2,L. James makes 2-pt shot at rim
9:27.0,Turnover by J. McGee (turnover),,4-12,,
9:05.0,,,4-12,,Turnover by K. Love (out of bounds lost ball)
8:51.0,D. Green misses 3-pt shot from 26 ft,,4-12,,
8:48.0,,,4-12,,Defensive rebound by T. Thompson
8:41.0,,,4-12,,J. Smith misses 3-pt shot from 23 ft
8:38.0,,,4-12,,Offensive rebound by K. Love
8:29.0,,,4-12,,K. Love misses 2-pt shot from 5 ft
8:29.0,,,4-12,,Offensive rebound by Team
8:13.0,,,4-12,,T. Thompson misses 2-pt shot from 7 ft (block by J. McGee)
8:11.0,Defensive rebound by K. Durant,,4-12,,
8:11.0,Turnover by K. Durant (palming),,4-12,,
8:01.0,,,4-12,,T. Thompson misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by K. Durant,,4-12,,
7:57.0,Turnover by K. Durant (lost ball; steal by K. Love),,4-12,,
7:57.0,,,4-14,2,K. Love makes 2-pt shot at rim
7:57.0,Golden State full timeout,,4-14,,
7:43.0,J. McGee misses 2-pt shot from 1 ft,,4-14,,
7:40.0,,,4-14,,Defensive rebound by K. Love
7:38.0,,,4-16,2,L. James makes 2-pt shot from 2 ft
7:38.0,Violation by J. McGee (def goaltending),,4-16,,
7:19.0,K. Durant makes 2-pt shot from 9 ft (assist by K. Thompson),2,6-16,,
