time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. J. Henson (S. Brown gains possession),,,,Jump ball: C. Felicio vs. J. Henson (S. Brown gains possession)
11:47.0,E. Bledsoe makes 2-pt shot from 19 ft (assist by J. Henson),2,2-0,,
11:28.0,,,2-0,,J. Holiday misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by K. Middleton,,2-0,,
11:14.0,,,2-0,,Personal foul by D. Valentine (drawn by S. Brown)
11:04.0,J. Henson misses 2-pt shot from 2 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by L. Markkanen
10:49.0,,,2-3,3,C. Payne makes 3-pt shot from 24 ft (assist by D. Valentine)
10:29.0,J. Parker makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,4-3,,
10:12.0,,,4-5,2,C. Payne makes 2-pt shot from 1 ft
10:12.0,,,4-5,,Shooting foul by E. Bledsoe (drawn by C. Payne)
10:12.0,,,4-6,1,C. Payne makes free throw 1 of 1
10:07.0,S. Brown misses 3-pt shot from 25 ft,,4-6,,
10:04.0,,,4-6,,Defensive rebound by C. Payne
10:04.0,Personal foul by S. Brown (drawn by D. Valentine),,4-6,,
10:04.0,,,4-7,1,D. Valentine makes clear path free throw 1 of 2
10:04.0,,,4-8,1,D. Valentine makes clear path free throw 2 of 2
9:56.0,,,4-8,,L. Markkanen misses 2-pt shot from 16 ft
9:54.0,,,4-8,,Offensive rebound by C. Payne
9:54.0,Personal foul by E. Bledsoe (drawn by C. Felicio),,4-8,,
9:54.0,B. Jennings enters the game for E. Bledsoe,,4-8,,
9:38.0,,,4-11,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday)
9:17.0,S. Brown misses 3-pt shot from 25 ft,,4-11,,
9:15.0,,,4-11,,Defensive rebound by C. Payne
9:04.0,,,4-13,2,C. Payne makes 2-pt shot from 1 ft
9:01.0,Milwaukee full timeout,,4-13,,
9:01.0,J. Terry enters the game for S. Brown,,4-13,,
8:58.0,J. Parker misses 2-pt shot from 17 ft,,4-13,,
8:54.0,,,4-13,,Defensive rebound by L. Markkanen
8:41.0,,,4-15,2,C. Felicio makes 2-pt shot at rim (assist by C. Payne)
8:18.0,B. Jennings makes 3-pt shot from 24 ft (assist by K. Middleton),3,7-15,,
8:07.0,,,7-15,,L. Markkanen misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by J. Henson,,7-15,,
7:56.0,K. Middleton misses 3-pt shot from 24 ft,,7-15,,
7:52.0,,,7-15,,Defensive rebound by J. Holiday
7:37.0,,,7-15,,D. Valentine misses 3-pt shot from 24 ft
7:32.0,,,7-15,,Offensive rebound by C. Felicio
7:31.0,,,7-15,,J. Holiday misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by B. Jennings,,7-15,,
7:09.0,K. Middleton misses 3-pt shot from 26 ft,,7-15,,
7:09.0,Offensive rebound by Team,,7-15,,
7:09.0,,,7-15,,Loose ball foul by L. Markkanen (drawn by J. Henson)
7:02.0,J. Terry makes 3-pt shot from 23 ft (assist by K. Middleton),3,10-15,,
6:40.0,,,10-15,,Turnover by D. Valentine (bad pass; steal by B. Jennings)
6:29.0,B. Jennings misses 2-pt shot from 14 ft,,10-15,,
6:27.0,,,10-15,,Defensive rebound by C. Felicio
6:24.0,,,10-15,,Offensive charge foul by D. Valentine (drawn by K. Middleton)
6:24.0,,,10-15,,Turnover by D. Valentine (offensive foul)
6:24.0,,,10-15,,D. Nwaba enters the game for D. Valentine
6:08.0,J. Henson misses 2-pt shot from 8 ft,,10-15,,
6:05.0,Offensive rebound by J. Henson,,10-15,,
6:00.0,K. Middleton makes 2-pt shot from 1 ft,2,12-15,,
5:45.0,,,12-17,2,L. Markkanen makes 2-pt shot from 1 ft (assist by C. Payne)
5:37.0,,,12-17,,Violation by C. Payne (kicked ball)
5:37.0,T. Snell enters the game for K. Middleton,,12-17,,
5:22.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Parker),3,15-17,,
5:06.0,,,15-20,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Payne)
4:54.0,T. Snell makes 2-pt shot from 12 ft (assist by B. Jennings),2,17-20,,
4:42.0,,,17-20,,Shooting foul by J. Henson (drawn by C. Felicio)
4:42.0,,,17-21,1,C. Felicio makes free throw 1 of 2
4:42.0,T. Maker enters the game for J. Henson,,17-21,,
4:42.0,,,17-21,,B. Portis enters the game for L. Markkanen
4:42.0,,,17-21,,C. Felicio misses free throw 2 of 2
4:39.0,Defensive rebound by T. Maker,,17-21,,
4:28.0,T. Maker misses 2-pt shot from 2 ft (block by B. Portis),,17-21,,
4:28.0,,,17-21,,Defensive rebound by B. Portis
4:11.0,,,17-24,3,B. Portis makes 3-pt shot from 26 ft (assist by C. Felicio)
3:57.0,Turnover by T. Maker (bad pass),,17-24,,
3:44.0,,,17-24,,J. Holiday misses 2-pt shot from 20 ft
3:40.0,Defensive rebound by J. Parker,,17-24,,
3:28.0,T. Maker misses 2-pt shot from 18 ft,,17-24,,
3:25.0,,,17-24,,Defensive rebound by C. Felicio
3:16.0,,,17-26,2,B. Portis makes 2-pt shot from 1 ft
3:16.0,Violation by T. Maker (def goaltending),,17-26,,
2:52.0,T. Snell makes 3-pt shot from 26 ft (assist by J. Parker),3,20-26,,
2:34.0,,,20-28,2,J. Holiday makes 2-pt shot from 7 ft (assist by C. Felicio)
2:21.0,J. Parker misses 2-pt shot from 1 ft,,20-28,,
2:21.0,Offensive rebound by Team,,20-28,,
2:21.0,,,20-28,,Chicago full timeout
2:21.0,,,20-28,,N. Vonleh enters the game for C. Felicio
2:21.0,,,20-28,,J. Grant enters the game for C. Payne
2:16.0,J. Parker misses 2-pt shot from 1 ft,,20-28,,
2:13.0,,,20-28,,Defensive rebound by J. Holiday
1:58.0,,,20-30,2,B. Portis makes 2-pt shot from 17 ft
1:36.0,B. Jennings misses 3-pt shot from 25 ft,,20-30,,
1:36.0,,,20-30,,Defensive rebound by N. Vonleh
1:24.0,Personal foul by T. Snell (drawn by J. Holiday),,20-30,,
1:24.0,,,20-31,1,J. Holiday makes free throw 1 of 2
1:24.0,K. Middleton enters the game for J. Parker,,20-31,,
1:24.0,,,20-32,1,J. Holiday makes free throw 2 of 2
1:11.0,Shooting foul by J. Holiday (drawn by B. Jennings),,20-32,,
1:11.0,B. Jennings makes free throw 1 of 2,1,21-32,,
1:11.0,B. Jennings makes free throw 2 of 2,1,22-32,,
0:53.0,,,22-32,,B. Portis misses 2-pt shot from 3 ft (block by T. Maker)
0:53.0,,,22-32,,Offensive rebound by Team
0:53.0,,,22-32,,Turnover by J. Grant (turnover)
0:43.0,Shooting foul by N. Vonleh (drawn by T. Snell),,22-32,,
0:43.0,T. Snell makes free throw 1 of 2,1,23-32,,
0:43.0,T. Snell makes free throw 2 of 2,1,24-32,,
0:36.0,Personal foul by B. Jennings (drawn by J. Grant),,24-32,,
0:36.0,,,24-33,1,J. Grant makes free throw 1 of 2
0:36.0,,,24-34,1,J. Grant makes free throw 2 of 2
0:17.0,B. Jennings misses 3-pt shot from 26 ft,,24-34,,
0:14.0,,,24-34,,Defensive rebound by B. Portis
0:00.0,,,24-34,,J. Holiday misses 2-pt shot from 20 ft
0:00.0,,,24-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,24-34,,Turnover by N. Vonleh (bad pass)
11:35.0,K. Middleton makes 2-pt shot from 4 ft,2,26-34,,
11:26.0,Personal foul by E. Bledsoe (drawn by B. Portis),,26-34,,
11:26.0,B. Jennings enters the game for E. Bledsoe,,26-34,,
11:09.0,,,26-36,2,J. Grant makes 2-pt shot from 12 ft
10:43.0,K. Middleton makes 2-pt shot from 7 ft,2,28-36,,
10:27.0,,,28-36,,J. Grant misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by S. Muhammad,,28-36,,
10:17.0,S. Muhammad makes 2-pt shot from 1 ft,2,30-36,,
10:05.0,,,30-36,,Turnover by D. Valentine (bad pass)
10:01.0,Jump ball: N. Vonleh vs. K. Middleton (K. Middleton gains possession),,,,Jump ball: N. Vonleh vs. K. Middleton (K. Middleton gains possession)
9:53.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton),3,33-36,,
9:52.0,,,33-36,,Chicago full timeout
9:43.0,,,33-36,,Shooting foul by S. Muhammad (drawn by B. Portis)
9:43.0,,,33-37,1,B. Portis makes free throw 1 of 2
9:43.0,,,33-37,,B. Portis misses free throw 2 of 2
9:41.0,Defensive rebound by S. Muhammad,,33-37,,
9:26.0,S. Muhammad makes 2-pt shot at rim (assist by T. Maker),2,35-37,,
9:10.0,,,35-37,,D. Nwaba misses 3-pt shot from 23 ft
9:04.0,,,35-37,,Offensive rebound by N. Vonleh
9:04.0,,,35-37,,N. Vonleh misses 2-pt shot at rim
9:04.0,Defensive rebound by B. Jennings,,35-37,,
8:53.0,B. Jennings makes 2-pt shot from 4 ft (assist by S. Muhammad),2,37-37,,
8:53.0,Shooting foul by N. Vonleh (drawn by B. Jennings),,37-37,,
8:53.0,B. Jennings makes free throw 1 of 1,1,38-37,,
8:40.0,,,38-37,,Turnover by J. Grant (bad pass; steal by K. Middleton)
8:35.0,S. Muhammad misses 2-pt shot from 2 ft,,38-37,,
8:35.0,,,38-37,,Defensive rebound by Team
8:19.0,,,38-37,,B. Portis misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by K. Middleton,,38-37,,
8:02.0,T. Maker misses 2-pt shot from 6 ft,,38-37,,
8:01.0,,,38-37,,Defensive rebound by D. Valentine
7:56.0,,,38-39,2,D. Nwaba makes 2-pt shot from 2 ft (assist by D. Valentine)
7:28.0,K. Middleton misses 2-pt shot from 16 ft,,38-39,,
7:25.0,,,38-39,,Defensive rebound by N. Vonleh
7:15.0,,,38-39,,J. Grant misses 2-pt shot from 3 ft
7:15.0,,,38-39,,Offensive rebound by D. Nwaba
7:15.0,,,38-39,,Shooting foul by K. Middleton (drawn by D. Nwaba)
7:15.0,,,38-40,1,D. Nwaba makes free throw 1 of 2
7:15.0,,,38-40,,C. Payne enters the game for J. Grant
7:15.0,,,38-40,,L. Markkanen enters the game for N. Vonleh
7:15.0,J. Terry enters the game for T. Snell,,38-40,,
7:15.0,,,38-41,1,D. Nwaba makes free throw 2 of 2
7:01.0,B. Jennings misses 3-pt shot from 25 ft,,38-41,,
6:58.0,,,38-41,,Defensive rebound by L. Markkanen
6:41.0,,,38-41,,L. Markkanen misses 2-pt shot from 18 ft
6:36.0,,,38-41,,Offensive rebound by D. Nwaba
6:34.0,,,38-44,3,D. Valentine makes 3-pt shot from 25 ft (assist by D. Nwaba)
6:33.0,Milwaukee full timeout,,38-44,,
6:33.0,J. Parker enters the game for T. Maker,,38-44,,
6:33.0,J. Henson enters the game for K. Middleton,,38-44,,
6:10.0,J. Henson makes 3-pt shot from 25 ft (assist by J. Terry),3,41-44,,
5:52.0,,,41-47,3,L. Markkanen makes 3-pt shot from 23 ft (assist by D. Valentine)
5:37.0,B. Jennings makes 2-pt shot from 3 ft,2,43-47,,
5:27.0,,,43-49,2,L. Markkanen makes 2-pt shot from 3 ft
5:15.0,,,43-49,,Def 3 sec tech foul by B. Portis
5:15.0,J. Terry makes technical free throw,1,44-49,,
5:15.0,,,44-49,,C. Felicio enters the game for B. Portis
5:01.0,S. Muhammad makes 2-pt shot at rim (assist by B. Jennings),2,46-49,,
4:41.0,,,46-49,,C. Payne misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by S. Muhammad,,46-49,,
4:36.0,B. Jennings makes 3-pt shot from 25 ft (assist by S. Muhammad),3,49-49,,
4:13.0,,,49-51,2,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Felicio)
3:58.0,S. Muhammad makes 3-pt shot from 25 ft,3,52-51,,
3:37.0,,,52-51,,D. Nwaba misses 2-pt shot from 6 ft
3:35.0,,,52-51,,Offensive rebound by C. Felicio
3:33.0,,,52-51,,D. Valentine misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by J. Henson,,52-51,,
3:24.0,J. Parker makes 2-pt shot from 1 ft (assist by B. Jennings),2,54-51,,
3:24.0,,,54-51,,Chicago full timeout
3:24.0,,,54-51,,J. Holiday enters the game for D. Nwaba
3:10.0,,,54-51,,D. Valentine misses 3-pt shot from 22 ft
3:08.0,Defensive rebound by J. Terry,,54-51,,
3:02.0,B. Jennings makes 2-pt shot from 1 ft,2,56-51,,
2:53.0,,,56-51,,Shooting foul by J. Parker (drawn by L. Markkanen)
2:53.0,,,56-52,1,L. Markkanen makes free throw 1 of 2
2:53.0,,,56-53,1,L. Markkanen makes free throw 2 of 2
2:44.0,,,56-53,,Personal foul by L. Markkanen (drawn by J. Henson)
2:44.0,K. Middleton enters the game for S. Muhammad,,56-53,,
2:33.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,58-53,,
2:18.0,,,58-55,2,C. Payne makes 2-pt shot from 1 ft
2:03.0,J. Parker misses 2-pt shot from 1 ft,,58-55,,
2:01.0,,,58-55,,Defensive rebound by C. Payne
2:01.0,Personal foul by J. Parker (drawn by C. Payne),,58-55,,
2:01.0,,,58-56,1,C. Payne makes free throw 1 of 2
2:01.0,,,58-57,1,C. Payne makes free throw 2 of 2
1:51.0,Turnover by B. Jennings (lost ball; steal by C. Payne),,58-57,,
1:49.0,,,58-57,,L. Markkanen misses 2-pt shot from 6 ft (block by B. Jennings)
1:48.0,Defensive rebound by B. Jennings,,58-57,,
1:40.0,K. Middleton makes 3-pt shot from 25 ft (assist by B. Jennings),3,61-57,,
1:19.0,,,61-59,2,D. Valentine makes 2-pt shot from 3 ft
1:09.0,,,61-59,,Personal foul by C. Payne (drawn by B. Jennings)
1:03.0,Turnover by J. Terry (step out of bounds),,61-59,,
0:50.0,,,61-61,2,J. Holiday makes 2-pt shot at rim (assist by C. Payne)
0:37.0,Turnover by K. Middleton (bad pass; steal by D. Valentine),,61-61,,
0:23.0,,,61-61,,J. Holiday misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by J. Henson,,61-61,,
0:01.0,J. Parker misses 2-pt shot from 2 ft,,61-61,,
0:01.0,,,61-61,,Defensive rebound by D. Valentine
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,61-63,2,C. Payne makes 2-pt shot from 1 ft
11:32.0,K. Middleton misses 3-pt shot from 23 ft,,61-63,,
11:31.0,,,61-63,,Defensive rebound by Team
11:31.0,Loose ball foul by J. Henson (drawn by D. Valentine),,61-63,,
11:20.0,,,61-63,,C. Payne misses 3-pt shot from 24 ft
11:16.0,,,61-63,,Offensive rebound by C. Felicio
11:13.0,,,61-63,,C. Felicio misses 2-pt shot from 2 ft (block by K. Middleton)
11:13.0,,,61-63,,Offensive rebound by Team
11:09.0,,,61-63,,J. Holiday misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by E. Bledsoe,,61-63,,
10:46.0,S. Brown misses 2-pt shot from 12 ft,,61-63,,
10:43.0,,,61-63,,Defensive rebound by D. Valentine
10:26.0,,,61-65,2,D. Valentine makes 2-pt shot from 2 ft (assist by C. Payne)
10:14.0,,,61-65,,Personal foul by C. Payne (drawn by E. Bledsoe)
10:05.0,,,61-65,,Personal foul by L. Markkanen (drawn by K. Middleton)
10:00.0,E. Bledsoe misses 2-pt shot from 12 ft,,61-65,,
