time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Baynes (J. Tatum gains possession),,,,Jump ball: J. Henson vs. A. Baynes (J. Tatum gains possession)
11:46.0,J. Brown misses 2-pt shot from 20 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:25.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 12 ft (assist by T. Snell)
11:06.0,K. Allen makes 2-pt shot from 13 ft (assist by A. Baynes),2,2-2,,
11:00.0,,,2-4,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
10:40.0,J. Tatum makes 3-pt shot from 25 ft (assist by A. Horford),3,5-4,,
10:27.0,,,5-4,,Shooting foul by K. Allen (drawn by G. Antetokounmpo)
10:27.0,,,5-4,,G. Antetokounmpo misses free throw 1 of 2
10:27.0,,,5-4,,Offensive rebound by Team
10:27.0,,,5-5,1,G. Antetokounmpo makes free throw 2 of 2
10:04.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Allen),2,7-5,,
9:41.0,,,7-5,,Turnover by G. Antetokounmpo (lost ball; steal by J. Brown)
9:36.0,J. Brown makes 2-pt shot at rim,2,9-5,,
9:14.0,,,9-5,,T. Snell misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by K. Allen,,9-5,,
9:04.0,Shooting foul by T. Snell (drawn by J. Brown),,9-5,,
9:04.0,J. Brown makes free throw 1 of 2,1,10-5,,
9:04.0,J. Brown makes free throw 2 of 2,1,11-5,,
8:53.0,,,11-7,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:28.0,A. Horford misses 2-pt shot from 12 ft,,11-7,,
8:26.0,,,11-7,,Defensive rebound by J. Henson
8:14.0,,,11-7,,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford)
7:57.0,A. Horford makes 2-pt shot from 8 ft (assist by K. Allen),2,13-7,,
7:57.0,Shooting foul by G. Antetokounmpo (drawn by A. Horford),,13-7,,
7:57.0,A. Horford makes free throw 1 of 1,1,14-7,,
7:45.0,,,14-9,2,K. Middleton makes 2-pt shot from 9 ft (assist by E. Bledsoe)
7:29.0,A. Baynes makes 2-pt shot at rim (assist by J. Brown),2,16-9,,
7:12.0,,,16-9,,Turnover by E. Bledsoe (bad pass; steal by J. Tatum)
7:10.0,Shooting foul by E. Bledsoe (drawn by J. Tatum),,16-9,,
7:10.0,J. Tatum makes free throw 1 of 2,1,17-9,,
7:10.0,J. Tatum makes free throw 2 of 2,1,18-9,,
7:10.0,,,18-9,,Milwaukee full timeout
7:10.0,,,18-9,,S. Brown enters the game for T. Snell
6:51.0,,,18-11,2,K. Middleton makes 2-pt shot from 16 ft (assist by E. Bledsoe)
6:32.0,Turnover by J. Tatum (bad pass),,18-11,,
6:14.0,,,18-13,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
5:58.0,J. Tatum makes 3-pt shot from 26 ft (assist by A. Baynes),3,21-13,,
5:43.0,,,21-15,2,G. Antetokounmpo makes 2-pt shot from 4 ft
5:26.0,J. Brown misses 2-pt shot from 2 ft,,21-15,,
5:22.0,Offensive rebound by J. Brown,,21-15,,
5:22.0,J. Brown misses 2-pt shot at rim,,21-15,,
5:21.0,,,21-15,,Defensive rebound by J. Henson
5:19.0,,,21-15,,S. Brown misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by A. Horford,,21-15,,
5:08.0,K. Allen misses 3-pt shot from 25 ft,,21-15,,
5:04.0,,,21-15,,Defensive rebound by K. Middleton
4:45.0,,,21-17,2,E. Bledsoe makes 2-pt shot at rim
