time,Denver,pts.away,score,pts.home,Brooklyn
2:41.0,,,25-27,,S. Kilpatrick enters the game for C. LeVert
2:32.0,N. Jokic misses 2-pt shot from 21 ft,,25-27,,
2:29.0,,,25-27,,Defensive rebound by S. Kilpatrick
2:20.0,,,25-27,,J. Allen misses 2-pt shot from 3 ft
2:15.0,,,25-27,,Offensive rebound by J. Allen
2:15.0,,,25-29,2,J. Allen makes 2-pt shot at rim
2:10.0,Turnover by N. Jokic (bad pass; steal by T. Booker),,25-29,,
2:10.0,Personal foul by N. Jokic (drawn by T. Booker),,25-29,,
2:10.0,P. Millsap enters the game for N. Jokic,,25-29,,
2:10.0,,,25-29,,T. Booker misses free throw 1 of 2
2:10.0,,,25-29,,Offensive rebound by Team
2:10.0,,,25-29,,T. Booker misses free throw 2 of 2
2:08.0,Defensive rebound by M. Plumlee,,25-29,,
2:01.0,E. Mudiay makes 2-pt shot from 14 ft,2,27-29,,
1:45.0,,,27-31,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by J. Harris)
1:35.0,,,27-31,,Personal foul by J. Allen (drawn by M. Plumlee)
1:35.0,,,27-31,,T. Mozgov enters the game for J. Allen
1:30.0,E. Mudiay misses 2-pt shot from 6 ft (block by T. Mozgov),,27-31,,
1:27.0,,,27-31,,Defensive rebound by T. Mozgov
1:24.0,,,27-34,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
1:08.0,W. Chandler misses 3-pt shot from 25 ft,,27-34,,
1:04.0,,,27-34,,Defensive rebound by T. Booker
0:58.0,,,27-34,,Turnover by T. Mozgov (traveling)
0:47.0,M. Plumlee makes 2-pt shot from 5 ft,2,29-34,,
0:29.0,,,29-36,2,T. Booker makes 2-pt shot from 6 ft (assist by S. Dinwiddie)
0:07.0,M. Plumlee misses 2-pt shot from 8 ft,,29-36,,
0:05.0,,,29-36,,Defensive rebound by S. Kilpatrick
0:00.0,,,29-36,,S. Kilpatrick misses 3-pt shot from 27 ft
0:00.0,,,29-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,M. Plumlee makes 2-pt shot from 15 ft (assist by E. Mudiay),2,31-36,,
11:13.0,,,31-36,,S. Dinwiddie misses 2-pt shot from 20 ft
11:11.0,,,31-36,,Offensive rebound by T. Booker
11:10.0,,,31-36,,T. Booker misses 2-pt shot from 3 ft
11:10.0,,,31-36,,Offensive rebound by T. Mozgov
11:05.0,,,31-38,2,T. Mozgov makes 2-pt shot at rim
10:56.0,M. Beasley misses 2-pt shot from 14 ft,,31-38,,
10:52.0,,,31-38,,Defensive rebound by T. Booker
10:36.0,,,31-41,3,J. Harris makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
10:17.0,P. Millsap misses 2-pt shot from 10 ft,,31-41,,
10:15.0,,,31-41,,Defensive rebound by S. Kilpatrick
10:05.0,,,31-41,,Shooting foul by E. Mudiay (drawn by S. Dinwiddie)
10:05.0,,,31-42,1,S. Dinwiddie makes free throw 1 of 3
10:05.0,,,31-43,1,S. Dinwiddie makes free throw 2 of 3
10:05.0,,,31-43,,S. Dinwiddie misses free throw 3 of 3
10:03.0,Defensive rebound by M. Plumlee,,31-43,,
9:53.0,W. Barton misses 2-pt shot from 7 ft,,31-43,,
9:50.0,,,31-43,,Defensive rebound by S. Kilpatrick
9:50.0,,,31-43,,Shooting foul by M. Beasley (drawn by S. Kilpatrick)
9:50.0,,,31-44,1,S. Kilpatrick makes free throw 1 of 2
9:50.0,,,31-45,1,S. Kilpatrick makes free throw 2 of 2
9:38.0,E. Mudiay makes 3-pt shot from 22 ft (assist by P. Millsap),3,34-45,,
9:15.0,,,34-45,,T. Mozgov misses 3-pt shot from 23 ft
9:09.0,,,34-45,,Offensive rebound by T. Booker
9:09.0,,,34-45,,T. Booker misses 2-pt shot at rim
9:09.0,Defensive rebound by P. Millsap,,34-45,,
9:02.0,E. Mudiay makes 2-pt shot from 19 ft,2,36-45,,
8:47.0,,,36-45,,T. Booker misses 2-pt shot from 9 ft
8:45.0,Defensive rebound by E. Mudiay,,36-45,,
8:39.0,E. Mudiay makes 3-pt shot from 26 ft,3,39-45,,
8:38.0,,,39-45,,Brooklyn full timeout
8:38.0,,,39-45,,C. LeVert enters the game for S. Kilpatrick
8:27.0,,,39-45,,Turnover by T. Booker (bad pass)
8:17.0,E. Mudiay misses 3-pt shot from 25 ft,,39-45,,
8:14.0,,,39-45,,Defensive rebound by C. LeVert
7:55.0,,,39-48,3,T. Mozgov makes 3-pt shot from 23 ft (assist by C. LeVert)
7:36.0,P. Millsap makes 2-pt shot from 7 ft,2,41-48,,
7:19.0,,,41-48,,Offensive charge foul by T. Booker (drawn by M. Beasley)
7:19.0,,,41-48,,Turnover by T. Booker (offensive foul)
7:19.0,,,41-48,,A. Crabbe enters the game for J. Harris
7:19.0,G. Harris enters the game for M. Beasley,,41-48,,
7:05.0,,,41-48,,Personal foul by T. Booker (drawn by P. Millsap)
7:05.0,,,41-48,,R. Hollis-Jefferson enters the game for T. Booker
6:53.0,P. Millsap misses 2-pt shot from 7 ft,,41-48,,
6:51.0,,,41-48,,Defensive rebound by C. LeVert
6:40.0,,,41-48,,C. LeVert misses 2-pt shot from 4 ft (block by P. Millsap)
6:24.0,,,41-48,,Offensive rebound by R. Hollis-Jefferson
6:24.0,,,41-50,2,R. Hollis-Jefferson makes 2-pt shot at rim
6:14.0,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Mudiay),2,43-50,,
5:56.0,,,43-50,,A. Crabbe misses 2-pt shot from 8 ft
5:52.0,Defensive rebound by M. Plumlee,,43-50,,
5:48.0,E. Mudiay makes 2-pt shot from 7 ft,2,45-50,,
5:40.0,Personal foul by M. Plumlee (drawn by T. Mozgov),,45-50,,
5:40.0,,,45-50,,J. Allen enters the game for S. Dinwiddie
5:40.0,,,45-50,,D. Russell enters the game for T. Mozgov
5:40.0,N. Jokic enters the game for P. Millsap,,45-50,,
5:40.0,W. Chandler enters the game for W. Barton,,45-50,,
5:29.0,,,45-50,,Shooting foul by M. Plumlee (drawn by R. Hollis-Jefferson)
5:29.0,,,45-51,1,R. Hollis-Jefferson makes free throw 1 of 2
5:29.0,,,45-52,1,R. Hollis-Jefferson makes free throw 2 of 2
5:15.0,,,45-52,,Violation by C. LeVert (kicked ball)
5:06.0,E. Mudiay makes 2-pt shot from 14 ft,2,47-52,,
4:52.0,,,47-52,,Shooting foul by E. Mudiay (drawn by D. Russell)
4:52.0,,,47-52,,D. Russell misses free throw 1 of 2
4:52.0,,,47-52,,Offensive rebound by Team
4:52.0,,,47-53,1,D. Russell makes free throw 2 of 2
4:37.0,Shooting foul by D. Russell (drawn by E. Mudiay),,47-53,,
4:37.0,E. Mudiay misses free throw 1 of 2,,47-53,,
4:37.0,Offensive rebound by Team,,47-53,,
4:37.0,,,47-53,,J. Harris enters the game for C. LeVert
4:37.0,E. Mudiay makes free throw 2 of 2,1,48-53,,
