time,Denver,pts.away,score,pts.home,Brooklyn
8:46.0,,,106-95,,D. Russell misses 2-pt shot from 8 ft
8:43.0,Defensive rebound by P. Millsap,,106-95,,
8:26.0,G. Harris makes 3-pt shot from 23 ft (assist by P. Millsap),3,109-95,,
8:11.0,,,109-97,2,T. Booker makes 2-pt shot from 9 ft
8:05.0,Shooting foul by T. Booker (drawn by P. Millsap),,109-97,,
8:05.0,P. Millsap makes free throw 1 of 2,1,110-97,,
8:05.0,P. Millsap makes free throw 2 of 2,1,111-97,,
7:52.0,,,111-97,,D. Russell misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by N. Jokic,,111-97,,
7:47.0,Shooting foul by A. Crabbe (drawn by J. Murray),,111-97,,
7:47.0,,,111-97,,Brooklyn full timeout
7:47.0,,,111-97,,S. Dinwiddie enters the game for D. Russell
7:47.0,J. Murray makes free throw 1 of 2,1,112-97,,
7:47.0,J. Murray makes free throw 2 of 2,1,113-97,,
7:29.0,,,113-99,2,T. Booker makes 2-pt shot from 10 ft (assist by C. LeVert)
7:02.0,J. Murray misses 3-pt shot from 26 ft,,113-99,,
6:58.0,,,113-99,,Defensive rebound by A. Crabbe
6:56.0,,,113-99,,Turnover by T. Booker (step out of bounds)
6:46.0,N. Jokic makes 2-pt shot from 21 ft (assist by J. Murray),2,115-99,,
6:27.0,,,115-99,,T. Booker misses 2-pt shot from 8 ft
6:25.0,Defensive rebound by N. Jokic,,115-99,,
6:12.0,Turnover by J. Murray (bad pass; steal by A. Crabbe),,115-99,,
6:08.0,,,115-101,2,A. Crabbe makes 2-pt shot from 1 ft
5:59.0,J. Murray makes 2-pt shot from 16 ft,2,117-101,,
5:53.0,,,117-101,,Shooting foul by J. Murray (drawn by S. Dinwiddie)
5:53.0,,,117-102,1,S. Dinwiddie makes free throw 1 of 2
5:53.0,,,117-102,,J. Allen enters the game for C. LeVert
5:53.0,,,117-102,,D. Russell enters the game for T. Booker
5:53.0,,,117-103,1,S. Dinwiddie makes free throw 2 of 2
5:33.0,Turnover by W. Chandler (bad pass; steal by S. Dinwiddie),,117-103,,
5:33.0,Personal foul by G. Harris (drawn by S. Dinwiddie),,117-103,,
5:33.0,,,117-104,1,S. Dinwiddie makes free throw 1 of 2
5:33.0,,,117-105,1,S. Dinwiddie makes free throw 2 of 2
5:15.0,P. Millsap makes 2-pt shot from 10 ft,2,119-105,,
5:07.0,,,119-105,,Turnover by D. Russell (lost ball; steal by N. Jokic)
4:49.0,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic),2,121-105,,
4:49.0,,,121-105,,Brooklyn full timeout
4:49.0,,,121-105,,J. Wiley enters the game for S. Dinwiddie
4:49.0,,,121-105,,J. Harris enters the game for R. Hollis-Jefferson
4:49.0,,,121-105,,S. Kilpatrick enters the game for A. Crabbe
4:49.0,,,121-105,,T. Zeller enters the game for J. Allen
4:49.0,,,121-105,,I. Whitehead enters the game for D. Russell
4:35.0,,,121-107,2,T. Zeller makes 2-pt shot from 10 ft (assist by I. Whitehead)
4:18.0,P. Millsap misses 2-pt shot from 6 ft,,121-107,,
4:16.0,,,121-107,,Defensive rebound by T. Zeller
4:04.0,,,121-107,,J. Harris misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by W. Chandler,,121-107,,
3:40.0,G. Harris misses 2-pt shot from 4 ft,,121-107,,
3:35.0,,,121-107,,Defensive rebound by J. Wiley
3:31.0,,,121-107,,I. Whitehead misses 2-pt shot from 4 ft
3:28.0,Defensive rebound by P. Millsap,,121-107,,
3:18.0,J. Murray makes 2-pt shot from 1 ft,2,123-107,,
3:18.0,,,123-107,,Violation by J. Harris (def goaltending)
2:53.0,,,123-107,,T. Zeller misses 2-pt shot from 2 ft (block by N. Jokic)
2:49.0,Defensive rebound by N. Jokic,,123-107,,
2:47.0,G. Harris misses 3-pt shot from 26 ft,,123-107,,
2:42.0,,,123-107,,Defensive rebound by S. Kilpatrick
2:35.0,,,123-107,,S. Kilpatrick misses 2-pt shot from 16 ft
2:32.0,Defensive rebound by N. Jokic,,123-107,,
2:26.0,Shooting foul by J. Wiley (drawn by P. Millsap),,123-107,,
2:26.0,P. Millsap misses free throw 1 of 2,,123-107,,
2:26.0,Offensive rebound by Team,,123-107,,
2:26.0,M. Beasley enters the game for G. Harris,,123-107,,
2:26.0,E. Mudiay enters the game for W. Chandler,,123-107,,
2:26.0,T. Lyles enters the game for N. Jokic,,123-107,,
2:26.0,P. Millsap makes free throw 2 of 2,1,124-107,,
2:19.0,,,124-107,,I. Whitehead misses 2-pt shot from 4 ft
2:17.0,,,124-107,,Offensive rebound by T. Zeller
2:15.0,,,124-107,,T. Zeller misses 2-pt shot from 3 ft
2:15.0,Defensive rebound by T. Lyles,,124-107,,
1:57.0,E. Mudiay misses 2-pt shot from 10 ft,,124-107,,
1:54.0,,,124-107,,Defensive rebound by S. Kilpatrick
1:52.0,Personal foul by E. Mudiay (drawn by S. Kilpatrick),,124-107,,
1:52.0,R. Jefferson enters the game for P. Millsap,,124-107,,
1:52.0,,,124-108,1,S. Kilpatrick makes free throw 1 of 2
1:52.0,,,124-109,1,S. Kilpatrick makes free throw 2 of 2
1:31.0,J. Murray misses 2-pt shot from 20 ft,,124-109,,
1:27.0,,,124-109,,Defensive rebound by S. Kilpatrick
1:20.0,,,124-109,,S. Kilpatrick misses 2-pt shot from 5 ft (block by T. Lyles)
1:20.0,,,124-109,,Offensive rebound by Team
1:14.0,,,124-109,,J. Wiley misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by E. Mudiay,,124-109,,
0:52.0,E. Mudiay misses 2-pt shot from 11 ft,,124-109,,
0:49.0,,,124-109,,Defensive rebound by J. Wiley
0:42.0,,,124-109,,Shooting foul by T. Lyles (drawn by T. Zeller)
0:42.0,,,124-109,,T. Zeller misses free throw 1 of 2
0:42.0,,,124-109,,Offensive rebound by Team
0:42.0,,,124-109,,T. Zeller misses free throw 2 of 2
0:40.0,Defensive rebound by R. Jefferson,,124-109,,
0:24.0,M. Beasley misses 2-pt shot from 6 ft,,124-109,,
0:22.0,,,124-109,,Defensive rebound by S. Kilpatrick
0:06.0,,,124-109,,J. Harris misses 3-pt shot from 23 ft
0:05.0,,,124-109,,Offensive rebound by T. Zeller
0:05.0,,,124-111,2,T. Zeller makes 2-pt shot at rim
