time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Valanciunas (O. Anunoby gains possession),,,,Jump ball: K. Love vs. J. Valanciunas (O. Anunoby gains possession)
11:39.0,Offensive charge foul by F. VanVleet (drawn by K. Korver),,0-0,,
11:39.0,Turnover by F. VanVleet (offensive foul),,0-0,,
11:28.0,Personal foul by J. Valanciunas (drawn by K. Love),,0-0,,
11:13.0,,,0-0,,K. Korver misses 3-pt shot from 23 ft
11:10.0,Defensive rebound by J. Valanciunas,,0-0,,
11:06.0,K. Lowry misses 3-pt shot from 25 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by K. Korver
10:51.0,,,0-3,3,G. Hill makes 3-pt shot from 22 ft (assist by K. Korver)
10:35.0,O. Anunoby makes 2-pt shot from 8 ft (assist by K. Lowry),2,2-3,,
10:07.0,,,2-3,,G. Hill misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by J. Valanciunas,,2-3,,
10:03.0,Turnover by J. Valanciunas (bad pass; steal by J. Smith),,2-3,,
9:50.0,,,2-3,,Turnover by G. Hill (lost ball; steal by D. DeRozan)
9:44.0,Shooting foul by J. Smith (drawn by O. Anunoby),,2-3,,
9:44.0,O. Anunoby misses free throw 1 of 2,,2-3,,
9:44.0,Offensive rebound by Team,,2-3,,
9:44.0,O. Anunoby misses free throw 2 of 2,,2-3,,
9:40.0,,,2-3,,Defensive rebound by K. Love
9:28.0,,,2-3,,K. Love misses 2-pt shot at rim
9:26.0,Defensive rebound by O. Anunoby,,2-3,,
9:19.0,D. DeRozan misses 2-pt shot from 2 ft,,2-3,,
9:14.0,Offensive rebound by J. Valanciunas,,2-3,,
9:14.0,J. Valanciunas misses 2-pt shot at rim,,2-3,,
9:13.0,,,2-3,,Defensive rebound by K. Love
9:03.0,,,2-5,2,L. James makes 2-pt shot at rim (assist by K. Love)
8:41.0,J. Valanciunas misses 2-pt shot from 9 ft,,2-5,,
8:38.0,,,2-5,,Defensive rebound by K. Korver
8:33.0,,,2-5,,Shooting foul by O. Anunoby (drawn by L. James)
8:33.0,,,2-6,1,L. James makes free throw 1 of 2
8:33.0,,,2-7,1,L. James makes free throw 2 of 2
8:21.0,K. Lowry makes 2-pt shot from 2 ft,2,4-7,,
8:14.0,,,4-10,3,K. Korver makes 3-pt shot from 23 ft (assist by G. Hill)
8:06.0,Toronto full timeout,,4-10,,
7:53.0,F. VanVleet misses 3-pt shot from 27 ft,,4-10,,
7:48.0,,,4-10,,Defensive rebound by K. Love
7:38.0,,,4-10,,L. James misses 2-pt shot from 13 ft
