time,Golden State,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. Z. Pachulia,,,,Jump ball: A. Horford vs. Z. Pachulia
11:45.0,,,0-2,2,A. Horford makes 2-pt shot from 7 ft (assist by K. Irving)
11:31.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,2-2,,
11:12.0,,,2-2,,J. Tatum misses 2-pt shot from 5 ft (block by D. Green)
11:12.0,,,2-2,,Offensive rebound by Team
11:06.0,,,2-4,2,K. Irving makes 2-pt shot at rim
10:57.0,K. Durant misses 3-pt shot from 28 ft,,2-4,,
10:54.0,,,2-4,,Defensive rebound by M. Morris
10:50.0,,,2-4,,K. Irving misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by D. Green,,2-4,,
10:38.0,D. Green misses 2-pt shot from 3 ft,,2-4,,
10:36.0,,,2-4,,Defensive rebound by J. Brown
10:30.0,,,2-4,,J. Brown misses 2-pt shot from 2 ft (block by K. Thompson)
10:26.0,,,2-4,,Offensive rebound by J. Brown
10:25.0,,,2-4,,J. Brown misses 2-pt shot at rim
10:25.0,Defensive rebound by K. Durant,,2-4,,
10:20.0,K. Durant makes 2-pt shot at rim,2,4-4,,
9:58.0,,,4-6,2,M. Morris makes 2-pt shot from 18 ft
9:45.0,K. Durant misses 3-pt shot from 27 ft,,4-6,,
9:42.0,,,4-6,,Defensive rebound by M. Morris
9:30.0,,,4-6,,J. Brown misses 3-pt shot from 22 ft
9:27.0,Defensive rebound by Team,,4-6,,
9:18.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,6-6,,
8:49.0,,,6-6,,M. Morris misses 2-pt shot from 18 ft
8:47.0,Defensive rebound by K. Thompson,,6-6,,
8:42.0,K. Thompson makes 3-pt shot from 26 ft,3,9-6,,
8:40.0,,,9-6,,Boston full timeout
8:16.0,,,9-6,,J. Brown misses 2-pt shot from 21 ft
8:10.0,Defensive rebound by Z. Pachulia,,9-6,,
8:04.0,Shooting foul by M. Morris (drawn by S. Curry),,9-6,,
8:04.0,S. Curry makes free throw 1 of 2,1,10-6,,
8:04.0,S. Curry misses free throw 2 of 2,,10-6,,
8:01.0,Offensive rebound by S. Curry,,10-6,,
8:00.0,S. Curry makes 3-pt shot from 26 ft,3,13-6,,
7:47.0,,,13-6,,K. Irving misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by K. Thompson,,13-6,,
7:39.0,Shooting foul by K. Irving (drawn by K. Durant),,13-6,,
7:39.0,K. Durant makes free throw 1 of 2,1,14-6,,
7:39.0,,,14-6,,M. Smart enters the game for J. Tatum
7:39.0,K. Durant makes free throw 2 of 2,1,15-6,,
7:27.0,,,15-8,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
7:12.0,K. Durant misses 2-pt shot from 22 ft,,15-8,,
7:09.0,Offensive rebound by S. Curry,,15-8,,
7:06.0,Turnover by D. Green (bad pass),,15-8,,
6:51.0,,,15-8,,Turnover by A. Horford (bad pass; steal by S. Curry)
6:46.0,S. Curry misses 3-pt shot from 26 ft,,15-8,,
6:42.0,,,15-8,,Defensive rebound by M. Smart
6:36.0,,,15-8,,Turnover by A. Horford (bad pass; steal by K. Durant)
6:31.0,K. Thompson misses 3-pt shot from 26 ft,,15-8,,
6:31.0,,,15-8,,Defensive rebound by Team
6:24.0,Jump ball: A. Horford vs. Z. Pachulia (K. Irving gains possession),,,,Jump ball: A. Horford vs. Z. Pachulia (K. Irving gains possession)
