time,Cleveland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. K. Love (J. Smith gains possession),,,,Jump ball: L. Aldridge vs. K. Love (J. Smith gains possession)
11:50.0,J. Crowder makes 3-pt shot from 22 ft (assist by J. Smith),3,3-0,,
11:46.0,,,3-0,,San Antonio full timeout
11:35.0,,,3-0,,L. Aldridge misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by J. Crowder,,3-0,,
11:22.0,L. James misses 2-pt shot from 11 ft,,3-0,,
11:20.0,,,3-0,,Defensive rebound by K. Anderson
11:03.0,,,3-0,,D. Bertans misses 3-pt shot from 25 ft
10:55.0,,,3-0,,Offensive rebound by D. Murray
10:55.0,,,3-0,,D. Murray misses 2-pt shot at rim
10:54.0,Defensive rebound by K. Love,,3-0,,
10:43.0,L. James misses 2-pt shot from 14 ft,,3-0,,
10:40.0,,,3-0,,Defensive rebound by K. Anderson
10:20.0,,,3-2,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Murray)
9:58.0,J. Crowder makes 3-pt shot from 24 ft (assist by L. James),3,6-2,,
9:35.0,,,6-4,2,D. Bertans makes 2-pt shot at rim (assist by K. Anderson)
9:20.0,K. Love misses 2-pt shot from 17 ft,,6-4,,
9:17.0,,,6-4,,Defensive rebound by D. Murray
9:06.0,,,6-4,,Turnover by D. Murray (out of bounds lost ball)
8:56.0,Turnover by I. Thomas (bad pass; steal by D. Murray),,6-4,,
8:33.0,,,6-6,2,L. Aldridge makes 2-pt shot from 10 ft
8:21.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,8-6,,
8:21.0,Shooting foul by D. Green (drawn by K. Love),,8-6,,
8:21.0,K. Love makes free throw 1 of 1,1,9-6,,
8:17.0,,,9-6,,Turnover by Team (turnover)
8:17.0,K. Love makes technical free throw,1,10-6,,
8:17.0,,,10-6,,B. Forbes enters the game for D. Green
8:04.0,J. Crowder misses 3-pt shot from 24 ft,,10-6,,
8:02.0,,,10-6,,Defensive rebound by K. Anderson
7:54.0,,,10-6,,B. Forbes misses 3-pt shot from 25 ft (block by J. Smith)
7:50.0,Defensive rebound by K. Love,,10-6,,
7:47.0,I. Thomas misses 3-pt shot from 25 ft,,10-6,,
7:47.0,,,10-6,,Defensive rebound by K. Anderson
7:36.0,,,10-8,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray)
7:19.0,L. James makes 2-pt shot from 1 ft,2,12-8,,
7:04.0,,,12-8,,Shooting foul by K. Love (drawn by L. Aldridge)
7:04.0,,,12-9,1,L. Aldridge makes free throw 1 of 2
7:04.0,,,12-10,1,L. Aldridge makes free throw 2 of 2
6:52.0,,,12-10,,Personal foul by D. Murray (drawn by L. James)
