time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. M. Plumlee (D. Schroder gains possession),,,,Jump ball: K. Porzingis vs. M. Plumlee (D. Schroder gains possession)
11:42.0,T. Waller-Prince makes 2-pt shot from 3 ft,2,2-0,,
11:23.0,,,2-0,,E. Kanter misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by M. Plumlee,,2-0,,
11:09.0,,,2-0,,Personal foul by E. Kanter (drawn by M. Plumlee)
11:03.0,M. Plumlee makes 2-pt shot from 1 ft (assist by K. Bazemore),2,4-0,,
10:56.0,,,4-2,2,C. Lee makes 2-pt shot from 2 ft
10:38.0,E. Ilyasova misses 2-pt shot from 4 ft (block by K. Porzingis),,4-2,,
10:35.0,Offensive rebound by E. Ilyasova,,4-2,,
10:34.0,D. Schroder misses 3-pt shot from 24 ft,,4-2,,
10:31.0,,,4-2,,Defensive rebound by K. Porzingis
10:16.0,,,4-2,,Turnover by K. Porzingis (lost ball; steal by E. Ilyasova)
10:12.0,K. Bazemore makes 2-pt shot from 19 ft (assist by T. Waller-Prince),2,6-2,,
9:55.0,,,6-4,2,J. Jack makes 2-pt shot from 20 ft
9:39.0,E. Ilyasova makes 2-pt shot at rim (assist by M. Plumlee),2,8-4,,
9:26.0,,,8-6,2,J. Jack makes 2-pt shot from 19 ft
9:07.0,,,8-6,,Personal foul by L. Thomas (drawn by T. Waller-Prince)
9:00.0,D. Schroder makes 2-pt shot from 1 ft,2,10-6,,
8:44.0,,,10-8,2,E. Kanter makes 2-pt shot from 5 ft
8:27.0,E. Ilyasova misses 3-pt shot from 25 ft,,10-8,,
8:22.0,,,10-8,,Defensive rebound by E. Kanter
8:21.0,,,10-8,,Turnover by E. Kanter (out of bounds lost ball)
8:02.0,T. Waller-Prince misses 2-pt shot from 2 ft,,10-8,,
8:00.0,,,10-8,,Defensive rebound by K. Porzingis
7:54.0,,,10-8,,C. Lee misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by Team,,10-8,,
7:54.0,,,10-8,,Loose ball foul by L. Thomas (drawn by E. Ilyasova)
7:54.0,,,10-8,,D. McDermott enters the game for L. Thomas
7:54.0,T. Cavanaugh enters the game for M. Plumlee,,10-8,,
7:40.0,D. Schroder makes 2-pt shot from 20 ft,2,12-8,,
7:22.0,,,12-8,,Offensive foul by J. Jack (drawn by E. Ilyasova)
7:22.0,,,12-8,,Turnover by J. Jack (offensive foul)
7:06.0,T. Cavanaugh misses 2-pt shot from 3 ft,,12-8,,
7:02.0,,,12-8,,Defensive rebound by E. Kanter
6:59.0,,,12-10,2,J. Jack makes 2-pt shot from 1 ft
6:59.0,,,12-10,,Shooting foul by D. Schroder (drawn by J. Jack)
6:59.0,,,12-10,,New York full timeout
6:59.0,,,12-11,1,J. Jack makes free throw 1 of 1
6:46.0,T. Waller-Prince makes 2-pt shot from 12 ft,2,14-11,,
6:28.0,,,14-11,,E. Kanter misses 2-pt shot from 17 ft
6:26.0,Defensive rebound by T. Waller-Prince,,14-11,,
6:14.0,Turnover by D. Schroder (bad pass; steal by E. Kanter),,14-11,,
6:06.0,,,14-13,2,K. Porzingis makes 2-pt shot from 8 ft (assist by E. Kanter)
6:06.0,,,14-13,,Shooting foul by D. Schroder (drawn by K. Porzingis)
6:06.0,,,14-13,,R. Baker enters the game for C. Lee
6:06.0,D. Bembry enters the game for K. Bazemore,,14-13,,
6:06.0,I. Taylor enters the game for D. Schroder,,14-13,,
6:06.0,,,14-13,,K. Porzingis misses free throw 1 of 1
6:03.0,Defensive rebound by T. Cavanaugh,,14-13,,
5:46.0,I. Taylor misses 3-pt shot from 26 ft,,14-13,,
5:43.0,,,14-13,,Defensive rebound by K. Porzingis
5:25.0,,,14-13,,Turnover by R. Baker (step out of bounds)
5:25.0,,,14-13,,F. Ntilikina enters the game for J. Jack
5:25.0,L. Babbitt enters the game for E. Ilyasova,,14-13,,
5:01.0,Turnover by Team (shot clock),,14-13,,
4:48.0,,,14-13,,K. Porzingis misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by L. Babbitt,,14-13,,
4:38.0,T. Cavanaugh makes 3-pt shot from 26 ft (assist by I. Taylor),3,17-13,,
4:28.0,,,17-13,,D. McDermott misses 2-pt shot from 20 ft
4:25.0,Defensive rebound by T. Cavanaugh,,17-13,,
4:19.0,T. Waller-Prince misses 3-pt shot from 25 ft,,17-13,,
4:16.0,,,17-13,,Defensive rebound by K. Porzingis
4:09.0,,,17-15,2,R. Baker makes 2-pt shot from 22 ft (assist by K. Porzingis)
3:48.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,19-15,,
3:27.0,,,19-17,2,E. Kanter makes 2-pt shot from 6 ft
3:19.0,Turnover by T. Waller-Prince (bad pass; steal by K. Porzingis),,19-17,,
3:14.0,Personal foul by T. Cavanaugh (drawn by K. Porzingis),,19-17,,
3:14.0,,,19-17,,K. O'Quinn enters the game for E. Kanter
3:14.0,M. Belinelli enters the game for T. Waller-Prince,,19-17,,
3:08.0,,,19-17,,K. Porzingis misses 2-pt shot from 2 ft
3:08.0,Defensive rebound by L. Babbitt,,19-17,,
2:47.0,Turnover by D. Bembry (lost ball; steal by R. Baker),,19-17,,
2:39.0,,,19-19,2,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn)
2:39.0,Atlanta full timeout,,19-19,,
2:18.0,L. Babbitt makes 2-pt shot from 13 ft,2,21-19,,
2:02.0,,,21-19,,F. Ntilikina misses 2-pt shot from 19 ft
1:59.0,Defensive rebound by T. Cavanaugh,,21-19,,
1:51.0,M. Belinelli misses 3-pt shot from 26 ft,,21-19,,
1:48.0,,,21-19,,Defensive rebound by K. Porzingis
1:33.0,,,21-21,2,K. Porzingis makes 2-pt shot from 12 ft
1:18.0,M. Belinelli misses 3-pt shot from 24 ft,,21-21,,
1:16.0,,,21-21,,Defensive rebound by D. McDermott
1:07.0,,,21-24,3,K. Porzingis makes 3-pt shot from 24 ft (assist by F. Ntilikina)
0:43.0,T. Cavanaugh misses 3-pt shot from 26 ft,,21-24,,
0:40.0,,,21-24,,Defensive rebound by K. Porzingis
0:34.0,,,21-24,,K. Porzingis misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by Team,,21-24,,
0:32.0,M. Plumlee enters the game for T. Cavanaugh,,21-24,,
0:21.0,I. Taylor misses 2-pt shot at rim,,21-24,,
0:16.0,Offensive rebound by I. Taylor,,21-24,,
