time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession)
11:45.0,,,0-0,,Personal foul by T. Daniels (drawn by K. Thompson)
11:38.0,,,0-0,,Personal foul by T. Daniels (drawn by D. Green)
11:36.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Bender
11:19.0,,,0-0,,Shooting foul by Z. Pachulia (drawn by A. Len)
11:19.0,,,0-1,1,A. Len makes free throw 1 of 2
11:19.0,,,0-2,1,A. Len makes free throw 2 of 2
11:09.0,Z. Pachulia makes 2-pt shot from 8 ft (assist by D. Green),2,2-2,,
10:56.0,,,2-5,3,T. Daniels makes 3-pt shot from 27 ft (assist by T. Ulis)
10:37.0,K. Thompson makes 3-pt shot from 27 ft (assist by Q. Cook),3,5-5,,
10:27.0,,,5-5,,T. Ulis misses 2-pt shot from 9 ft
10:22.0,,,5-5,,Offensive rebound by A. Len
10:22.0,,,5-7,2,A. Len makes 2-pt shot at rim
10:19.0,Q. Cook makes 3-pt shot from 27 ft (assist by D. Green),3,8-7,,
9:58.0,,,8-9,2,D. House makes 2-pt shot from 2 ft
9:48.0,K. Thompson makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,10-9,,
9:26.0,,,10-9,,D. Bender misses 3-pt shot from 29 ft
9:24.0,Defensive rebound by Team,,10-9,,
9:20.0,K. Durant misses 3-pt shot from 24 ft,,10-9,,
9:17.0,,,10-9,,Defensive rebound by T. Daniels
9:11.0,,,10-9,,T. Ulis misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by Z. Pachulia,,10-9,,
9:01.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,12-9,,
8:38.0,,,12-9,,A. Len misses 2-pt shot from 14 ft (block by Z. Pachulia)
8:37.0,,,12-9,,Offensive rebound by Team
8:35.0,,,12-9,,D. House misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by K. Thompson,,12-9,,
8:22.0,K. Thompson makes 2-pt shot from 13 ft,2,14-9,,
8:13.0,,,14-9,,A. Len misses 2-pt shot from 2 ft
8:08.0,,,14-9,,Offensive rebound by A. Len
8:08.0,,,14-9,,A. Len misses 2-pt shot at rim
8:08.0,Defensive rebound by D. Green,,14-9,,
8:06.0,Turnover by D. Green (bad pass),,14-9,,
7:58.0,,,14-9,,T. Daniels misses 3-pt shot from 27 ft
7:55.0,Defensive rebound by Z. Pachulia,,14-9,,
7:52.0,Turnover by D. Green (bad pass; steal by T. Daniels),,14-9,,
7:46.0,,,14-9,,T. Daniels misses 2-pt shot at rim
7:43.0,,,14-9,,Offensive rebound by D. House
7:43.0,,,14-11,2,D. House makes 2-pt shot from 3 ft
7:29.0,K. Thompson makes 2-pt shot from 16 ft (assist by K. Durant),2,16-11,,
7:13.0,,,16-13,2,D. Bender makes 2-pt shot at rim (assist by T. Ulis)
6:55.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,19-13,,
6:47.0,,,19-13,,Phoenix full timeout
6:37.0,,,19-13,,T. Daniels misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by K. Durant,,19-13,,
6:28.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,21-13,,
6:14.0,,,21-13,,Shooting foul by Q. Cook (drawn by T. Ulis)
6:14.0,,,21-14,1,T. Ulis makes free throw 1 of 2
6:14.0,,,21-14,,A. Peters enters the game for T. Daniels
6:14.0,,,21-15,1,T. Ulis makes free throw 2 of 2
5:59.0,K. Thompson makes 3-pt shot from 26 ft (assist by Q. Cook),3,24-15,,
5:46.0,,,24-18,3,D. Bender makes 3-pt shot from 26 ft (assist by T. Ulis)
5:29.0,D. Green misses 3-pt shot from 25 ft,,24-18,,
5:25.0,,,24-18,,Defensive rebound by A. Len
5:18.0,,,24-18,,T. Ulis misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by K. Durant,,24-18,,
5:12.0,K. Thompson misses 3-pt shot from 29 ft,,24-18,,
5:08.0,,,24-18,,Defensive rebound by D. House
4:46.0,,,24-18,,T. Ulis misses 2-pt shot from 6 ft
4:44.0,,,24-18,,Offensive rebound by T. Ulis
4:42.0,,,24-18,,T. Ulis misses 2-pt shot from 11 ft
4:42.0,,,24-18,,Offensive rebound by A. Len
4:38.0,,,24-18,,A. Len misses 2-pt shot at rim
4:38.0,Defensive rebound by Q. Cook,,24-18,,
4:36.0,Turnover by D. Green (bad pass),,24-18,,
4:36.0,J. McGee enters the game for Z. Pachulia,,24-18,,
4:21.0,,,24-20,2,D. Bender makes 2-pt shot from 1 ft
4:10.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,27-20,,
3:42.0,,,27-22,2,A. Len makes 2-pt shot from 6 ft (assist by T. Ulis)
3:31.0,K. Durant misses 2-pt shot from 13 ft,,27-22,,
3:25.0,Offensive rebound by J. McGee,,27-22,,
3:25.0,J. McGee misses 2-pt shot at rim,,27-22,,
3:24.0,,,27-22,,Defensive rebound by A. Len
3:16.0,,,27-22,,T. Ulis misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by Q. Cook,,27-22,,
3:08.0,Q. Cook makes 2-pt shot from 1 ft,2,29-22,,
2:50.0,,,29-22,,A. Len misses 2-pt shot from 3 ft
2:49.0,Defensive rebound by J. McGee,,29-22,,
2:44.0,Q. Cook misses 3-pt shot from 25 ft,,29-22,,
2:40.0,,,29-22,,Defensive rebound by D. House
2:29.0,,,29-22,,D. House misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by D. Green,,29-22,,
2:22.0,Golden State full timeout,,29-22,,
2:22.0,,,29-22,,J. Dudley enters the game for A. Len
2:22.0,,,29-22,,S. Harrison enters the game for A. Peters
2:22.0,S. Livingston enters the game for Q. Cook,,29-22,,
2:22.0,K. Looney enters the game for D. Green,,29-22,,
2:14.0,K. Looney makes 2-pt shot at rim (assist by J. McGee),2,31-22,,
1:49.0,,,31-22,,S. Harrison misses 3-pt shot from 32 ft (block by K. Looney)
1:49.0,,,31-22,,Offensive rebound by Team
1:49.0,,,31-22,,Turnover by Team (shot clock)
1:29.0,Turnover by K. Thompson (bad pass),,31-22,,
1:19.0,,,31-24,2,D. House makes 2-pt shot from 2 ft (assist by T. Ulis)
1:19.0,,,31-24,,Shooting foul by S. Livingston (drawn by D. House)
1:19.0,,,31-25,1,D. House makes free throw 1 of 1
1:06.0,S. Livingston misses 2-pt shot from 10 ft,,31-25,,
1:03.0,,,31-25,,Defensive rebound by D. Bender
0:59.0,Personal block foul by K. Looney (drawn by J. Dudley),,31-25,,
0:59.0,,,31-26,1,J. Dudley makes free throw 1 of 2
0:59.0,,,31-27,1,J. Dudley makes free throw 2 of 2
0:39.0,K. Durant misses 3-pt shot from 25 ft,,31-27,,
0:35.0,Offensive rebound by K. Looney,,31-27,,
0:27.0,K. Looney misses 2-pt shot from 1 ft,,31-27,,
0:25.0,Offensive rebound by J. McGee,,31-27,,
0:25.0,J. McGee makes 2-pt shot from 1 ft,2,33-27,,
0:05.0,,,33-29,2,T. Ulis makes 2-pt shot from 15 ft
0:00.0,Turnover by K. Durant (bad pass),,33-29,,
0:00.0,,,33-29,,Turnover by J. Dudley (bad pass; steal by J. McGee)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,33-29,,J. Dudley misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by Q. Cook,,33-29,,
11:14.0,D. Green makes 3-pt shot from 27 ft (assist by S. Livingston),3,36-29,,
10:57.0,,,36-29,,D. Reed misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by D. Green,,36-29,,
10:49.0,D. Green misses 3-pt shot from 26 ft,,36-29,,
10:45.0,,,36-29,,Defensive rebound by D. Bender
10:36.0,,,36-29,,D. Reed misses 2-pt shot at rim
10:36.0,Defensive rebound by D. West,,36-29,,
10:21.0,D. Green makes 2-pt shot from 14 ft,2,38-29,,
10:11.0,,,38-31,2,S. Harrison makes 2-pt shot from 1 ft
10:02.0,S. Livingston makes 2-pt shot from 16 ft,2,40-31,,
10:02.0,Shooting foul by D. Bender (drawn by S. Livingston),,40-31,,
10:02.0,,,40-31,,A. Peters enters the game for D. Bender
10:02.0,S. Livingston makes free throw 1 of 1,1,41-31,,
9:56.0,,,41-31,,J. Dudley misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by S. Livingston,,41-31,,
9:48.0,Shooting foul by A. Peters (drawn by D. Green),,41-31,,
9:48.0,D. Green misses free throw 1 of 2,,41-31,,
9:48.0,Offensive rebound by Team,,41-31,,
9:48.0,D. Green makes free throw 2 of 2,1,42-31,,
9:30.0,,,42-34,3,J. Dudley makes 3-pt shot from 24 ft (assist by D. Reed)
9:21.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. West),2,44-34,,
9:21.0,Shooting foul by S. Harrison (drawn by S. Livingston),,44-34,,
