time,Indiana,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Sabonis (T. Gibson gains possession),,,,Jump ball: K. Towns vs. D. Sabonis (T. Gibson gains possession)
11:45.0,,,0-0,,A. Wiggins misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by D. Sabonis,,0-0,,
11:25.0,D. Collison misses 3-pt shot from 22 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by K. Towns
11:18.0,,,0-0,,S. Muhammad misses 2-pt shot at rim
11:15.0,Defensive rebound by V. Oladipo,,0-0,,
11:11.0,V. Oladipo makes 2-pt shot at rim,2,2-0,,
10:58.0,,,2-2,2,T. Gibson makes 2-pt shot from 14 ft (assist by J. Teague)
10:41.0,T. Young misses 2-pt shot from 1 ft,,2-2,,
10:36.0,Offensive rebound by D. Sabonis,,2-2,,
10:36.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Sabonis),3,5-2,,
10:14.0,,,5-4,2,K. Towns makes 2-pt shot from 3 ft
10:14.0,,,5-4,,Shooting foul by D. Sabonis (drawn by K. Towns)
10:14.0,,,5-5,1,K. Towns makes free throw 1 of 1
10:05.0,T. Young makes 2-pt shot from 5 ft (assist by D. Collison),2,7-5,,
9:53.0,,,7-5,,J. Teague misses 2-pt shot at rim
9:50.0,Defensive rebound by D. Sabonis,,7-5,,
9:47.0,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison),2,9-5,,
9:35.0,,,9-5,,K. Towns misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by D. Collison,,9-5,,
9:24.0,Turnover by D. Sabonis (lost ball; steal by J. Teague),,9-5,,
9:19.0,,,9-7,2,S. Muhammad makes 2-pt shot from 1 ft (assist by J. Teague)
9:01.0,B. Bogdanovic makes 2-pt shot from 17 ft (assist by D. Collison),2,11-7,,
8:47.0,,,11-7,,J. Teague misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by D. Sabonis,,11-7,,
8:34.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,13-7,,
8:17.0,,,13-9,2,A. Wiggins makes 2-pt shot at rim
8:12.0,Turnover by D. Collison (bad pass),,13-9,,
8:01.0,,,13-9,,A. Wiggins misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by D. Collison,,13-9,,
7:48.0,D. Sabonis makes 2-pt shot from 20 ft (assist by D. Collison),2,15-9,,
7:34.0,,,15-9,,Turnover by J. Teague (bad pass)
7:26.0,T. Young misses 3-pt shot from 25 ft,,15-9,,
7:23.0,,,15-9,,Defensive rebound by A. Wiggins
7:12.0,,,15-9,,T. Gibson misses 2-pt shot from 13 ft (block by T. Young)
7:08.0,Defensive rebound by D. Collison,,15-9,,
7:07.0,D. Collison makes 2-pt shot from 1 ft,2,17-9,,
6:59.0,,,17-9,,Minnesota full timeout
6:52.0,,,17-9,,S. Muhammad misses 2-pt shot from 1 ft
6:51.0,,,17-9,,Offensive rebound by S. Muhammad
6:51.0,,,17-9,,Shooting foul by B. Bogdanovic (drawn by S. Muhammad)
6:51.0,,,17-9,,S. Muhammad misses free throw 1 of 2
6:51.0,,,17-9,,Offensive rebound by Team
6:51.0,,,17-9,,S. Muhammad misses free throw 2 of 2
6:49.0,Defensive rebound by D. Sabonis,,17-9,,
6:38.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,19-9,,
6:16.0,,,19-9,,Turnover by K. Towns (lost ball; steal by T. Young)
6:11.0,B. Bogdanovic misses 2-pt shot from 7 ft,,19-9,,
6:07.0,,,19-9,,Defensive rebound by A. Wiggins
6:03.0,,,19-9,,S. Muhammad misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by B. Bogdanovic,,19-9,,
5:51.0,Shooting foul by K. Towns (drawn by D. Sabonis),,19-9,,
5:51.0,D. Sabonis misses free throw 1 of 2,,19-9,,
5:51.0,Offensive rebound by Team,,19-9,,
5:51.0,D. Sabonis makes free throw 2 of 2,1,20-9,,
5:42.0,,,20-9,,Shooting foul by T. Young (drawn by A. Wiggins)
5:42.0,,,20-9,,A. Wiggins misses free throw 1 of 2
5:42.0,,,20-9,,Offensive rebound by Team
5:42.0,,,20-10,1,A. Wiggins makes free throw 2 of 2
5:31.0,Offensive foul by D. Sabonis (drawn by A. Wiggins),,20-10,,
5:31.0,Turnover by D. Sabonis (offensive foul),,20-10,,
5:31.0,A. Jefferson enters the game for D. Sabonis,,20-10,,
5:17.0,Personal foul by A. Jefferson (drawn by K. Towns),,20-10,,
5:08.0,,,20-12,2,K. Towns makes 2-pt shot from 10 ft (assist by J. Teague)
4:44.0,V. Oladipo makes 2-pt shot from 20 ft,2,22-12,,
4:33.0,,,22-12,,S. Muhammad misses 2-pt shot from 10 ft
4:30.0,Defensive rebound by T. Young,,22-12,,
4:25.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,24-12,,
4:06.0,,,24-12,,A. Wiggins misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by A. Jefferson,,24-12,,
3:54.0,D. Collison makes 2-pt shot from 1 ft,2,26-12,,
3:46.0,,,26-12,,Minnesota full timeout
3:46.0,,,26-12,,G. Dieng enters the game for S. Muhammad
3:46.0,,,26-12,,N. Bjelica enters the game for K. Towns
3:46.0,,,26-12,,J. Crawford enters the game for T. Gibson
3:46.0,L. Stephenson enters the game for B. Bogdanovic,,26-12,,
3:31.0,,,26-12,,G. Dieng misses 2-pt shot from 17 ft
3:29.0,Defensive rebound by D. Collison,,26-12,,
3:25.0,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison),2,28-12,,
3:15.0,,,28-14,2,J. Teague makes 2-pt shot at rim
3:01.0,Turnover by T. Young (traveling),,28-14,,
3:01.0,C. Joseph enters the game for D. Collison,,28-14,,
3:01.0,T. Leaf enters the game for T. Young,,28-14,,
2:49.0,,,28-14,,Turnover by J. Crawford (bad pass; steal by C. Joseph)
2:42.0,T. Leaf makes 2-pt shot from 10 ft (assist by L. Stephenson),2,30-14,,
2:23.0,,,30-14,,Offensive charge foul by A. Wiggins (drawn by A. Jefferson)
2:23.0,,,30-14,,Turnover by A. Wiggins (offensive foul)
2:23.0,,,30-14,,T. Jones enters the game for J. Teague
2:08.0,T. Leaf misses 2-pt shot from 1 ft,,30-14,,
2:05.0,,,30-14,,Defensive rebound by G. Dieng
2:01.0,,,30-16,2,J. Crawford makes 2-pt shot from 1 ft
1:38.0,,,30-16,,Violation by G. Dieng (kicked ball)
1:25.0,L. Stephenson misses 2-pt shot from 22 ft,,30-16,,
1:24.0,,,30-16,,Defensive rebound by Team
1:07.0,,,30-18,2,G. Dieng makes 2-pt shot at rim (assist by J. Crawford)
0:41.0,T. Leaf makes 3-pt shot from 22 ft (assist by C. Joseph),3,33-18,,
0:29.0,,,33-18,,J. Crawford misses 3-pt shot from 25 ft
0:27.0,,,33-18,,Offensive rebound by G. Dieng
0:06.0,,,33-18,,Shooting foul by T. Leaf (drawn by J. Crawford)
0:06.0,,,33-19,1,J. Crawford makes free throw 1 of 2
0:06.0,,,33-20,1,J. Crawford makes free throw 2 of 2
0:03.0,,,33-20,,Personal take foul by A. Wiggins (drawn by V. Oladipo)
0:00.0,C. Joseph misses 2-pt shot from 7 ft,,33-20,,
0:00.0,Offensive rebound by Team,,33-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,L. Stephenson misses 2-pt shot from 10 ft,,33-20,,
11:37.0,,,33-20,,Defensive rebound by T. Jones
11:28.0,,,33-20,,Shooting foul by C. Joseph (drawn by T. Jones)
11:28.0,,,33-21,1,T. Jones makes free throw 1 of 3
11:28.0,,,33-22,1,T. Jones makes free throw 2 of 3
11:28.0,,,33-23,1,T. Jones makes free throw 3 of 3
11:07.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Collison),3,36-23,,
10:51.0,,,36-25,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
10:45.0,Violation by A. Jefferson (def goaltending),,36-25,,
10:39.0,T. Leaf makes 2-pt shot from 2 ft,2,38-25,,
10:17.0,,,38-27,2,G. Dieng makes 2-pt shot from 20 ft (assist by S. Muhammad)
9:50.0,D. Collison misses 3-pt shot from 26 ft,,38-27,,
9:46.0,,,38-27,,Defensive rebound by G. Dieng
9:43.0,,,38-27,,J. Crawford misses 2-pt shot from 10 ft
9:42.0,,,38-27,,Offensive rebound by T. Jones
9:39.0,,,38-30,3,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones)
9:37.0,Indiana full timeout,,38-30,,
9:20.0,Turnover by A. Jefferson (traveling),,38-30,,
9:03.0,,,38-30,,N. Bjelica misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by A. Jefferson,,38-30,,
8:49.0,,,38-30,,Violation by G. Dieng (kicked ball)
8:36.0,T. Leaf makes 2-pt shot from 5 ft (assist by D. Collison),2,40-30,,
8:16.0,,,40-33,3,N. Bjelica makes 3-pt shot from 24 ft (assist by G. Dieng)
8:03.0,,,40-33,,Violation by G. Dieng (kicked ball)
8:03.0,,,40-33,,K. Towns enters the game for G. Dieng
8:03.0,D. Sabonis enters the game for A. Jefferson,,40-33,,
7:56.0,D. Collison misses 3-pt shot from 23 ft,,40-33,,
7:52.0,,,40-33,,Defensive rebound by T. Jones
7:50.0,,,40-33,,Shooting foul by D. Collison (drawn by J. Crawford)
7:50.0,,,40-34,1,J. Crawford makes free throw 1 of 2
7:50.0,B. Bogdanovic enters the game for D. Collison,,40-34,,
7:50.0,,,40-35,1,J. Crawford makes free throw 2 of 2
7:38.0,L. Stephenson misses 2-pt shot from 2 ft (block by K. Towns),,40-35,,
7:38.0,Offensive rebound by D. Sabonis,,40-35,,
7:31.0,D. Sabonis makes 2-pt shot from 1 ft,2,42-35,,
7:27.0,,,42-37,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford)
7:27.0,,,42-37,,Shooting foul by T. Leaf (drawn by K. Towns)
7:27.0,,,42-38,1,K. Towns makes free throw 1 of 1
7:13.0,Turnover by C. Joseph (lost ball; steal by J. Crawford),,42-38,,
7:08.0,,,42-40,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones)
6:49.0,T. Leaf misses 2-pt shot from 1 ft,,42-40,,
6:47.0,Offensive rebound by D. Sabonis,,42-40,,
6:41.0,Turnover by B. Bogdanovic (bad pass; steal by J. Crawford),,42-40,,
6:37.0,,,42-42,2,S. Muhammad makes 2-pt shot at rim (assist by J. Crawford)
6:25.0,Indiana full timeout,,42-42,,
6:25.0,V. Oladipo enters the game for L. Stephenson,,42-42,,
6:25.0,T. Young enters the game for T. Leaf,,42-42,,
6:09.0,C. Joseph makes 3-pt shot from 22 ft (assist by B. Bogdanovic),3,45-42,,
5:48.0,,,45-42,,N. Bjelica misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by Team,,45-42,,
5:47.0,,,45-42,,Loose ball foul by K. Towns (drawn by D. Sabonis)
5:47.0,,,45-42,,J. Teague enters the game for T. Jones
5:47.0,,,45-42,,T. Gibson enters the game for N. Bjelica
5:47.0,,,45-42,,A. Wiggins enters the game for S. Muhammad
5:35.0,V. Oladipo makes 2-pt shot from 20 ft (assist by D. Sabonis),2,47-42,,
5:22.0,,,47-42,,Turnover by J. Teague (bad pass)
5:16.0,V. Oladipo makes 3-pt shot from 24 ft,3,50-42,,
5:06.0,,,50-42,,Minnesota full timeout
4:52.0,,,50-45,3,J. Crawford makes 3-pt shot from 24 ft (assist by K. Towns)
4:36.0,V. Oladipo misses 2-pt shot from 1 ft (block by T. Gibson),,50-45,,
4:32.0,,,50-45,,Defensive rebound by T. Gibson
4:23.0,,,50-45,,J. Crawford misses 2-pt shot from 14 ft
4:21.0,Defensive rebound by D. Sabonis,,50-45,,
4:11.0,C. Joseph makes 3-pt shot from 25 ft (assist by V. Oladipo),3,53-45,,
3:53.0,,,53-45,,J. Crawford misses 3-pt shot from 23 ft
3:48.0,,,53-45,,Offensive rebound by K. Towns
