time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: N. Vucevic vs. E. Kanter (M. Beasley gains possession)
11:49.0,,,0-0,,Personal foul by T. Ross (drawn by C. Lee)
11:43.0,T. Hardaway makes 2-pt shot from 14 ft (assist by M. Beasley),2,2-0,,
11:28.0,,,2-2,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
11:11.0,Turnover by C. Lee (discontinued dribble),,2-2,,
11:05.0,,,2-5,3,N. Vucevic makes 3-pt shot from 25 ft (assist by T. Ross)
10:53.0,C. Lee misses 3-pt shot from 23 ft,,12-20,,
10:50.0,,,12-20,,Defensive rebound by A. Gordon
10:43.0,,,2-7,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
10:31.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack),2,4-7,,
10:17.0,,,4-7,,A. Gordon misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by J. Jack,,4-7,,
10:03.0,C. Lee misses 2-pt shot from 1 ft,,4-7,,
10:03.0,Offensive rebound by M. Beasley,,4-7,,
9:58.0,J. Jack makes 2-pt shot from 17 ft (assist by M. Beasley),2,6-7,,
9:47.0,,,6-7,,T. Ross misses 2-pt shot from 20 ft
9:44.0,Defensive rebound by M. Beasley,,6-7,,
9:25.0,Turnover by M. Beasley (lost ball; steal by T. Ross),,6-7,,
9:19.0,,,6-9,2,E. Payton makes 2-pt shot from 20 ft
9:19.0,,,6-9,,Shooting foul by M. Beasley (drawn by E. Payton)
9:19.0,,,6-10,1,E. Payton makes free throw 1 of 1
9:07.0,Shooting foul by T. Ross (drawn by T. Hardaway),,6-10,,
9:07.0,T. Hardaway makes free throw 1 of 2,1,7-10,,
9:07.0,,,7-10,,J. Simmons enters the game for T. Ross
9:07.0,T. Hardaway makes free throw 2 of 2,1,8-10,,
8:59.0,,,8-12,2,E. Fournier makes 2-pt shot from 9 ft
8:34.0,T. Hardaway misses 3-pt shot from 24 ft,,8-12,,
8:31.0,Offensive rebound by M. Beasley,,8-12,,
8:24.0,T. Hardaway makes 2-pt shot from 2 ft,2,10-12,,
8:04.0,,,10-14,2,N. Vucevic makes 2-pt shot at rim
8:04.0,,,10-14,,Shooting foul by E. Kanter (drawn by N. Vucevic)
8:04.0,,,10-15,1,N. Vucevic makes free throw 1 of 1
7:46.0,E. Kanter makes 2-pt shot from 10 ft,2,12-15,,
7:23.0,,,12-15,,E. Payton misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by T. Hardaway,,12-15,,
7:14.0,T. Hardaway misses 2-pt shot from 19 ft,,12-15,,
7:10.0,,,12-15,,Defensive rebound by E. Payton
7:00.0,,,12-15,,E. Fournier misses 2-pt shot from 2 ft
7:00.0,,,12-15,,Offensive rebound by Team
6:53.0,,,12-17,2,E. Fournier makes 2-pt shot from 14 ft (assist by E. Payton)
6:43.0,Turnover by J. Jack (bad pass; steal by E. Payton),,12-17,,
6:33.0,,,12-20,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
6:33.0,New York full timeout,,12-20,,
6:33.0,D. McDermott enters the game for C. Lee,,12-20,,
6:17.0,M. Beasley misses 2-pt shot from 12 ft,,12-20,,
6:13.0,Offensive rebound by E. Kanter,,12-20,,
6:13.0,Turnover by J. Jack (step out of bounds),,12-20,,
5:59.0,,,12-20,,Shooting foul by M. Beasley (drawn by A. Gordon)
5:59.0,,,12-20,,A. Gordon misses free throw 1 of 2
5:59.0,,,12-20,,Offensive rebound by Team
5:59.0,K. O'Quinn enters the game for E. Kanter,,12-20,,
5:59.0,L. Thomas enters the game for M. Beasley,,12-20,,
5:59.0,,,12-21,1,A. Gordon makes free throw 2 of 2
5:36.0,T. Hardaway misses 2-pt shot from 6 ft,,12-21,,
5:29.0,Offensive rebound by T. Hardaway,,12-21,,
5:29.0,T. Hardaway makes 2-pt shot at rim,2,14-21,,
5:29.0,,,14-21,,Turnover by E. Payton (bad pass)
5:12.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Jack),3,17-21,,
4:57.0,,,17-21,,E. Fournier misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by J. Jack,,17-21,,
4:49.0,J. Jack makes 2-pt shot from 19 ft,2,19-21,,
4:49.0,,,19-21,,Orlando full timeout
4:49.0,,,19-21,,S. Mack enters the game for E. Payton
4:34.0,,,19-21,,Turnover by E. Fournier (lost ball; steal by K. O'Quinn)
4:16.0,L. Thomas misses 2-pt shot from 18 ft,,19-21,,
4:13.0,,,19-21,,Defensive rebound by N. Vucevic
4:08.0,,,19-21,,N. Vucevic misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by T. Hardaway,,19-21,,
3:51.0,J. Jack makes 2-pt shot from 16 ft (assist by K. O'Quinn),2,21-21,,
3:31.0,,,21-23,2,N. Vucevic makes 2-pt shot from 2 ft (assist by S. Mack)
3:19.0,D. McDermott misses 2-pt shot from 6 ft (block by E. Fournier),,21-23,,
3:13.0,,,21-23,,Defensive rebound by S. Mack
3:12.0,,,21-23,,A. Gordon misses 2-pt shot from 10 ft
3:12.0,Defensive rebound by T. Hardaway,,21-23,,
2:58.0,,,21-23,,Personal foul by J. Simmons (drawn by T. Hardaway)
2:58.0,F. Ntilikina enters the game for J. Jack,,21-23,,
2:50.0,,,21-23,,Violation by N. Vucevic (kicked ball)
2:45.0,Turnover by K. O'Quinn (bad pass; steal by S. Mack),,21-23,,
2:43.0,,,21-23,,Shooting foul by F. Ntilikina (drawn by J. Simmons)
2:43.0,,,21-24,1,J. Simmons makes free throw 1 of 2
2:43.0,,,21-24,,J. Simmons misses free throw 2 of 2
2:41.0,Defensive rebound by K. O'Quinn,,21-24,,
2:21.0,T. Hardaway misses 3-pt shot from 25 ft,,21-24,,
2:17.0,,,21-24,,Defensive rebound by S. Mack
2:12.0,Jump ball: S. Mack vs. F. Ntilikina (E. Fournier gains possession),,,,Jump ball: S. Mack vs. F. Ntilikina (E. Fournier gains possession)
2:04.0,,,21-26,2,E. Fournier makes 2-pt shot from 3 ft (assist by S. Mack)
1:50.0,L. Thomas makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,23-26,,
1:50.0,Shooting foul by N. Vucevic (drawn by L. Thomas),,23-26,,
1:50.0,,,23-26,,J. Isaac enters the game for A. Gordon
1:50.0,,,23-26,,B. Biyombo enters the game for N. Vucevic
1:50.0,L. Thomas makes free throw 1 of 1,1,24-26,,
1:39.0,Personal foul by F. Ntilikina (drawn by E. Fournier),,24-26,,
1:39.0,,,24-27,1,E. Fournier makes free throw 1 of 2
1:39.0,,,24-27,,E. Fournier misses free throw 2 of 2
1:39.0,Defensive rebound by K. O'Quinn,,24-27,,
1:17.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,26-27,,
0:49.0,,,26-27,,J. Isaac misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by T. Hardaway,,26-27,,
0:26.0,Turnover by T. Hardaway (lost ball; steal by E. Fournier),,26-27,,
0:20.0,,,26-27,,Turnover by E. Fournier (turnover)
0:00.0,D. McDermott makes 2-pt shot from 15 ft (assist by K. O'Quinn),2,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-27,,T. Ross misses 2-pt shot from 15 ft
11:39.0,Defensive rebound by F. Ntilikina,,28-27,,
11:17.0,F. Ntilikina makes 2-pt shot from 20 ft,2,30-27,,
11:05.0,,,30-27,,S. Mack misses 2-pt shot from 10 ft
11:02.0,Defensive rebound by D. McDermott,,30-27,,
10:54.0,Turnover by D. McDermott (traveling),,30-27,,
10:43.0,,,30-27,,J. Isaac misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by L. Thomas,,30-27,,
10:28.0,F. Ntilikina makes 2-pt shot from 18 ft (assist by K. O'Quinn),2,32-27,,
10:17.0,,,32-29,2,J. Isaac makes 2-pt shot from 13 ft (assist by S. Mack)
9:56.0,T. Hardaway misses 2-pt shot from 1 ft,,32-29,,
9:54.0,,,32-29,,Defensive rebound by J. Simmons
9:47.0,,,32-32,3,T. Ross makes 3-pt shot from 22 ft (assist by J. Simmons)
9:28.0,D. McDermott makes 3-pt shot from 26 ft (assist by L. Thomas),3,35-32,,
9:07.0,,,35-32,,J. Simmons misses 2-pt shot from 9 ft
9:04.0,Defensive rebound by T. Hardaway,,35-32,,
8:49.0,F. Ntilikina misses 2-pt shot from 17 ft,,35-32,,
8:48.0,,,35-32,,Defensive rebound by J. Isaac
8:48.0,Loose ball foul by K. O'Quinn (drawn by J. Isaac),,35-32,,
8:48.0,M. Beasley enters the game for T. Hardaway,,35-32,,
8:48.0,E. Kanter enters the game for K. O'Quinn,,35-32,,
8:48.0,C. Lee enters the game for L. Thomas,,35-32,,
8:32.0,,,35-32,,J. Simmons misses 2-pt shot at rim
8:31.0,,,35-32,,Offensive rebound by J. Simmons
8:31.0,,,35-32,,J. Simmons misses 2-pt shot at rim
8:31.0,,,35-32,,Offensive rebound by Team
8:22.0,,,35-34,2,B. Biyombo makes 2-pt shot from 5 ft (assist by T. Ross)
8:08.0,M. Beasley makes 2-pt shot from 2 ft (assist by D. McDermott),2,37-34,,
7:52.0,,,37-34,,Turnover by J. Isaac (traveling)
7:34.0,Shooting foul by T. Ross (drawn by C. Lee),,37-34,,
7:34.0,C. Lee makes free throw 1 of 2,1,38-34,,
7:34.0,,,38-34,,E. Payton enters the game for T. Ross
7:34.0,C. Lee makes free throw 2 of 2,1,39-34,,
7:19.0,,,39-34,,E. Payton misses 2-pt shot from 14 ft (block by F. Ntilikina)
7:14.0,Defensive rebound by E. Kanter,,39-34,,
7:08.0,M. Beasley misses 2-pt shot from 11 ft,,39-34,,
7:08.0,,,39-34,,Defensive rebound by B. Biyombo
6:54.0,,,39-36,2,B. Biyombo makes 2-pt shot from 10 ft (assist by S. Mack)
6:43.0,D. McDermott makes 2-pt shot from 20 ft (assist by F. Ntilikina),2,41-36,,
6:41.0,,,41-36,,Orlando full timeout
6:41.0,,,41-36,,E. Fournier enters the game for S. Mack
6:41.0,,,41-36,,N. Vucevic enters the game for B. Biyombo
6:41.0,,,41-36,,A. Gordon enters the game for J. Simmons
6:41.0,J. Jack enters the game for F. Ntilikina,,41-36,,
6:27.0,,,41-36,,E. Fournier misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by E. Kanter,,41-36,,
6:06.0,,,41-36,,Def 3 sec tech foul by N. Vucevic
6:06.0,C. Lee makes technical free throw,1,42-36,,
5:54.0,Turnover by C. Lee (step out of bounds),,42-36,,
5:33.0,,,42-38,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
5:21.0,Turnover by J. Jack (bad pass; steal by N. Vucevic),,42-38,,
5:17.0,,,42-40,2,E. Fournier makes 2-pt shot from 3 ft (assist by E. Payton)
5:02.0,New York full timeout,,42-40,,
4:49.0,M. Beasley misses 2-pt shot from 12 ft,,42-40,,
4:46.0,E. Kanter makes 2-pt shot at rim,2,44-40,,
4:43.0,Offensive rebound by E. Kanter,,44-40,,
4:22.0,,,44-40,,J. Isaac misses 3-pt shot from 22 ft
4:20.0,Defensive rebound by C. Lee,,44-40,,
4:12.0,Turnover by E. Kanter (bad pass; steal by E. Fournier),,44-40,,
4:12.0,Personal foul by D. McDermott (drawn by E. Fournier),,44-40,,
4:12.0,T. Hardaway enters the game for D. McDermott,,44-40,,
4:03.0,,,44-40,,E. Fournier misses 2-pt shot from 11 ft
3:56.0,,,44-40,,Offensive rebound by J. Isaac
3:56.0,,,44-42,2,J. Isaac makes 2-pt shot at rim
3:44.0,Turnover by T. Hardaway (bad pass; steal by E. Fournier),,44-42,,
3:38.0,,,44-42,,Turnover by E. Fournier (lost ball; steal by C. Lee)
3:30.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Jack),2,46-42,,
3:24.0,,,46-45,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton)
3:07.0,C. Lee makes 2-pt shot from 20 ft (assist by J. Jack),2,48-45,,
2:45.0,,,48-48,3,A. Gordon makes 3-pt shot from 22 ft (assist by J. Isaac)
2:27.0,T. Hardaway misses 2-pt shot at rim,,48-48,,
2:23.0,,,48-48,,Defensive rebound by E. Payton
2:22.0,,,48-48,,J. Isaac misses 2-pt shot at rim
