time,Cleveland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. L. Nance (T. Harris gains possession),,,,Jump ball: D. Jordan vs. L. Nance (T. Harris gains possession)
11:46.0,,,0-2,2,A. Rivers makes 2-pt shot from 2 ft
11:30.0,J. Smith makes 3-pt shot from 25 ft (assist by G. Hill),3,3-2,,
11:19.0,,,3-4,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
11:02.0,R. Hood misses 2-pt shot from 18 ft,,3-4,,
10:59.0,,,3-4,,Defensive rebound by A. Rivers
10:52.0,,,3-4,,A. Rivers misses 3-pt shot from 28 ft
10:50.0,Defensive rebound by L. James,,3-4,,
10:41.0,L. James makes 2-pt shot from 1 ft,2,5-4,,
10:23.0,,,5-4,,L. Williams misses 2-pt shot from 2 ft (block by L. James)
10:20.0,Defensive rebound by L. Nance,,5-4,,
10:16.0,J. Smith makes 2-pt shot from 15 ft,2,7-4,,
10:02.0,,,7-4,,T. Harris misses 2-pt shot from 16 ft
9:59.0,Defensive rebound by Team,,7-4,,
9:41.0,R. Hood misses 3-pt shot from 22 ft,,7-4,,
9:39.0,,,7-4,,Defensive rebound by S. Thornwell
9:27.0,,,7-7,3,S. Thornwell makes 3-pt shot from 23 ft (assist by A. Rivers)
9:10.0,J. Smith misses 2-pt shot from 10 ft,,7-7,,
9:08.0,,,7-7,,Defensive rebound by T. Harris
9:03.0,,,7-7,,Shooting foul by L. Nance (drawn by S. Thornwell)
9:03.0,,,7-8,1,S. Thornwell makes free throw 1 of 2
9:03.0,,,7-9,1,S. Thornwell makes free throw 2 of 2
8:49.0,J. Smith misses 3-pt shot from 27 ft,,7-9,,
8:45.0,,,7-9,,Defensive rebound by S. Thornwell
8:31.0,,,7-11,2,T. Harris makes 2-pt shot from 21 ft
8:15.0,L. Nance misses 2-pt shot from 15 ft,,7-11,,
8:13.0,,,7-11,,Defensive rebound by D. Jordan
8:07.0,,,7-13,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
8:07.0,Cleveland full timeout,,7-13,,
7:52.0,L. Nance makes 2-pt shot from 7 ft (assist by R. Hood),2,9-13,,
7:28.0,,,9-13,,L. Williams misses 2-pt shot from 5 ft
7:26.0,,,9-13,,Offensive rebound by D. Jordan
7:26.0,,,9-13,,D. Jordan misses 2-pt shot at rim
7:26.0,,,9-13,,Offensive rebound by D. Jordan
7:26.0,,,9-13,,Shooting foul by R. Hood (drawn by D. Jordan)
7:26.0,,,9-14,1,D. Jordan makes free throw 1 of 2
7:26.0,,,9-15,1,D. Jordan makes free throw 2 of 2
7:04.0,L. James misses 2-pt shot from 18 ft,,9-15,,
7:02.0,,,9-15,,Defensive rebound by D. Jordan
6:54.0,,,9-15,,T. Harris misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by L. Nance,,9-15,,
6:42.0,R. Hood misses 2-pt shot from 19 ft,,9-15,,
6:38.0,,,9-15,,Defensive rebound by D. Jordan
6:27.0,,,9-17,2,T. Harris makes 2-pt shot from 6 ft (assist by A. Rivers)
6:01.0,Turnover by Team (shot clock),,9-17,,
5:49.0,,,9-17,,D. Jordan misses 2-pt shot from 2 ft (block by L. James)
5:48.0,Defensive rebound by J. Smith,,9-17,,
5:48.0,,,9-17,,Personal foul by A. Rivers (drawn by L. James)
5:45.0,L. Nance misses 2-pt shot from 20 ft,,9-17,,
5:41.0,,,9-17,,Defensive rebound by D. Jordan
5:35.0,,,9-17,,D. Jordan misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by L. James,,9-17,,
5:30.0,L. James makes 2-pt shot at rim,2,11-17,,
5:21.0,Personal foul by G. Hill (drawn by A. Rivers),,11-17,,
5:14.0,,,11-17,,Shooting foul by L. Nance (drawn by T. Harris)
5:14.0,,,11-18,1,T. Harris makes free throw 1 of 2
5:14.0,K. Korver enters the game for R. Hood,,11-18,,
