time,Charlotte,pts.away,score,pts.home,San Antonio
5:44.0,,,84-88,,Shooting foul by D. Howard (drawn by L. Aldridge)
5:44.0,,,84-89,1,L. Aldridge makes free throw 2 of 2
5:44.0,,,84-90,1,L. Aldridge makes free throw 1 of 2
5:38.0,,,84-90,,B. Forbes enters the game for D. Green
5:38.0,D. Bacon enters the game for T. Graham,,84-90,,
5:25.0,J. Lamb makes 2-pt shot from 2 ft,2,86-90,,
5:14.0,,,86-93,3,B. Forbes makes 3-pt shot from 25 ft (assist by P. Mills)
5:14.0,,,86-93,,Shooting foul by J. Lamb (drawn by B. Forbes)
5:14.0,M. Williams enters the game for F. Kaminsky,,86-93,,
5:14.0,,,86-94,1,B. Forbes makes free throw 1 of 1
5:05.0,Turnover by K. Walker (lost ball; steal by K. Anderson),,86-94,,
5:01.0,,,86-94,,Turnover by K. Anderson (lost ball; steal by K. Walker)
4:55.0,J. Lamb makes 2-pt shot from 13 ft,2,88-94,,
4:55.0,Shooting foul by B. Forbes (drawn by J. Lamb),,88-94,,
4:55.0,,,88-94,,R. Gay enters the game for K. Anderson
4:55.0,J. Lamb makes free throw 1 of 1,1,89-94,,
4:45.0,,,89-97,3,P. Mills makes 3-pt shot from 25 ft
4:31.0,K. Walker misses 3-pt shot from 24 ft,,89-97,,
4:31.0,Offensive rebound by D. Howard,,89-97,,
4:31.0,,,89-97,,Personal foul by P. Mills (drawn by D. Howard)
4:31.0,D. Howard misses free throw 1 of 2,,89-97,,
4:31.0,Offensive rebound by Team,,89-97,,
4:31.0,D. Howard misses free throw 2 of 2,,89-97,,
4:29.0,,,89-97,,Defensive rebound by L. Aldridge
4:19.0,,,89-97,,P. Mills misses 3-pt shot from 25 ft
4:19.0,Turnover by D. Bacon (lost ball; steal by M. Ginobili),,89-97,,
4:14.0,Offensive rebound by D. Bacon,,89-97,,
3:59.0,,,89-100,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Forbes)
3:42.0,M. Williams misses 3-pt shot from 22 ft,,89-100,,
3:38.0,,,89-100,,Defensive rebound by L. Aldridge
3:28.0,,,89-100,,P. Mills misses 2-pt shot from 1 ft
3:27.0,,,89-100,,Offensive rebound by Team
3:16.0,,,89-100,,R. Gay misses 2-pt shot from 19 ft
3:13.0,Defensive rebound by J. Lamb,,89-100,,
2:57.0,K. Walker misses 2-pt shot from 15 ft,,89-100,,
2:56.0,Offensive rebound by D. Howard,,89-100,,
2:56.0,,,89-100,,Personal foul by M. Ginobili (drawn by D. Howard)
2:56.0,D. Howard misses free throw 1 of 2,,89-100,,
2:56.0,Offensive rebound by Team,,89-100,,
2:56.0,D. Howard makes free throw 2 of 2,1,90-100,,
2:41.0,,,90-100,,P. Mills misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by D. Howard,,90-100,,
2:36.0,D. Bacon misses 3-pt shot from 26 ft,,90-100,,
2:35.0,Offensive rebound by M. Williams,,90-100,,
2:35.0,M. Williams makes 2-pt shot at rim,2,92-100,,
2:16.0,Personal foul by D. Howard (drawn by M. Ginobili),,92-100,,
2:10.0,Personal foul by D. Howard (drawn by L. Aldridge),,92-100,,
2:06.0,,,92-103,3,P. Mills makes 3-pt shot from 25 ft (assist by R. Gay)
1:54.0,Shooting foul by L. Aldridge (drawn by K. Walker),,92-103,,
1:54.0,K. Walker makes free throw 1 of 2,1,93-103,,
1:54.0,K. Walker misses free throw 2 of 2,,93-103,,
1:52.0,,,93-103,,Defensive rebound by M. Ginobili
1:34.0,,,93-103,,Turnover by P. Mills (bad pass; steal by D. Bacon)
1:32.0,D. Bacon makes 2-pt shot from 2 ft,2,95-103,,
1:20.0,,,95-103,,L. Aldridge misses 2-pt shot from 21 ft
1:20.0,,,95-103,,Offensive rebound by B. Forbes
1:04.0,,,95-103,,M. Ginobili misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by D. Bacon,,95-103,,
0:57.0,J. Lamb makes 3-pt shot from 25 ft (assist by D. Bacon),3,98-103,,
0:34.0,,,98-106,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:33.0,Charlotte full timeout,,98-106,,
0:31.0,D. Howard makes 2-pt shot at rim (assist by J. Lamb),2,100-106,,
0:31.0,Shooting foul by R. Gay (drawn by D. Howard),,100-106,,
0:31.0,D. Howard makes free throw 1 of 1,1,101-106,,
0:30.0,,,101-106,,San Antonio full timeout
0:30.0,,,101-106,,K. Anderson enters the game for B. Forbes
0:23.0,,,101-106,,Turnover by R. Gay (lost ball; steal by J. Lamb)
0:17.0,D. Bacon misses 2-pt shot from 19 ft,,101-106,,
0:16.0,,,101-106,,Defensive rebound by M. Ginobili
0:16.0,Personal foul by M. Williams (drawn by M. Ginobili),,101-106,,
0:16.0,,,101-107,1,M. Ginobili makes free throw 1 of 2
0:16.0,,,101-108,1,M. Ginobili makes free throw 2 of 2
0:06.0,K. Walker misses 3-pt shot from 25 ft,,101-108,,
0:03.0,,,101-108,,Defensive rebound by R. Gay
