time,Milwaukee,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Anderson vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: R. Anderson vs. J. Henson (G. Antetokounmpo gains possession)
11:36.0,Turnover by K. Middleton (bad pass; steal by R. Anderson),,0-0,,
11:28.0,,,0-2,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
11:13.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by J. Harden
10:47.0,,,0-4,2,J. Harden makes 2-pt shot from 1 ft
10:39.0,K. Middleton makes 2-pt shot from 1 ft,2,2-4,,
10:14.0,,,2-4,,P. Tucker misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by Team,,2-4,,
10:13.0,G. Payton enters the game for E. Bledsoe,,2-4,,
9:56.0,G. Payton misses 3-pt shot from 22 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by C. Paul
9:45.0,,,2-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
9:21.0,Turnover by G. Antetokounmpo (lost ball; steal by P. Tucker),,2-7,,
9:19.0,,,2-7,,Turnover by C. Paul (lost ball; steal by G. Antetokounmpo)
9:19.0,Shooting foul by P. Tucker (drawn by G. Payton),,2-7,,
9:19.0,G. Payton makes free throw 1 of 2,1,3-7,,
9:19.0,G. Payton makes free throw 2 of 2,1,4-7,,
9:00.0,,,4-7,,Turnover by C. Paul (bad pass; steal by G. Antetokounmpo)
8:57.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,6-7,,
8:43.0,Personal block foul by G. Payton (drawn by C. Paul),,6-7,,
8:36.0,,,6-7,,T. Ariza misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by Team,,6-7,,
8:21.0,K. Middleton makes 3-pt shot from 26 ft,3,9-7,,
8:07.0,,,9-7,,C. Paul misses 3-pt shot from 23 ft
8:05.0,,,9-7,,Offensive rebound by Team
8:05.0,Loose ball foul by G. Payton (drawn by P. Tucker),,9-7,,
7:58.0,Personal foul by G. Payton (drawn by C. Paul),,9-7,,
7:58.0,E. Bledsoe enters the game for G. Payton,,9-7,,
7:50.0,,,9-7,,J. Harden misses 2-pt shot from 10 ft
7:50.0,Defensive rebound by Team,,9-7,,
7:42.0,Turnover by K. Middleton (out of bounds lost ball),,9-7,,
7:32.0,,,9-7,,Shooting foul by K. Middleton (drawn by T. Ariza)
7:32.0,,,9-8,1,T. Ariza makes free throw 1 of 2
7:32.0,,,9-9,1,T. Ariza makes free throw 2 of 2
7:12.0,K. Middleton makes 2-pt shot from 13 ft,2,11-9,,
6:52.0,,,11-9,,R. Anderson misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by G. Antetokounmpo,,11-9,,
6:43.0,E. Bledsoe misses 3-pt shot from 25 ft,,11-9,,
6:37.0,Offensive rebound by J. Henson,,11-9,,
6:37.0,J. Henson misses 2-pt shot at rim,,11-9,,
6:36.0,,,11-9,,Defensive rebound by J. Harden
6:35.0,,,11-9,,Shooting foul by D. Liggins (drawn by J. Harden)
6:35.0,,,11-9,,Houston full timeout
6:35.0,,,11-9,,E. Gordon enters the game for C. Paul
6:35.0,T. Maker enters the game for J. Henson,,11-9,,
6:35.0,,,11-10,1,J. Harden makes free throw 1 of 2
6:35.0,,,11-11,1,J. Harden makes free throw 2 of 2
6:22.0,,,11-11,,Personal foul by T. Ariza (drawn by G. Antetokounmpo)
6:14.0,D. Liggins misses 2-pt shot at rim,,11-11,,
6:13.0,,,11-11,,Defensive rebound by J. Harden
6:02.0,,,11-14,3,J. Harden makes 3-pt shot from 25 ft
5:42.0,E. Bledsoe misses 2-pt shot from 9 ft (block by R. Anderson),,11-14,,
5:37.0,,,11-14,,Defensive rebound by R. Anderson
5:35.0,,,11-16,2,T. Ariza makes 2-pt shot at rim (assist by R. Anderson)
5:07.0,,,11-16,,Personal foul by E. Gordon (drawn by D. Liggins)
5:07.0,,,11-16,,N. Hilario enters the game for R. Anderson
5:07.0,M. Brogdon enters the game for G. Antetokounmpo,,11-16,,
5:00.0,K. Middleton misses 3-pt shot from 23 ft,,11-16,,
4:57.0,,,11-16,,Defensive rebound by P. Tucker
4:52.0,,,11-18,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
4:52.0,Milwaukee full timeout,,11-18,,
4:52.0,,,11-18,,R. Anderson enters the game for P. Tucker
4:38.0,E. Bledsoe makes 2-pt shot from 17 ft (assist by D. Liggins),2,13-18,,
4:21.0,,,13-18,,E. Gordon misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by K. Middleton,,13-18,,
4:07.0,T. Maker misses 2-pt shot at rim,,13-18,,
4:05.0,,,13-18,,Defensive rebound by R. Anderson
4:00.0,,,13-18,,T. Ariza misses 3-pt shot from 22 ft
3:57.0,Defensive rebound by T. Maker,,13-18,,
3:42.0,E. Bledsoe misses 2-pt shot from 9 ft,,13-18,,
3:40.0,,,13-18,,Defensive rebound by N. Hilario
3:37.0,,,13-18,,Turnover by J. Harden (bad pass; steal by D. Liggins)
3:34.0,Offensive charge foul by D. Liggins (drawn by R. Anderson),,13-18,,
3:34.0,Turnover by D. Liggins (offensive foul),,13-18,,
3:34.0,S. Brown enters the game for D. Liggins,,13-18,,
3:23.0,,,13-18,,J. Harden misses 2-pt shot from 1 ft (block by E. Bledsoe)
3:20.0,Defensive rebound by K. Middleton,,13-18,,
3:15.0,E. Bledsoe makes 2-pt shot at rim (assist by K. Middleton),2,15-18,,
3:01.0,,,15-18,,Shooting foul by S. Brown (drawn by J. Harden)
3:01.0,,,15-18,,J. Harden misses free throw 1 of 2
3:01.0,,,15-18,,Offensive rebound by Team
3:01.0,,,15-18,,C. Paul enters the game for T. Ariza
3:01.0,,,15-19,1,J. Harden makes free throw 2 of 2
2:54.0,E. Bledsoe misses 2-pt shot from 10 ft (block by N. Hilario),,15-19,,
2:51.0,,,15-19,,Defensive rebound by J. Harden
2:39.0,Personal foul by T. Maker (drawn by E. Gordon),,15-19,,
2:39.0,,,15-20,1,E. Gordon makes free throw 1 of 2
2:39.0,,,15-21,1,E. Gordon makes free throw 2 of 2
