time,Cleveland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. L. Nance (G. Hill gains possession),,,,Jump ball: N. Jokic vs. L. Nance (G. Hill gains possession)
11:44.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,3-0,,
11:29.0,,,3-0,,J. Murray misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by J. Smith,,3-0,,
11:18.0,J. Smith misses 3-pt shot from 25 ft,,3-0,,
11:15.0,,,3-0,,Defensive rebound by J. Murray
11:08.0,,,3-0,,W. Chandler misses 2-pt shot from 5 ft
11:05.0,Defensive rebound by L. Nance,,3-0,,
11:00.0,G. Hill misses 3-pt shot from 22 ft,,3-0,,
10:56.0,Offensive rebound by R. Hood,,3-0,,
10:53.0,R. Hood misses 2-pt shot from 6 ft,,3-0,,
10:51.0,,,3-0,,Defensive rebound by P. Millsap
10:37.0,,,3-0,,J. Murray misses 2-pt shot from 13 ft
10:34.0,Defensive rebound by L. Nance,,3-0,,
10:27.0,L. Nance makes 2-pt shot from 2 ft (assist by L. James),2,5-0,,
10:05.0,,,5-2,2,N. Jokic makes 2-pt shot from 2 ft
9:50.0,L. Nance makes 2-pt shot from 9 ft (assist by L. James),2,7-2,,
9:41.0,,,7-4,2,G. Harris makes 2-pt shot from 13 ft (assist by N. Jokic)
9:22.0,L. James makes 2-pt shot from 1 ft,2,9-4,,
9:07.0,,,9-6,2,P. Millsap makes 2-pt shot from 12 ft (assist by N. Jokic)
8:54.0,G. Hill makes 2-pt shot from 5 ft,2,11-6,,
8:41.0,,,11-6,,Turnover by G. Harris (bad pass; steal by R. Hood)
8:37.0,R. Hood makes 2-pt shot at rim,2,13-6,,
8:17.0,,,13-6,,N. Jokic misses 2-pt shot from 4 ft
8:13.0,,,13-6,,Offensive rebound by W. Chandler
8:13.0,,,13-8,2,W. Chandler makes 2-pt shot at rim
8:02.0,R. Hood makes 3-pt shot from 22 ft (assist by L. James),3,16-8,,
8:02.0,,,16-8,,Denver full timeout
7:41.0,,,16-8,,Turnover by J. Murray (out of bounds lost ball)
7:28.0,Shooting foul by J. Murray (drawn by L. James),,16-8,,
7:28.0,L. James makes free throw 1 of 2,1,17-8,,
7:28.0,L. James makes free throw 2 of 2,1,18-8,,
7:16.0,,,18-8,,G. Harris misses 2-pt shot from 10 ft
7:14.0,Defensive rebound by L. Nance,,18-8,,
7:10.0,Turnover by L. Nance (bad pass; steal by G. Harris),,18-8,,
7:04.0,,,18-11,3,G. Harris makes 3-pt shot from 25 ft
6:48.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,21-11,,
