time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (K. Lowry gains possession)
11:45.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan),3,3-0,,
11:33.0,,,3-0,,Turnover by D. Collison (bad pass; steal by S. Ibaka)
11:30.0,S. Ibaka makes 2-pt shot at rim,2,5-0,,
11:08.0,,,5-3,3,D. Collison makes 3-pt shot from 26 ft (assist by M. Turner)
10:54.0,Turnover by D. DeRozan (bad pass; steal by T. Young),,5-3,,
10:50.0,,,5-5,2,D. Collison makes 2-pt shot at rim (assist by T. Young)
10:38.0,Offensive foul by S. Ibaka (drawn by T. Young),,5-5,,
10:38.0,Turnover by S. Ibaka (offensive foul),,5-5,,
10:20.0,,,5-7,2,D. Collison makes 2-pt shot at rim (assist by T. Young)
10:10.0,O. Anunoby misses 3-pt shot from 24 ft,,5-7,,
10:07.0,,,5-7,,Defensive rebound by D. Collison
10:02.0,,,5-10,3,M. Turner makes 3-pt shot from 23 ft (assist by D. Collison)
9:39.0,S. Ibaka misses 3-pt shot from 25 ft,,5-10,,
9:36.0,,,5-10,,Defensive rebound by M. Turner
9:32.0,,,5-12,2,V. Oladipo makes 2-pt shot from 1 ft
9:24.0,Toronto full timeout,,5-12,,
9:09.0,O. Anunoby makes 2-pt shot from 3 ft,2,7-12,,
9:00.0,Personal foul by K. Lowry (drawn by B. Bogdanovic),,7-12,,
8:53.0,,,7-12,,B. Bogdanovic misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by J. Valanciunas,,7-12,,
8:43.0,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Lowry),2,9-12,,
8:27.0,,,9-12,,T. Young misses 2-pt shot from 8 ft
8:25.0,Defensive rebound by S. Ibaka,,9-12,,
8:20.0,Shooting foul by B. Bogdanovic (drawn by D. DeRozan),,9-12,,
8:20.0,D. DeRozan misses free throw 1 of 2,,9-12,,
8:20.0,Offensive rebound by Team,,9-12,,
8:20.0,D. DeRozan makes free throw 2 of 2,1,10-12,,
8:06.0,,,10-12,,M. Turner misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by S. Ibaka,,10-12,,
7:43.0,Shooting foul by M. Turner (drawn by J. Valanciunas),,10-12,,
7:43.0,J. Valanciunas makes free throw 1 of 2,1,11-12,,
7:43.0,J. Valanciunas makes free throw 2 of 2,1,12-12,,
7:30.0,,,12-14,2,D. Collison makes 2-pt shot from 16 ft
7:13.0,O. Anunoby makes 2-pt shot from 1 ft (assist by S. Ibaka),2,14-14,,
6:57.0,,,14-14,,B. Bogdanovic misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by K. Lowry,,14-14,,
6:49.0,D. DeRozan misses 3-pt shot from 22 ft,,14-14,,
6:45.0,,,14-14,,Defensive rebound by M. Turner
6:42.0,,,14-17,3,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Collison)
6:25.0,Turnover by D. DeRozan (bad pass; steal by T. Young),,14-17,,
6:16.0,,,14-17,,M. Turner misses 2-pt shot from 1 ft
