time,Phoenix,pts.away,score,pts.home,Indiana
5:04.0,,,82-110,,L. Stephenson misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by A. Peters,,82-110,,
4:57.0,T. Ulis makes 3-pt shot from 25 ft (assist by T. Daniels),3,85-110,,
4:41.0,,,85-112,2,A. Poythress makes 2-pt shot at rim (assist by C. Joseph)
4:29.0,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis),3,88-112,,
4:12.0,,,88-112,,C. Joseph misses 2-pt shot at rim
4:09.0,Defensive rebound by T. Ulis,,88-112,,
4:07.0,J. Jackson makes 2-pt shot from 2 ft (assist by T. Ulis),2,90-112,,
4:06.0,,,90-112,,Indiana full timeout
3:52.0,,,90-112,,J. Young misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by D. Bender,,90-112,,
3:44.0,T. Daniels makes 3-pt shot from 23 ft (assist by J. Jackson),3,93-112,,
3:31.0,Personal foul by J. Jackson (drawn by L. Stephenson),,93-112,,
3:29.0,,,93-112,,Shooting foul by J. Jackson (drawn by L. Stephenson)
3:29.0,,,93-112,,Technical foul by L. Stephenson
3:29.0,A. Peters makes technical free throw,1,94-112,,
3:29.0,,,94-112,,L. Stephenson misses free throw 1 of 2
3:29.0,,,94-112,,Offensive rebound by Team
3:29.0,,,94-112,,B. Bogdanovic enters the game for A. Poythress
3:29.0,,,94-112,,A. Jefferson enters the game for B. Moore
3:29.0,,,94-112,,L. Stephenson misses free throw 2 of 2
3:27.0,Defensive rebound by D. Bender,,94-112,,
3:17.0,Shooting foul by A. Jefferson (drawn by J. Jackson),,94-112,,
3:17.0,,,94-112,,D. Sabonis enters the game for A. Jefferson
3:17.0,J. Jackson makes free throw 1 of 2,1,95-112,,
3:17.0,,,95-112,,V. Oladipo enters the game for L. Stephenson
3:17.0,J. Jackson makes free throw 2 of 2,1,96-112,,
3:04.0,Personal foul by D. Bender (drawn by V. Oladipo),,96-112,,
3:04.0,,,96-113,1,V. Oladipo makes free throw 1 of 2
3:04.0,,,96-114,1,V. Oladipo makes free throw 2 of 2
2:46.0,D. Bender misses 3-pt shot from 23 ft,,96-114,,
2:43.0,,,96-114,,Defensive rebound by C. Joseph
2:27.0,,,96-114,,Turnover by D. Sabonis (bad pass; steal by T. Daniels)
2:16.0,T. Daniels makes 3-pt shot from 27 ft (assist by A. Peters),3,99-114,,
2:06.0,Personal foul by J. Jackson (drawn by V. Oladipo),,99-114,,
2:06.0,,,99-115,1,V. Oladipo makes free throw 1 of 2
2:06.0,,,99-116,1,V. Oladipo makes free throw 2 of 2
1:53.0,A. Peters misses 3-pt shot from 25 ft,,99-116,,
1:48.0,,,99-116,,Defensive rebound by V. Oladipo
1:32.0,,,99-116,,V. Oladipo misses 3-pt shot from 27 ft
1:29.0,Defensive rebound by D. Bender,,99-116,,
1:23.0,T. Ulis misses 3-pt shot from 24 ft,,99-116,,
1:20.0,,,99-116,,Defensive rebound by C. Joseph
1:04.0,,,99-116,,C. Joseph misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by Team,,99-116,,
0:53.0,J. Jackson misses 3-pt shot from 27 ft,,99-116,,
0:50.0,,,99-116,,Defensive rebound by B. Bogdanovic
0:30.0,,,99-116,,V. Oladipo misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by A. Peters,,99-116,,
0:23.0,J. Jackson makes 2-pt shot from 2 ft,2,101-116,,
