time,Phoenix,pts.away,score,pts.home,Indiana
0:43.0,Personal foul by I. Canaan (drawn by L. Stephenson),,16-29,,
0:43.0,,,16-30,1,L. Stephenson makes free throw 1 of 2
0:43.0,,,16-30,,L. Stephenson misses free throw 2 of 2
0:42.0,Defensive rebound by G. Monroe,,16-30,,
0:27.0,Turnover by D. Booker (lost ball; steal by V. Oladipo),,16-30,,
0:22.0,,,16-32,2,V. Oladipo makes 2-pt shot at rim (assist by L. Stephenson)
0:05.0,G. Monroe makes 2-pt shot from 1 ft (assist by D. Booker),2,18-32,,
0:02.0,,,18-32,,C. Joseph misses 3-pt shot from 27 ft
0:02.0,,,18-32,,Offensive rebound by A. Jefferson
0:00.0,,,18-32,,A. Jefferson misses 2-pt shot at rim
0:00.0,,,18-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,18-32,,A. Jefferson misses 2-pt shot from 13 ft
11:36.0,Defensive rebound by J. Jackson,,18-32,,
11:22.0,G. Monroe makes 2-pt shot at rim (assist by I. Canaan),2,20-32,,
11:09.0,,,20-32,,T. Leaf misses 2-pt shot from 15 ft
11:08.0,Defensive rebound by J. Dudley,,20-32,,
11:00.0,I. Canaan misses 3-pt shot from 28 ft,,20-32,,
10:57.0,,,20-32,,Defensive rebound by T. Leaf
10:44.0,,,20-32,,J. Young misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by G. Monroe,,20-32,,
10:30.0,J. Jackson makes 2-pt shot from 15 ft,2,22-32,,
10:05.0,,,22-35,3,L. Stephenson makes 3-pt shot from 23 ft (assist by C. Joseph)
9:43.0,T. Daniels makes 3-pt shot from 28 ft (assist by G. Monroe),3,25-35,,
9:27.0,,,25-35,,Turnover by J. Young (step out of bounds)
9:18.0,I. Canaan misses 2-pt shot from 11 ft,,25-35,,
9:18.0,Offensive rebound by Team,,25-35,,
9:18.0,,,25-35,,Loose ball foul by A. Jefferson (drawn by G. Monroe)
9:13.0,Turnover by J. Jackson (lost ball; steal by L. Stephenson),,25-35,,
9:09.0,,,25-37,2,T. Leaf makes 2-pt shot from 1 ft (assist by L. Stephenson)
8:43.0,G. Monroe makes 2-pt shot at rim (assist by J. Dudley),2,27-37,,
8:31.0,,,27-37,,C. Joseph misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by I. Canaan,,27-37,,
8:25.0,J. Jackson misses 2-pt shot from 4 ft (block by L. Stephenson),,27-37,,
8:25.0,Offensive rebound by Team,,27-37,,
8:16.0,,,27-37,,Personal block foul by T. Leaf (drawn by I. Canaan)
8:16.0,,,27-37,,T. Young enters the game for T. Leaf
8:07.0,I. Canaan misses 3-pt shot from 24 ft,,27-37,,
8:05.0,,,27-37,,Defensive rebound by L. Stephenson
8:02.0,,,27-39,2,J. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:36.0,Shooting foul by J. Young (drawn by J. Jackson),,27-39,,
7:36.0,J. Jackson misses free throw 1 of 2,,27-39,,
7:36.0,Offensive rebound by Team,,27-39,,
7:36.0,J. Jackson makes free throw 2 of 2,1,28-39,,
7:25.0,,,28-41,2,A. Jefferson makes 2-pt shot from 12 ft (assist by C. Joseph)
7:09.0,J. Jackson misses 3-pt shot from 27 ft,,28-41,,
7:06.0,,,28-41,,Defensive rebound by L. Stephenson
6:46.0,,,28-43,2,J. Young makes 2-pt shot from 12 ft (assist by A. Jefferson)
6:44.0,Phoenix full timeout,,28-43,,
6:44.0,,,28-43,,D. Sabonis enters the game for A. Jefferson
6:20.0,T. Daniels misses 3-pt shot from 30 ft,,28-43,,
6:18.0,,,28-43,,Defensive rebound by L. Stephenson
6:13.0,,,28-43,,T. Young misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by I. Canaan,,28-43,,
5:59.0,T. Daniels makes 3-pt shot from 23 ft (assist by I. Canaan),3,31-43,,
5:48.0,Personal foul by J. Jackson (drawn by L. Stephenson),,31-43,,
5:48.0,,,31-43,,V. Oladipo enters the game for L. Stephenson
5:48.0,,,31-43,,B. Bogdanovic enters the game for J. Young
5:48.0,T. Warren enters the game for J. Jackson,,31-43,,
5:36.0,,,31-43,,V. Oladipo misses 2-pt shot from 17 ft
5:34.0,,,31-43,,Offensive rebound by D. Sabonis
5:34.0,,,31-43,,Turnover by D. Sabonis (traveling)
5:18.0,I. Canaan misses 2-pt shot from 2 ft,,31-43,,
5:15.0,Offensive rebound by I. Canaan,,31-43,,
5:15.0,I. Canaan makes 2-pt shot at rim,2,33-43,,
4:56.0,,,33-45,2,C. Joseph makes 2-pt shot from 17 ft (assist by D. Sabonis)
4:56.0,,,33-45,,Shooting foul by T. Daniels (drawn by C. Joseph)
4:56.0,T. Chandler enters the game for G. Monroe,,33-45,,
4:56.0,D. Booker enters the game for I. Canaan,,33-45,,
4:56.0,,,33-46,1,C. Joseph makes free throw 1 of 1
4:32.0,T. Warren misses 3-pt shot from 28 ft,,33-46,,
4:28.0,Offensive rebound by D. Booker,,33-46,,
4:28.0,D. Booker misses 2-pt shot at rim,,33-46,,
4:27.0,,,33-46,,Defensive rebound by D. Sabonis
4:27.0,,,33-46,,Turnover by D. Sabonis (out of bounds lost ball)
4:22.0,D. Booker makes 2-pt shot from 10 ft (assist by J. Dudley),2,35-46,,
4:22.0,Shooting foul by D. Sabonis (drawn by D. Booker),,35-46,,
4:22.0,D. Bender enters the game for J. Dudley,,35-46,,
4:22.0,D. Booker makes free throw 1 of 1,1,36-46,,
4:10.0,,,36-49,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by C. Joseph)
3:45.0,T. Warren misses 2-pt shot from 5 ft (block by B. Bogdanovic),,36-49,,
3:43.0,,,36-49,,Defensive rebound by D. Sabonis
3:40.0,,,36-52,3,V. Oladipo makes 3-pt shot from 27 ft
3:28.0,Offensive foul by T. Chandler (drawn by C. Joseph),,36-52,,
3:28.0,Turnover by T. Chandler (offensive foul),,36-52,,
3:28.0,J. Jackson enters the game for T. Chandler,,36-52,,
3:14.0,,,36-52,,Turnover by B. Bogdanovic (lost ball; steal by T. Warren)
3:09.0,J. Jackson makes 2-pt shot from 1 ft (assist by D. Booker),2,38-52,,
2:52.0,,,38-52,,T. Young misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by D. Booker,,38-52,,
2:44.0,T. Daniels misses 3-pt shot from 26 ft,,38-52,,
2:44.0,,,38-52,,Defensive rebound by Team
2:44.0,Loose ball foul by T. Warren (drawn by B. Bogdanovic),,38-52,,
2:44.0,,,38-52,,Indiana full timeout
2:32.0,Personal foul by T. Warren (drawn by T. Young),,38-52,,
2:27.0,,,38-54,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
2:27.0,Shooting block foul by D. Bender (drawn by D. Sabonis),,38-54,,
2:27.0,G. Monroe enters the game for T. Warren,,38-54,,
2:27.0,,,38-54,,D. Sabonis misses free throw 1 of 1
2:24.0,Defensive rebound by G. Monroe,,38-54,,
2:19.0,,,38-54,,Personal foul by B. Bogdanovic (drawn by D. Booker)
2:19.0,D. Booker makes free throw 1 of 2,1,39-54,,
2:19.0,,,39-54,,A. Jefferson enters the game for D. Sabonis
2:19.0,D. Booker makes free throw 2 of 2,1,40-54,,
2:02.0,,,40-54,,B. Bogdanovic misses 3-pt shot from 22 ft
2:00.0,Defensive rebound by D. Bender,,40-54,,
1:52.0,D. Booker misses 2-pt shot from 22 ft,,40-54,,
1:50.0,,,40-54,,Defensive rebound by B. Bogdanovic
1:42.0,,,40-56,2,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic)
1:27.0,Turnover by T. Daniels (bad pass; steal by B. Bogdanovic),,40-56,,
1:23.0,,,40-58,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:07.0,D. Bender misses 3-pt shot from 27 ft,,40-58,,
1:07.0,,,40-58,,Defensive rebound by Team
1:07.0,J. Dudley enters the game for D. Bender,,40-58,,
0:50.0,,,40-58,,Turnover by V. Oladipo (out of bounds lost ball)
0:41.0,Turnover by D. Booker (bad pass; steal by T. Young),,40-58,,
0:36.0,,,40-60,2,V. Oladipo makes 2-pt shot at rim (assist by B. Bogdanovic)
0:30.0,,,40-60,,Personal foul by C. Joseph (drawn by T. Daniels)
0:30.0,T. Daniels makes free throw 1 of 2,1,41-60,,
0:30.0,T. Daniels makes free throw 2 of 2,1,42-60,,
0:16.0,,,42-63,3,V. Oladipo makes 3-pt shot from 27 ft
0:04.0,,,42-63,,Personal foul by A. Jefferson (drawn by D. Booker)
0:04.0,D. Booker makes free throw 1 of 2,1,43-63,,
0:04.0,D. Booker makes free throw 2 of 2,1,44-63,,
0:00.0,,,44-63,,C. Joseph misses 2-pt shot from 2 ft
0:00.0,,,44-63,,Offensive rebound by Team
