time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (D. Green gains possession)
11:47.0,K. Durant makes 2-pt shot from 21 ft (assist by D. Green),2,2-0,,
11:31.0,,,2-2,2,B. Ingram makes 2-pt shot from 18 ft (assist by L. Nance)
11:17.0,Turnover by D. Green (bad pass; steal by L. Nance),,2-2,,
11:12.0,,,2-2,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by S. Curry,,2-2,,
11:04.0,K. Durant misses 3-pt shot from 28 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by L. Nance
10:53.0,,,2-2,,B. Ingram misses 2-pt shot from 20 ft
10:50.0,Defensive rebound by Z. Pachulia,,2-2,,
10:34.0,S. Curry misses 2-pt shot from 17 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by B. Ingram
10:30.0,,,2-2,,Offensive foul by B. Ingram (drawn by K. Durant)
10:30.0,,,2-2,,Turnover by B. Ingram (offensive foul)
10:14.0,Turnover by Z. Pachulia (bad pass; steal by B. Lopez),,2-2,,
10:06.0,,,2-2,,K. Caldwell-Pope misses 2-pt shot from 11 ft
10:02.0,Defensive rebound by S. Curry,,2-2,,
9:58.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,5-2,,
9:38.0,,,5-2,,L. Nance misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by Z. Pachulia,,5-2,,
9:27.0,D. Green makes 2-pt shot from 2 ft,2,7-2,,
9:16.0,,,7-5,3,B. Ingram makes 3-pt shot from 24 ft (assist by L. Nance)
8:57.0,Turnover by K. Durant (step out of bounds),,7-5,,
8:48.0,,,7-5,,L. Nance misses 2-pt shot from 17 ft
8:45.0,Defensive rebound by Z. Pachulia,,7-5,,
8:39.0,Turnover by S. Curry (bad pass; steal by L. Nance),,7-5,,
8:33.0,,,7-7,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Nance)
8:20.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,9-7,,
8:07.0,,,9-7,,K. Caldwell-Pope misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by D. Green,,9-7,,
8:03.0,Turnover by D. Green (out of bounds lost ball),,9-7,,
7:51.0,,,9-7,,Turnover by B. Lopez (bad pass; steal by D. Green)
7:36.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant),2,11-7,,
7:25.0,,,11-7,,B. Lopez misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by K. Thompson,,11-7,,
7:03.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by K. Durant),2,13-7,,
6:51.0,,,13-7,,Turnover by B. Ingram (bad pass)
6:51.0,,,13-7,,LA Lakers full timeout
6:39.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,15-7,,
