time,New York,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: Z. Pachulia vs. E. Kanter (M. Beasley gains possession)
11:37.0,Shooting foul by S. Curry (drawn by J. Jack),,0-0,,
11:37.0,J. Jack makes free throw 1 of 2,1,1-0,,
11:37.0,J. Jack makes free throw 2 of 2,1,2-0,,
11:26.0,,,2-0,,Z. Pachulia misses 2-pt shot from 17 ft
11:23.0,,,2-0,,Offensive rebound by K. Durant
11:19.0,,,2-0,,D. Green misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by T. Hardaway,,2-0,,
11:12.0,Turnover by J. Jack (bad pass; steal by D. Green),,2-0,,
11:06.0,,,2-0,,S. Curry misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by E. Kanter,,2-0,,
10:54.0,C. Lee makes 2-pt shot from 2 ft,2,4-0,,
10:43.0,,,4-2,2,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry)
10:23.0,Shooting foul by D. Green (drawn by M. Beasley),,4-2,,
10:23.0,M. Beasley makes free throw 1 of 2,1,5-2,,
10:23.0,M. Beasley makes free throw 2 of 2,1,6-2,,
10:09.0,,,6-5,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
9:52.0,C. Lee makes 2-pt shot from 16 ft (assist by E. Kanter),2,8-5,,
9:44.0,,,8-5,,Turnover by K. Durant (step out of bounds)
9:25.0,E. Kanter misses 2-pt shot from 4 ft,,8-5,,
9:23.0,,,8-5,,Defensive rebound by Z. Pachulia
9:12.0,,,8-5,,Turnover by S. Curry (bad pass)
8:52.0,E. Kanter makes 2-pt shot from 1 ft (assist by M. Beasley),2,10-5,,
8:36.0,,,10-5,,S. Curry misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by M. Beasley,,10-5,,
8:28.0,J. Jack makes 2-pt shot from 11 ft,2,12-5,,
8:14.0,,,12-7,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
8:01.0,M. Beasley misses 2-pt shot from 9 ft,,12-7,,
7:57.0,,,12-7,,Defensive rebound by S. Curry
7:55.0,,,12-9,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry)
7:40.0,J. Jack makes 3-pt shot from 25 ft (assist by E. Kanter),3,15-9,,
7:26.0,,,15-9,,S. Curry misses 3-pt shot from 22 ft
7:22.0,Defensive rebound by E. Kanter,,15-9,,
7:13.0,E. Kanter makes 2-pt shot from 6 ft (assist by C. Lee),2,17-9,,
7:03.0,,,17-9,,Turnover by Z. Pachulia (offensive goaltending)
6:54.0,T. Hardaway misses 3-pt shot from 24 ft,,17-9,,
6:42.0,,,17-9,,Defensive rebound by S. Curry
6:40.0,,,17-11,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
6:39.0,C. Lee makes 2-pt shot from 10 ft (assist by T. Hardaway),2,19-11,,
6:23.0,,,19-11,,K. Thompson misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by E. Kanter,,19-11,,
6:02.0,E. Kanter misses 2-pt shot from 18 ft,,19-11,,
5:59.0,,,19-11,,Defensive rebound by S. Curry
5:51.0,,,19-13,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Green)
5:34.0,M. Beasley makes 2-pt shot from 6 ft,2,21-13,,
5:15.0,,,21-13,,S. Curry misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by E. Kanter,,21-13,,
5:04.0,T. Hardaway misses 3-pt shot from 25 ft (block by K. Durant),,21-13,,
4:59.0,,,21-13,,Defensive rebound by Z. Pachulia
4:55.0,,,21-13,,K. Thompson misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by C. Lee,,21-13,,
4:48.0,Turnover by C. Lee (bad pass),,21-13,,
