time,Portland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. J. Nurkic (A. Crabbe gains possession),,,,Jump ball: T. Zeller vs. J. Nurkic (A. Crabbe gains possession)
11:41.0,,,0-2,2,T. Zeller makes 2-pt shot from 8 ft (assist by S. Dinwiddie)
11:19.0,J. Nurkic misses 2-pt shot from 19 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Carroll
11:07.0,,,0-2,,A. Crabbe misses 2-pt shot from 21 ft
11:03.0,Defensive rebound by N. Vonleh,,0-2,,
10:58.0,C. McCollum misses 2-pt shot from 5 ft (block by T. Zeller),,0-2,,
10:58.0,Offensive rebound by Team,,0-2,,
10:51.0,Turnover by D. Lillard (bad pass; steal by S. Dinwiddie),,0-2,,
10:36.0,,,0-2,,S. Dinwiddie misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by N. Vonleh,,0-2,,
10:22.0,J. Nurkic makes 2-pt shot from 7 ft,2,2-2,,
10:03.0,,,2-4,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
9:48.0,C. McCollum misses 2-pt shot from 14 ft,,2-4,,
9:46.0,,,2-4,,Defensive rebound by D. Carroll
9:33.0,,,2-6,2,D. Carroll makes 2-pt shot from 13 ft
9:17.0,D. Lillard makes 2-pt shot from 19 ft (assist by J. Nurkic),2,4-6,,
9:01.0,,,4-9,3,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
8:46.0,C. McCollum misses 2-pt shot from 14 ft,,4-9,,
8:43.0,,,4-9,,Defensive rebound by R. Hollis-Jefferson
8:39.0,,,4-9,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by J. Nurkic,,4-9,,
8:29.0,P. Connaughton makes 2-pt shot from 16 ft (assist by D. Lillard),2,6-9,,
8:12.0,,,6-11,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
7:54.0,Turnover by D. Lillard (bad pass),,6-11,,
7:40.0,,,6-13,2,A. Crabbe makes 2-pt shot from 13 ft (assist by D. Carroll)
7:27.0,J. Nurkic misses 2-pt shot from 21 ft,,6-13,,
7:24.0,,,6-13,,Defensive rebound by D. Carroll
7:22.0,Shooting block foul by P. Connaughton (drawn by D. Carroll),,6-13,,
7:22.0,,,6-13,,D. Carroll misses free throw 1 of 2
7:22.0,,,6-13,,Offensive rebound by Team
7:22.0,,,6-13,,D. Carroll misses free throw 2 of 2
7:19.0,Defensive rebound by N. Vonleh,,6-13,,
7:10.0,D. Lillard makes 2-pt shot from 2 ft,2,8-13,,
6:52.0,,,8-15,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Carroll)
6:51.0,Portland full timeout,,8-15,,
6:39.0,C. McCollum makes 2-pt shot from 13 ft,2,10-15,,
6:23.0,,,10-17,2,D. Carroll makes 2-pt shot from 13 ft
6:14.0,C. McCollum makes 2-pt shot from 9 ft (assist by D. Lillard),2,12-17,,
6:02.0,,,12-17,,T. Zeller misses 2-pt shot from 2 ft (block by J. Nurkic)
6:02.0,,,12-17,,Offensive rebound by Team
5:51.0,,,12-19,2,S. Dinwiddie makes 2-pt shot from 9 ft
5:41.0,Shooting foul by T. Zeller (drawn by J. Nurkic),,12-19,,
5:41.0,J. Nurkic makes free throw 1 of 2,1,13-19,,
5:41.0,J. Layman enters the game for P. Connaughton,,13-19,,
5:41.0,E. Turner enters the game for C. McCollum,,13-19,,
5:41.0,J. Nurkic misses free throw 2 of 2,,13-19,,
5:38.0,,,13-19,,Defensive rebound by R. Hollis-Jefferson
5:29.0,,,13-21,2,D. Carroll makes 2-pt shot from 13 ft
5:06.0,N. Vonleh misses 2-pt shot from 7 ft,,13-21,,
5:03.0,Offensive rebound by N. Vonleh,,13-21,,
5:03.0,N. Vonleh misses 2-pt shot at rim,,13-21,,
