time,Orlando,pts.away,score,pts.home,Brooklyn
3:00.0,Offensive rebound by J. Simmons,,23-19,,
2:59.0,Turnover by J. Simmons (bad pass; steal by S. Dinwiddie),,23-19,,
2:55.0,,,23-19,,S. Dinwiddie misses 2-pt shot at rim
2:52.0,,,23-19,,Offensive rebound by T. Booker
2:51.0,,,23-21,2,T. Booker makes 2-pt shot at rim
2:36.0,Offensive foul by B. Biyombo (drawn by J. Harris),,23-21,,
2:36.0,Turnover by B. Biyombo (offensive foul),,23-21,,
2:26.0,,,23-21,,Offensive foul by T. Booker (drawn by J. Simmons)
2:26.0,,,23-21,,Turnover by T. Booker (offensive foul)
2:14.0,E. Fournier misses 2-pt shot from 2 ft,,23-21,,
2:10.0,Offensive rebound by M. Hezonja,,23-21,,
2:10.0,M. Hezonja misses 2-pt shot at rim,,23-21,,
2:10.0,,,23-21,,Defensive rebound by Q. Acy
2:05.0,,,23-21,,C. LeVert misses 2-pt shot from 1 ft (block by B. Biyombo)
2:01.0,Defensive rebound by E. Fournier,,23-21,,
2:00.0,M. Hezonja misses 3-pt shot from 25 ft,,23-21,,
2:00.0,,,23-21,,Defensive rebound by Q. Acy
1:45.0,,,23-23,2,T. Booker makes 2-pt shot from 1 ft (assist by Q. Acy)
1:21.0,M. Hezonja misses 2-pt shot from 20 ft,,23-23,,
1:18.0,,,23-23,,Defensive rebound by J. Harris
1:07.0,,,23-26,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by T. Booker)
0:51.0,J. Simmons makes 2-pt shot from 15 ft,2,25-26,,
0:40.0,,,25-29,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
0:28.0,J. Simmons misses 3-pt shot from 24 ft,,25-29,,
0:25.0,,,25-29,,Defensive rebound by T. Booker
0:09.0,,,25-29,,Offensive foul by T. Booker (drawn by J. Simmons)
0:09.0,,,25-29,,D. Carroll enters the game for C. LeVert
0:09.0,,,25-29,,Turnover by T. Booker (offensive foul)
0:04.0,Shooting foul by D. Carroll (drawn by E. Fournier),,25-29,,
0:04.0,E. Fournier makes free throw 1 of 2,1,26-29,,
0:04.0,E. Fournier makes free throw 2 of 2,1,27-29,,
0:00.0,,,27-29,,S. Dinwiddie misses 3-pt shot from 30 ft
0:00.0,,,27-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Augustin makes 2-pt shot from 7 ft,2,29-29,,
11:15.0,,,29-31,2,C. LeVert makes 2-pt shot from 8 ft
11:01.0,J. Simmons misses 2-pt shot from 13 ft,,29-31,,
10:57.0,,,29-31,,Defensive rebound by J. Harris
10:51.0,,,29-31,,S. Dinwiddie misses 2-pt shot from 11 ft
10:49.0,,,29-31,,Offensive rebound by J. Harris
10:48.0,Personal foul by M. Hezonja (drawn by J. Harris),,29-31,,
10:39.0,,,29-31,,C. LeVert misses 3-pt shot from 24 ft
10:37.0,,,29-31,,Offensive rebound by T. Mozgov
10:31.0,Personal foul by M. Hezonja (drawn by T. Booker),,29-31,,
10:31.0,M. Speights enters the game for M. Hezonja,,29-31,,
10:21.0,,,29-31,,T. Booker misses 2-pt shot from 6 ft
10:18.0,,,29-31,,Offensive rebound by T. Mozgov
10:18.0,,,29-33,2,T. Mozgov makes 2-pt shot at rim
10:11.0,D. Augustin misses 2-pt shot from 15 ft,,29-33,,
