time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. C. Capela (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. C. Capela (A. Aminu gains possession)
11:36.0,,,0-3,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
11:21.0,J. Harden makes 2-pt shot from 1 ft (assist by C. Capela),2,2-3,,
11:21.0,Shooting foul by J. Nurkic (drawn by J. Harden),,2-3,,
11:21.0,J. Harden makes free throw 1 of 1,1,3-3,,
11:01.0,,,3-6,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Harkless)
10:42.0,J. Harden misses 2-pt shot from 1 ft,,3-6,,
10:40.0,,,3-6,,Defensive rebound by J. Nurkic
10:35.0,,,3-6,,D. Lillard misses 3-pt shot from 28 ft
10:32.0,Defensive rebound by T. Ariza,,3-6,,
10:21.0,Shooting foul by D. Lillard (drawn by J. Harden),,3-6,,
10:21.0,J. Harden misses free throw 1 of 2,,3-6,,
10:21.0,Offensive rebound by Team,,3-6,,
10:21.0,J. Harden makes free throw 2 of 2,1,4-6,,
10:04.0,,,4-6,,A. Aminu misses 3-pt shot from 26 ft
10:01.0,,,4-6,,Offensive rebound by J. Nurkic
9:59.0,,,4-6,,C. McCollum misses 3-pt shot from 29 ft
9:57.0,Defensive rebound by C. Paul,,4-6,,
9:48.0,J. Harden misses 3-pt shot from 24 ft,,4-6,,
9:46.0,,,4-6,,Defensive rebound by J. Nurkic
9:27.0,,,4-6,,C. McCollum misses 2-pt shot from 3 ft (block by C. Capela)
9:24.0,Defensive rebound by C. Capela,,4-6,,
9:12.0,J. Harden makes 3-pt shot from 26 ft,3,7-6,,
8:57.0,,,7-6,,A. Aminu misses 2-pt shot from 4 ft
8:56.0,,,7-6,,Offensive rebound by J. Nurkic
8:56.0,,,7-8,2,J. Nurkic makes 2-pt shot from 2 ft
8:38.0,J. Harden makes 2-pt shot from 1 ft,2,9-8,,
8:29.0,,,9-10,2,D. Lillard makes 2-pt shot from 1 ft
8:06.0,C. Paul misses 2-pt shot from 1 ft,,9-10,,
8:04.0,,,9-10,,Defensive rebound by J. Nurkic
8:01.0,,,9-10,,Shooting foul by T. Ariza (drawn by M. Harkless)
8:01.0,,,9-11,1,M. Harkless makes free throw 1 of 2
8:01.0,,,9-12,1,M. Harkless makes free throw 2 of 2
7:43.0,J. Harden misses 2-pt shot from 3 ft (block by J. Nurkic),,9-12,,
7:41.0,,,9-12,,Defensive rebound by D. Lillard
7:37.0,,,9-12,,C. McCollum misses 2-pt shot from 8 ft
7:34.0,Defensive rebound by T. Ariza,,9-12,,
7:27.0,Turnover by J. Harden (bad pass; steal by J. Nurkic),,9-12,,
7:22.0,,,9-12,,Turnover by J. Nurkic (bad pass)
7:13.0,C. Capela makes 2-pt shot from 4 ft (assist by C. Paul),2,11-12,,
6:56.0,,,11-15,3,M. Harkless makes 3-pt shot from 26 ft (assist by A. Aminu)
6:36.0,C. Paul makes 2-pt shot from 12 ft,2,13-15,,
6:20.0,,,13-17,2,J. Nurkic makes 2-pt shot from 6 ft
6:20.0,,,13-17,,Shooting foul by P. Tucker (drawn by J. Nurkic)
6:20.0,,,13-17,,Portland full timeout
6:20.0,L. Mbah a Moute enters the game for P. Tucker,,13-17,,
6:20.0,E. Gordon enters the game for C. Paul,,13-17,,
