time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Capela (J. Martin gains possession),,,,Jump ball: M. Gasol vs. C. Capela (J. Martin gains possession)
11:39.0,,,0-0,,Turnover by J. Martin (bad pass; steal by C. Capela)
11:20.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
11:01.0,,,2-0,,Loose ball foul by J. Ennis (drawn by J. Harden)
11:00.0,,,2-0,,M. Gasol misses 2-pt shot from 7 ft (block by R. Anderson)
11:00.0,Defensive rebound by Team,,2-0,,
10:45.0,R. Anderson misses 3-pt shot from 26 ft,,2-0,,
10:45.0,,,2-0,,Defensive rebound by J. Ennis
10:34.0,,,2-3,3,J. Ennis makes 3-pt shot from 24 ft (assist by A. Harrison)
10:13.0,J. Harden misses 3-pt shot from 23 ft,,2-3,,
10:13.0,Offensive rebound by C. Capela,,2-3,,
10:06.0,T. Ariza makes 3-pt shot from 23 ft (assist by C. Capela),2,5-3,,
9:40.0,,,5-3,,M. Conley misses 3-pt shot from 28 ft
9:36.0,Defensive rebound by C. Capela,,5-3,,
9:23.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza),2,7-3,,
9:00.0,,,7-3,,Shooting foul by C. Capela (drawn by M. Gasol)
9:00.0,,,7-3,,M. Gasol misses free throw 1 of 2
9:00.0,,,7-3,,Offensive rebound by Team
9:00.0,,,7-4,1,M. Gasol makes free throw 2 of 2
8:48.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,9-4,,
8:19.0,,,9-4,,M. Gasol misses 2-pt shot from 12 ft
8:17.0,Defensive rebound by T. Ariza,,9-4,,
8:00.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,12-4,,
7:34.0,,,12-6,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
7:13.0,C. Capela misses 2-pt shot from 5 ft (block by M. Gasol),,12-6,,
7:11.0,,,12-6,,Defensive rebound by J. Ennis
7:07.0,,,12-8,2,J. Martin makes 2-pt shot at rim (assist by J. Ennis)
6:57.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza),3,15-8,,
6:50.0,Personal foul by C. Capela (drawn by A. Harrison),,15-8,,
6:50.0,,,15-8,,Memphis full timeout
6:50.0,P. Tucker enters the game for C. Capela,,15-8,,
6:34.0,,,15-8,,M. Gasol misses 2-pt shot from 6 ft
6:30.0,Defensive rebound by R. Anderson,,15-8,,
6:24.0,R. Anderson misses 3-pt shot from 28 ft,,15-8,,
6:22.0,,,15-8,,Defensive rebound by J. Martin
6:10.0,,,15-11,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol)
5:55.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,18-11,,
5:44.0,,,18-13,2,M. Conley makes 2-pt shot at rim
5:20.0,J. Harden makes 2-pt shot from 1 ft,2,20-13,,
5:04.0,,,20-13,,A. Harrison misses 2-pt shot from 21 ft
5:03.0,,,20-13,,T. Evans enters the game for J. Ennis
5:03.0,N. Hilario enters the game for L. Mbah a Moute,,20-13,,
5:02.0,Offensive rebound by P. Tucker,,20-13,,
4:57.0,Jump ball: A. Harrison vs. P. Tucker (M. Gasol gains possession),,,,Jump ball: A. Harrison vs. P. Tucker (M. Gasol gains possession)
4:57.0,Turnover by P. Tucker (turnover; steal by A. Harrison),,20-13,,
4:54.0,Personal foul by N. Hilario (drawn by M. Gasol),,20-13,,
4:44.0,,,20-13,,M. Conley misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by P. Tucker,,20-13,,
4:33.0,J. Harden makes 2-pt shot from 2 ft,2,22-13,,
4:33.0,Shooting foul by J. Martin (drawn by J. Harden),,22-13,,
