time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Johnson vs. M. Plumlee (G. Harris gains possession),,,,Jump ball: D. Johnson vs. M. Plumlee (G. Harris gains possession)
11:39.0,Turnover by G. Harris (bad pass),,0-0,,
11:17.0,,,0-0,,A. Roberson misses 2-pt shot at rim
11:13.0,Defensive rebound by M. Plumlee,,0-0,,
11:09.0,Turnover by M. Plumlee (bad pass; steal by A. Roberson),,0-0,,
10:58.0,,,0-2,2,D. Johnson makes 2-pt shot from 4 ft
10:37.0,G. Harris misses 3-pt shot from 25 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by C. Anthony
10:26.0,,,0-4,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:06.0,J. Murray misses 3-pt shot from 25 ft,,0-4,,
10:03.0,,,0-4,,Defensive rebound by R. Westbrook
9:56.0,,,0-6,2,R. Westbrook makes 2-pt shot from 17 ft (assist by A. Roberson)
9:56.0,,,0-6,,Shooting foul by J. Murray (drawn by R. Westbrook)
9:56.0,,,0-6,,R. Westbrook misses free throw 1 of 1
9:54.0,Defensive rebound by M. Plumlee,,0-6,,
9:38.0,M. Plumlee misses 2-pt shot from 1 ft (block by P. George),,0-6,,
9:34.0,,,0-6,,Defensive rebound by P. George
9:28.0,,,0-6,,C. Anthony misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by W. Chandler,,0-6,,
9:02.0,M. Plumlee makes 2-pt shot from 5 ft,2,2-6,,
8:40.0,,,2-8,2,R. Westbrook makes 2-pt shot from 17 ft
8:28.0,Turnover by G. Harris (lost ball; steal by R. Westbrook),,2-8,,
8:23.0,,,2-10,2,D. Johnson makes 2-pt shot at rim (assist by R. Westbrook)
8:23.0,Denver full timeout,,2-10,,
8:15.0,T. Craig makes 3-pt shot from 25 ft (assist by G. Harris),3,5-10,,
7:49.0,,,5-12,2,C. Anthony makes 2-pt shot from 23 ft
7:28.0,M. Plumlee misses 2-pt shot from 13 ft,,5-12,,
7:27.0,,,5-12,,Defensive rebound by R. Westbrook
7:17.0,Personal foul by T. Craig (drawn by D. Johnson),,5-12,,
7:06.0,,,5-12,,R. Westbrook misses 2-pt shot from 18 ft
7:02.0,Defensive rebound by M. Plumlee,,5-12,,
6:44.0,J. Murray misses 2-pt shot from 17 ft,,5-12,,
6:41.0,,,5-12,,Defensive rebound by A. Roberson
6:35.0,,,5-12,,R. Westbrook misses 2-pt shot at rim
6:34.0,Defensive rebound by M. Plumlee,,5-12,,
6:30.0,,,5-12,,Shooting block foul by A. Roberson (drawn by T. Craig)
6:30.0,T. Craig misses free throw 1 of 2,,5-12,,
6:30.0,Offensive rebound by Team,,5-12,,
6:30.0,T. Craig makes free throw 2 of 2,1,6-12,,
6:13.0,,,6-12,,P. George misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by M. Plumlee,,6-12,,
5:58.0,W. Chandler misses 2-pt shot from 7 ft,,6-12,,
5:53.0,Offensive rebound by M. Plumlee,,6-12,,
5:53.0,Turnover by M. Plumlee (bad pass; steal by D. Johnson),,6-12,,
5:48.0,,,6-14,2,D. Johnson makes 2-pt shot at rim (assist by C. Anthony)
5:33.0,Offensive foul by M. Plumlee (drawn by A. Roberson),,6-14,,
5:33.0,Turnover by M. Plumlee (offensive foul),,6-14,,
5:33.0,,,6-14,,J. Grant enters the game for D. Johnson
5:33.0,,,6-14,,A. Abrines enters the game for A. Roberson
5:33.0,N. Jokic enters the game for T. Craig,,6-14,,
5:33.0,W. Barton enters the game for M. Plumlee,,6-14,,
5:17.0,,,6-16,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:11.0,J. Murray misses 2-pt shot from 5 ft,,6-16,,
5:09.0,Offensive rebound by J. Murray,,6-16,,
5:08.0,W. Barton misses 3-pt shot from 25 ft,,6-16,,
5:08.0,,,6-16,,Defensive rebound by A. Abrines
5:02.0,,,6-19,3,P. George makes 3-pt shot from 25 ft
4:59.0,Denver full timeout,,6-19,,
4:49.0,G. Harris misses 2-pt shot from 19 ft,,6-19,,
4:49.0,Offensive rebound by Team,,6-19,,
4:49.0,,,6-19,,Personal foul by A. Abrines (drawn by N. Jokic)
4:47.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,9-19,,
4:26.0,,,9-21,2,R. Westbrook makes 2-pt shot from 12 ft
4:16.0,,,9-21,,Loose ball foul by J. Grant (drawn by N. Jokic)
4:08.0,J. Murray makes 3-pt shot from 25 ft,3,12-21,,
3:52.0,,,12-21,,Shooting foul by N. Jokic (drawn by J. Grant)
3:52.0,,,12-22,1,J. Grant makes free throw 1 of 2
3:52.0,,,12-22,,J. Huestis enters the game for P. George
3:52.0,,,12-22,,J. Grant misses free throw 2 of 2
3:50.0,Defensive rebound by W. Chandler,,12-22,,
3:32.0,W. Chandler makes 2-pt shot from 7 ft,2,14-22,,
3:15.0,,,14-25,3,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:02.0,W. Barton misses 2-pt shot from 1 ft (block by J. Huestis),,14-25,,
3:00.0,,,14-25,,Defensive rebound by A. Abrines
2:57.0,,,14-25,,C. Anthony misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by W. Chandler,,14-25,,
2:47.0,W. Chandler makes 2-pt shot from 1 ft,2,16-25,,
2:47.0,Shooting foul by J. Huestis (drawn by W. Chandler),,16-25,,
2:47.0,,,16-25,,R. Felton enters the game for R. Westbrook
2:47.0,T. Lyles enters the game for J. Murray,,16-25,,
2:47.0,W. Chandler misses free throw 1 of 1,,16-25,,
2:43.0,,,16-25,,Defensive rebound by C. Anthony
2:28.0,,,16-25,,J. Huestis misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by N. Jokic,,16-25,,
2:08.0,W. Barton misses 3-pt shot from 25 ft,,16-25,,
2:02.0,,,16-25,,Defensive rebound by A. Abrines
1:48.0,,,16-25,,Turnover by C. Anthony (bad pass; steal by W. Chandler)
1:37.0,T. Lyles misses 3-pt shot from 25 ft,,16-25,,
1:34.0,,,16-25,,Defensive rebound by A. Abrines
1:12.0,,,16-27,2,C. Anthony makes 2-pt shot from 1 ft
0:58.0,Turnover by G. Harris (lost ball; steal by A. Abrines),,16-27,,
0:53.0,Personal foul by W. Barton (drawn by J. Grant),,16-27,,
0:53.0,,,16-27,,P. Patterson enters the game for C. Anthony
