time,Washington,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. M. Gortat (M. Morris gains possession),,,,Jump ball: M. Kleber vs. M. Gortat (M. Morris gains possession)
11:40.0,O. Porter makes 2-pt shot from 20 ft (assist by B. Beal),2,2-0,,
11:18.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Smith)
10:55.0,J. Wall makes 2-pt shot from 18 ft,2,4-2,,
10:40.0,,,4-2,,M. Kleber misses 2-pt shot from 1 ft (block by J. Wall)
10:37.0,Defensive rebound by M. Morris,,4-2,,
10:30.0,M. Gortat misses 2-pt shot from 8 ft,,4-2,,
10:28.0,,,4-2,,Defensive rebound by Team
10:13.0,,,4-4,2,W. Matthews makes 2-pt shot from 3 ft
9:58.0,Turnover by O. Porter (lost ball; steal by H. Barnes),,4-4,,
9:54.0,,,4-6,2,D. Smith makes 2-pt shot from 1 ft (assist by M. Kleber)
9:40.0,B. Beal misses 2-pt shot from 12 ft,,4-6,,
9:36.0,,,4-6,,Defensive rebound by M. Kleber
9:23.0,,,4-6,,D. Smith misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by O. Porter,,4-6,,
9:10.0,J. Wall makes 2-pt shot from 15 ft,2,6-6,,
8:49.0,,,6-6,,M. Kleber misses 3-pt shot from 22 ft
8:45.0,Defensive rebound by B. Beal,,6-6,,
8:38.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,8-6,,
8:15.0,,,8-8,2,H. Barnes makes 2-pt shot from 20 ft
8:02.0,Shooting foul by D. Smith (drawn by J. Wall),,8-8,,
8:02.0,J. Wall makes free throw 1 of 2,1,9-8,,
8:02.0,J. Wall misses free throw 2 of 2,,9-8,,
7:59.0,,,9-8,,Defensive rebound by M. Kleber
7:44.0,,,9-8,,D. Nowitzki misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by M. Morris,,9-8,,
7:35.0,M. Morris misses 3-pt shot from 25 ft,,9-8,,
7:32.0,Offensive rebound by M. Gortat,,9-8,,
7:26.0,M. Gortat misses 2-pt shot from 1 ft (block by M. Kleber),,9-8,,
7:24.0,Offensive rebound by M. Gortat,,9-8,,
7:23.0,M. Gortat misses 2-pt shot from 1 ft (block by H. Barnes),,9-8,,
