time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. J. Green (M. Beasley gains possession),,,,Jump ball: K. O'Quinn vs. J. Green (M. Beasley gains possession)
11:44.0,,,0-2,2,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina)
11:18.0,L. James makes 2-pt shot from 9 ft,2,2-2,,
11:05.0,,,2-4,2,M. Beasley makes 2-pt shot from 18 ft
10:48.0,K. Love makes 3-pt shot from 25 ft (assist by G. Hill),3,5-4,,
10:30.0,,,5-4,,Turnover by M. Beasley (lost ball; steal by J. Green)
10:23.0,J. Green misses 2-pt shot from 2 ft,,5-4,,
10:18.0,Offensive rebound by J. Green,,5-4,,
10:18.0,J. Green makes 2-pt shot at rim,2,7-4,,
10:06.0,,,7-4,,T. Burke misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by K. Korver,,7-4,,
10:03.0,Turnover by K. Korver (bad pass),,7-4,,
9:42.0,,,7-4,,K. O'Quinn misses 2-pt shot at rim
9:40.0,Defensive rebound by K. Korver,,7-4,,
9:35.0,K. Love misses 3-pt shot from 23 ft,,7-4,,
9:33.0,,,7-4,,Defensive rebound by L. Thomas
9:27.0,,,7-6,2,F. Ntilikina makes 2-pt shot at rim (assist by T. Burke)
9:01.0,G. Hill misses 2-pt shot from 15 ft,,7-6,,
9:00.0,Offensive rebound by Team,,7-6,,
9:00.0,Turnover by Team (shot clock),,7-6,,
8:47.0,,,7-8,2,F. Ntilikina makes 2-pt shot from 22 ft
8:34.0,K. Love makes 3-pt shot from 25 ft (assist by K. Korver),3,10-8,,
8:13.0,,,10-8,,M. Beasley misses 2-pt shot at rim
8:07.0,Defensive rebound by G. Hill,,10-8,,
8:06.0,Turnover by G. Hill (bad pass; steal by M. Beasley),,10-8,,
8:04.0,,,10-10,2,M. Beasley makes 2-pt shot from 1 ft
7:58.0,Turnover by L. James (out of bounds lost ball),,10-10,,
7:46.0,,,10-10,,F. Ntilikina misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by J. Green,,10-10,,
7:37.0,Shooting foul by L. Thomas (drawn by J. Green),,10-10,,
7:37.0,J. Green makes free throw 1 of 2,1,11-10,,
7:37.0,J. Green makes free throw 2 of 2,1,12-10,,
7:22.0,,,12-10,,F. Ntilikina misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by L. James,,12-10,,
6:59.0,L. James misses 2-pt shot from 21 ft,,12-10,,
6:56.0,,,12-10,,Defensive rebound by M. Beasley
6:51.0,,,12-12,2,F. Ntilikina makes 2-pt shot from 1 ft (assist by T. Burke)
6:37.0,K. Love makes 3-pt shot from 26 ft (assist by G. Hill),3,15-12,,
6:29.0,,,15-12,,New York full timeout
6:29.0,J. Smith enters the game for G. Hill,,15-12,,
