time,Dallas,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Kleber (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. M. Kleber (G. Antetokounmpo gains possession)
11:47.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 18 ft
11:34.0,D. Nowitzki misses 2-pt shot from 21 ft,,0-2,,
11:34.0,,,0-2,,Defensive rebound by G. Payton
11:23.0,,,0-2,,E. Bledsoe misses 2-pt shot from 12 ft
11:23.0,,,0-2,,Offensive rebound by E. Bledsoe
11:10.0,,,0-2,,K. Middleton misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by W. Matthews,,0-2,,
11:00.0,,,0-2,,Def 3 sec tech foul by G. Antetokounmpo
11:00.0,D. Nowitzki makes technical free throw,1,1-2,,
10:49.0,H. Barnes misses 3-pt shot from 26 ft,,1-2,,
10:45.0,,,1-2,,Defensive rebound by G. Antetokounmpo
10:32.0,,,1-2,,G. Antetokounmpo misses 2-pt shot from 1 ft
10:32.0,,,1-2,,Offensive rebound by Team
10:27.0,Jump ball: G. Antetokounmpo vs. Y. Ferrell (G. Payton gains possession),,,,Jump ball: G. Antetokounmpo vs. Y. Ferrell (G. Payton gains possession)
10:21.0,,,1-4,2,E. Bledsoe makes 2-pt shot at rim
10:12.0,,,1-4,,Personal foul by G. Payton (drawn by W. Matthews)
10:05.0,H. Barnes misses 2-pt shot from 7 ft,,1-4,,
10:02.0,,,1-4,,Defensive rebound by G. Antetokounmpo
9:56.0,,,1-4,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by Team,,1-4,,
9:40.0,W. Matthews makes 3-pt shot from 28 ft (assist by H. Barnes),3,4-4,,
9:27.0,Personal foul by Y. Ferrell (drawn by E. Bledsoe),,4-4,,
9:23.0,,,4-6,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
9:03.0,W. Matthews makes 2-pt shot from 8 ft,2,6-6,,
8:53.0,,,6-8,2,K. Middleton makes 2-pt shot from 14 ft
8:28.0,D. Nowitzki misses 2-pt shot from 15 ft,,6-8,,
8:26.0,,,6-8,,Defensive rebound by J. Henson
8:20.0,,,6-8,,G. Payton misses 3-pt shot from 22 ft
8:17.0,Defensive rebound by Y. Ferrell,,6-8,,
8:06.0,Y. Ferrell misses 2-pt shot from 3 ft (block by E. Bledsoe),,6-8,,
8:06.0,,,6-8,,Defensive rebound by Team
7:53.0,,,6-10,2,G. Antetokounmpo makes 2-pt shot from 7 ft (assist by E. Bledsoe)
7:33.0,M. Kleber makes 2-pt shot from 2 ft (assist by H. Barnes),2,8-10,,
7:19.0,,,8-10,,Shooting foul by Y. Ferrell (drawn by E. Bledsoe)
7:19.0,,,8-11,1,E. Bledsoe makes free throw 1 of 2
7:19.0,,,8-12,1,E. Bledsoe makes free throw 2 of 2
7:19.0,,,8-12,,R. Vaughn enters the game for G. Payton
7:19.0,J. Barea enters the game for Y. Ferrell,,8-12,,
7:00.0,D. Nowitzki misses 3-pt shot from 26 ft,,8-12,,
6:53.0,,,8-12,,Defensive rebound by J. Henson
6:52.0,,,8-12,,Shooting foul by M. Kleber (drawn by G. Antetokounmpo)
6:52.0,,,8-12,,Milwaukee full timeout
6:52.0,,,8-13,1,G. Antetokounmpo makes free throw 1 of 2
6:52.0,,,8-14,1,G. Antetokounmpo makes free throw 2 of 2
6:43.0,,,8-14,,Personal foul by R. Vaughn (drawn by W. Matthews)
6:34.0,W. Matthews makes 3-pt shot from 26 ft (assist by J. Barea),3,11-14,,
6:11.0,,,11-14,,K. Middleton misses 2-pt shot from 7 ft
6:08.0,Defensive rebound by J. Barea,,11-14,,
6:03.0,D. Nowitzki misses 3-pt shot from 27 ft,,11-14,,
6:00.0,,,11-14,,Defensive rebound by J. Henson
5:53.0,,,11-14,,J. Henson misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by D. Nowitzki,,11-14,,
5:36.0,M. Kleber makes 2-pt shot from 1 ft (assist by J. Barea),2,13-14,,
5:17.0,S. Mejri enters the game for D. Nowitzki,,13-14,,
5:17.0,,,13-14,,M. Brogdon enters the game for G. Antetokounmpo
5:06.0,,,13-14,,E. Bledsoe misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by H. Barnes,,13-14,,
4:39.0,H. Barnes makes 2-pt shot from 17 ft,2,15-14,,
4:27.0,,,15-16,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
4:27.0,,,15-16,,Shooting foul by S. Mejri (drawn by J. Henson)
4:27.0,,,15-16,,J. Henson misses free throw 1 of 1
4:25.0,,,15-16,,Offensive rebound by Team
4:25.0,Loose ball foul by S. Mejri (drawn by E. Bledsoe),,15-16,,
4:25.0,Dallas full timeout,,15-16,,
4:25.0,,,15-17,1,E. Bledsoe makes free throw 1 of 2
4:25.0,,,15-18,1,E. Bledsoe makes free throw 2 of 2
4:08.0,H. Barnes misses 2-pt shot from 5 ft,,15-18,,
4:06.0,Offensive rebound by H. Barnes,,15-18,,
4:06.0,Shooting foul by J. Henson (drawn by H. Barnes),,15-18,,
4:06.0,H. Barnes makes free throw 1 of 2,1,16-18,,
4:06.0,H. Barnes makes free throw 2 of 2,1,17-18,,
4:06.0,,,17-18,,T. Maker enters the game for J. Henson
4:06.0,D. Powell enters the game for S. Mejri,,17-18,,
3:45.0,,,17-18,,E. Bledsoe misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by H. Barnes,,17-18,,
3:32.0,W. Matthews makes 3-pt shot from 22 ft (assist by H. Barnes),3,20-18,,
3:05.0,,,20-18,,K. Middleton misses 2-pt shot from 17 ft
3:03.0,Defensive rebound by H. Barnes,,20-18,,
2:55.0,D. Powell makes 3-pt shot from 22 ft (assist by J. Barea),3,23-18,,
2:54.0,,,23-18,,Milwaukee full timeout
2:54.0,,,23-18,,G. Antetokounmpo enters the game for E. Bledsoe
2:54.0,,,23-18,,D. Liggins enters the game for K. Middleton
2:54.0,D. Harris enters the game for W. Matthews,,23-18,,
2:33.0,,,23-18,,G. Antetokounmpo misses 2-pt shot from 12 ft
2:25.0,Defensive rebound by D. Powell,,23-18,,
2:17.0,Shooting foul by T. Maker (drawn by D. Powell),,23-18,,
2:01.0,M. Kleber misses 2-pt shot from 5 ft,,23-18,,
1:58.0,,,23-18,,Defensive rebound by T. Maker
1:48.0,,,23-18,,R. Vaughn misses 3-pt shot from 26 ft
1:45.0,,,23-18,,Offensive rebound by T. Maker
1:37.0,,,23-18,,R. Vaughn misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by D. Powell,,23-18,,
1:27.0,J. Barea makes 2-pt shot from 15 ft,2,25-18,,
1:09.0,,,25-18,,R. Vaughn misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by M. Kleber,,25-18,,
0:46.0,Turnover by Team (shot clock),,25-18,,
0:46.0,A. Cleveland enters the game for M. Kleber,,25-18,,
0:45.0,D. Harris misses 3-pt shot from 24 ft,,25-18,,
0:44.0,Offensive rebound by Team,,25-18,,
0:41.0,,,25-20,2,D. Liggins makes 2-pt shot from 1 ft (assist by M. Brogdon)
0:30.0,J. Barea misses 2-pt shot from 7 ft (block by T. Maker),,25-20,,
0:26.0,,,25-20,,Defensive rebound by D. Liggins
0:09.0,,,25-22,2,M. Brogdon makes 2-pt shot from 22 ft
0:00.0,D. Harris misses 2-pt shot from 4 ft,,25-22,,
0:00.0,Offensive rebound by Team,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Cleveland makes 2-pt shot from 1 ft (assist by J. Barea),2,27-22,,
11:29.0,,,27-24,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:14.0,D. Nowitzki misses 2-pt shot from 15 ft,,27-24,,
11:12.0,,,27-24,,Defensive rebound by M. Brogdon
11:06.0,,,27-24,,M. Brogdon misses 3-pt shot from 27 ft
